"Gene_Id","Gene_length","Num_of_Transcripts","Num_of_Exons","Gene_name","Gene_type"
"ENSG00000225630.1",1043,1,1," MTND2P28"," unprocessed_pseudogene"
"ENSG00000237973.1",1542,1,1," MTCO1P12"," unprocessed_pseudogene"
"ENSG00000278791.1",88,1,1," ENSG00000278791"," miRNA"
"ENSG00000229344.1",681,1,1," MTCO2P12"," unprocessed_pseudogene"
"ENSG00000240409.1",206,1,1," MTATP8P1"," unprocessed_pseudogene"
"ENSG00000248527.1",680,1,1," MTATP6P1"," unprocessed_pseudogene"
"ENSG00000198744.5",546,1,1," MTCO3P12"," unprocessed_pseudogene"
"ENSG00000268663.1",423,1,1," WBP1LP6"," processed_pseudogene"
"ENSG00000284662.2",938,1,1," OR4F16"," protein_coding"
"ENSG00000229376.3",2811,1,2," CICP3"," processed_pseudogene"
"ENSG00000228327.5",52803,3,19," ENSG00000228327"," transcribed_unprocessed_pseudogene"
"ENSG00000223181.1",103,1,1," RNU6-1199P"," snRNA"
"ENSG00000229905.1",1078,1,2," ENSG00000229905"," lncRNA"
"ENSG00000237491.10",31318,6,20," LINC01409"," lncRNA"
"ENSG00000285268.1",113,1,1," ENSG00000285268"," transcribed_processed_pseudogene"
"ENSG00000230092.7",16833,2,6," ENSG00000230092"," transcribed_unprocessed_pseudogene"
"ENSG00000177757.2",2466,1,2," FAM87B"," lncRNA"
"ENSG00000225880.6",3311,1,1," LINC00115"," lncRNA"
"ENSG00000228794.12",34308,10,35," LINC01128"," lncRNA"
"ENSG00000288531.1",7976,2,5," ENSG00000288531"," lncRNA"
"ENSG00000230368.2",8832,2,7," FAM41C"," lncRNA"
"ENSG00000234711.1",1057,1,1," TUBB8P11"," unprocessed_pseudogene"
"ENSG00000283040.1",2705,1,5," ENSG00000283040"," transcribed_unprocessed_pseudogene"
"ENSG00000272438.1",11142,1,2," ENSG00000272438"," lncRNA"
"ENSG00000230699.2",3513,1,2," ENSG00000230699"," lncRNA"
"ENSG00000241180.1",800,1,2," ENSG00000241180"," lncRNA"
"ENSG00000223764.2",4151,1,4," LINC02593"," lncRNA"
"ENSG00000187634.13",20652,2,17," SAMD11"," protein_coding"
"ENSG00000188976.11",15106,1,19," NOC2L"," protein_coding"
"ENSG00000187961.15",5135,1,12," KLHL17"," protein_coding"
"ENSG00000187583.11",9383,2,20," PLEKHN1"," protein_coding"
"ENSG00000187642.10",6919,3,10," PERM1"," protein_coding"
"ENSG00000272512.1",2085,1,1," ENSG00000272512"," lncRNA"
"ENSG00000188290.11",1210,3,8," HES4"," protein_coding"
"ENSG00000187608.10",13402,2,4," ISG15"," protein_coding"
"ENSG00000231702.2",153,1,1," ENSG00000231702"," processed_pseudogene"
"ENSG00000224969.1",1196,1,2," ENSG00000224969"," lncRNA"
"ENSG00000188157.15",35998,2,41," AGRN"," protein_coding"
"ENSG00000242590.1",1083,1,2," ENSG00000242590"," lncRNA"
"ENSG00000217801.12",9668,2,14," ENSG00000217801"," transcribed_unprocessed_pseudogene"
"ENSG00000273443.1",1080,1,2," ENSG00000273443"," lncRNA"
"ENSG00000237330.3",3339,1,2," RNF223"," protein_coding"
"ENSG00000131591.18",34543,4,19," C1orf159"," protein_coding"
"ENSG00000285812.1",7013,1,2," ENSG00000285812"," lncRNA"
"ENSG00000223823.1",7039,1,3," LINC01342"," lncRNA"
"ENSG00000207730.3",94,1,1," MIR200B"," miRNA"
"ENSG00000207607.3",89,1,1," MIR200A"," miRNA"
"ENSG00000198976.1",82,1,1," MIR429"," miRNA"
"ENSG00000272141.1",986,1,1," ENSG00000272141"," lncRNA"
"ENSG00000205231.1",6499,1,2," TTLL10-AS1"," lncRNA"
"ENSG00000162571.14",24056,2,19," TTLL10"," protein_coding"
"ENSG00000186891.14",3084,4,10," TNFRSF18"," protein_coding"
"ENSG00000186827.12",2827,2,11," TNFRSF4"," protein_coding"
"ENSG00000078808.20",15100,2,9," SDF4"," protein_coding"
"ENSG00000176022.7",2804,1,1," B3GALT6"," protein_coding"
"ENSG00000184163.3",4276,1,8," C1QTNF12"," protein_coding"
"ENSG00000260179.1",1557,1,1," ENSG00000260179"," lncRNA"
"ENSG00000160087.21",19955,5,16," UBE2J2"," protein_coding"
"ENSG00000230415.1",5197,2,5," LINC01786"," lncRNA"
"ENSG00000162572.21",11593,4,23," SCNN1D"," protein_coding"
"ENSG00000131584.19",17219,2,26," ACAP3"," protein_coding"
"ENSG00000278073.1",60,1,1," MIR6726"," miRNA"
"ENSG00000169972.12",3080,1,8," PUSL1"," protein_coding"
"ENSG00000127054.22",13102,7,35," INTS11"," protein_coding"
"ENSG00000283712.1",64,1,1," MIR6727"," miRNA"
"ENSG00000240731.1",1108,1,2," ENSG00000240731"," lncRNA"
"ENSG00000224051.7",4140,1,3," CPTP"," protein_coding"
"ENSG00000169962.5",4034,1,6," TAS1R3"," protein_coding"
"ENSG00000107404.21",14142,2,18," DVL1"," protein_coding"
"ENSG00000284372.1",58,1,1," MIR6808"," miRNA"
"ENSG00000162576.17",9088,4,17," MXRA8"," protein_coding"
"ENSG00000175756.14",1477,4,10," AURKAIP1"," protein_coding"
"ENSG00000223663.2",366,1,1," NDUFB4P8"," processed_pseudogene"
"ENSG00000221978.13",13624,2,13," CCNL2"," protein_coding"
"ENSG00000224870.9",2531,1,3," MRPL20-AS1"," lncRNA"
"ENSG00000242485.6",5384,2,6," MRPL20"," protein_coding"
"ENSG00000264293.2",292,1,1," RN7SL657P"," misc_RNA"
"ENSG00000272455.1",1522,1,1," MRPL20-DT"," lncRNA"
"ENSG00000235098.9",3349,5,11," ANKRD65"," protein_coding"
"ENSG00000225905.1",2446,1,2," ANKRD65-AS1"," lncRNA"
"ENSG00000205116.4",4384,1,2," TMEM88B"," protein_coding"
"ENSG00000225285.1",4034,2,4," LINC01770"," lncRNA"
"ENSG00000179403.12",8021,2,6," VWA1"," protein_coding"
"ENSG00000215915.10",20474,1,12," ATAD3C"," protein_coding"
"ENSG00000160072.20",26083,2,20," ATAD3B"," protein_coding"
"ENSG00000284740.2",6216,3,6," ENSG00000284740"," transcribed_unprocessed_pseudogene"
"ENSG00000197785.14",22523,3,19," ATAD3A"," protein_coding"
"ENSG00000205090.9",5846,3,9," TMEM240"," protein_coding"
"ENSG00000160075.12",33190,2,7," SSU72"," protein_coding"
"ENSG00000215014.5",2973,1,2," ENSG00000215014"," lncRNA"
"ENSG00000274481.1",399,1,1," ENSG00000274481"," processed_pseudogene"
"ENSG00000228594.4",2123,1,1," FNDC10"," protein_coding"
"ENSG00000286989.1",2389,1,3," ENSG00000286989"," lncRNA"
"ENSG00000272106.1",2037,1,1," ENSG00000272106"," lncRNA"
"ENSG00000197530.13",15151,4,26," MIB2"," protein_coding"
"ENSG00000189409.14",3100,2,10," MMP23B"," protein_coding"
"ENSG00000248333.9",23787,3,36," CDK11B"," protein_coding"
"ENSG00000272004.1",3277,1,2," ENSG00000272004"," lncRNA"
"ENSG00000189339.12",33266,3,14," SLC35E2B"," protein_coding"
"ENSG00000269737.2",2407,2,3," ENSG00000269737"," transcribed_processed_pseudogene"
"ENSG00000215914.4",1840,1,7," MMP23A"," unprocessed_pseudogene"
"ENSG00000008128.23",21978,4,28," CDK11A"," protein_coding"
"ENSG00000268575.1",34952,1,5," ENSG00000268575"," lncRNA"
"ENSG00000227775.3",12739,2,4," ENSG00000227775"," transcribed_processed_pseudogene"
"ENSG00000215790.8",21154,3,9," SLC35E2A"," transcribed_unprocessed_pseudogene"
"ENSG00000008130.15",29225,3,18," NADK"," protein_coding"
"ENSG00000078369.18",105832,2,14," GNB1"," protein_coding"
"ENSG00000231050.3",1503,1,2," GNB1-DT"," lncRNA"
"ENSG00000169885.10",2188,1,6," CALML6"," protein_coding"
"ENSG00000178821.13",1689,2,7," TMEM52"," protein_coding"
"ENSG00000142609.20",81886,2,42," CFAP74"," protein_coding"
"ENSG00000233542.2",2426,2,5," ENSG00000233542"," lncRNA"
"ENSG00000187730.9",11429,4,17," GABRD"," protein_coding"
"ENSG00000226969.1",867,1,3," PRKCZ-DT"," lncRNA"
"ENSG00000067606.17",134984,2,20," PRKCZ"," protein_coding"
"ENSG00000271806.1",4195,1,1," ENSG00000271806"," lncRNA"
"ENSG00000182873.5",2595,2,5," PRKCZ-AS1"," lncRNA"
"ENSG00000162585.17",28259,2,6," FAAP20"," protein_coding"
"ENSG00000234396.3",8215,1,2," ENSG00000234396"," lncRNA"
"ENSG00000157933.10",81894,1,7," SKI"," protein_coding"
"ENSG00000287356.1",8045,2,5," ENSG00000287356"," lncRNA"
"ENSG00000116151.14",70454,2,16," MORN1"," protein_coding"
"ENSG00000272161.1",492,1,1," ENSG00000272161"," lncRNA"
"ENSG00000269896.2",2406,2,2," ENSG00000269896"," transcribed_processed_pseudogene"
"ENSG00000272420.1",567,1,1," ENSG00000272420"," lncRNA"
"ENSG00000157916.20",13667,5,16," RER1"," protein_coding"
"ENSG00000157911.11",9833,3,10," PEX10"," protein_coding"
"ENSG00000149527.18",79552,3,29," PLCH2"," protein_coding"
"ENSG00000224387.1",958,1,2," ENSG00000224387"," lncRNA"
"ENSG00000229393.1",1042,1,2," ENSG00000229393"," lncRNA"
"ENSG00000157881.16",18060,1,21," PANK4"," protein_coding"
"ENSG00000197921.6",1518,1,3," HES5"," protein_coding"
"ENSG00000272449.3",17407,1,2," ENSG00000272449"," lncRNA"
"ENSG00000238164.6",7111,4,14," TNFRSF14-AS1"," lncRNA"
"ENSG00000157873.18",9743,2,11," TNFRSF14"," protein_coding"
"ENSG00000225931.3",3478,1,3," ENSG00000225931"," TEC"
"ENSG00000228037.1",2973,1,3," ENSG00000228037"," lncRNA"
"ENSG00000289610.2",450,1,1," ENSG00000289610"," lncRNA"
"ENSG00000157870.17",4978,5,17," PRXL2B"," protein_coding"
"ENSG00000142606.16",42377,2,27," MMEL1"," protein_coding"
"ENSG00000237058.1",4052,1,2," MMEL1-AS1"," lncRNA"
"ENSG00000215912.13",164707,2,11," TTC34"," protein_coding"
"ENSG00000285945.1",16642,1,3," ENSG00000285945"," lncRNA"
"ENSG00000283259.1",2870,1,10," ENSG00000283259"," lncRNA"
"ENSG00000233234.1",842,1,2," ENSG00000233234"," lncRNA"
"ENSG00000287396.1",3711,1,2," ENSG00000287396"," lncRNA"
"ENSG00000231630.1",566,1,2," ENSG00000231630"," lncRNA"
"ENSG00000284745.1",8049,1,3," ENSG00000284745"," lncRNA"
"ENSG00000169717.7",1436,1,1," ACTRT2"," protein_coding"
"ENSG00000177133.14",9480,4,16," PRDM16-DT"," lncRNA"
"ENSG00000142611.17",369453,4,24," PRDM16"," protein_coding"
"ENSG00000283572.1",60,1,1," MIR4251"," miRNA"
"ENSG00000226286.1",782,1,2," ENSG00000226286"," lncRNA"
"ENSG00000279839.1",2676,1,1," ENSG00000279839"," TEC"
"ENSG00000272235.1",3460,1,1," ENSG00000272235"," lncRNA"
"ENSG00000287828.1",10097,1,2," ENSG00000287828"," lncRNA"
"ENSG00000286518.1",6113,1,2," ENSG00000286518"," lncRNA"
"ENSG00000130762.15",26448,3,17," ARHGEF16"," protein_coding"
"ENSG00000272088.1",381,1,1," ENSG00000272088"," lncRNA"
"ENSG00000162591.17",123557,3,42," MEGF6"," protein_coding"
"ENSG00000207776.1",95,1,1," MIR551A"," miRNA"
"ENSG00000238260.3",1929,2,5," ENSG00000238260"," lncRNA"
"ENSG00000158109.15",5112,2,6," TPRG1L"," protein_coding"
"ENSG00000116213.16",21994,2,14," WRAP73"," protein_coding"
"ENSG00000078900.15",83685,8,23," TP73"," protein_coding"
"ENSG00000227589.1",9834,1,3," TP73-AS3"," lncRNA"
"ENSG00000235131.1",2098,1,2," TP73-AS2"," lncRNA"
"ENSG00000227372.12",11862,3,15," TP73-AS1"," transcribed_unitary_pseudogene"
"ENSG00000276189.1",160,1,1," ENSG00000276189"," misc_RNA"
"ENSG00000162592.10",25185,1,12," CCDC27"," protein_coding"
"ENSG00000235169.11",3233,3,8," SMIM1"," protein_coding"
"ENSG00000130764.10",17939,1,7," LRRC47"," protein_coding"
"ENSG00000266075.2",296,1,1," RN7SL574P"," misc_RNA"
"ENSG00000272153.1",530,1,1," ENSG00000272153"," lncRNA"
"ENSG00000116198.14",45310,8,36," CEP104"," protein_coding"
"ENSG00000169598.17",28162,3,12," DFFB"," protein_coding"
"ENSG00000198912.12",11168,3,9," C1orf174"," protein_coding"
"ENSG00000236423.8",16878,3,9," LINC01134"," lncRNA"
"ENSG00000233304.7",14776,2,5," LINC01346"," lncRNA"
"ENSG00000226374.3",4477,1,6," LINC01345"," lncRNA"
"ENSG00000284668.2",36571,3,11," LINC02780"," lncRNA"
"ENSG00000284703.1",6587,1,2," ENSG00000284703"," lncRNA"
"ENSG00000229280.1",371,1,1," EEF1DP6"," processed_pseudogene"
"ENSG00000235054.4",12662,1,6," LINC01777"," lncRNA"
"ENSG00000284694.1",5244,1,2," ENSG00000284694"," lncRNA"
"ENSG00000227169.2",410,1,2," ENSG00000227169"," lncRNA"
"ENSG00000232596.3",22535,4,13," LINC01646"," lncRNA"
"ENSG00000196581.11",137925,2,8," AJAP1"," protein_coding"
"ENSG00000287586.1",4781,1,2," ENSG00000287586"," lncRNA"
"ENSG00000284739.1",9344,1,3," ENSG00000284739"," lncRNA"
"ENSG00000284674.1",8187,1,5," LINC02781"," lncRNA"
"ENSG00000231510.1",4440,1,4," LINC02782"," lncRNA"
"ENSG00000284616.1",5466,1,4," ENSG00000284616"," lncRNA"
"ENSG00000284692.2",14321,2,6," ENSG00000284692"," lncRNA"
"ENSG00000284666.1",1241,1,2," ENSG00000284666"," lncRNA"
"ENSG00000260972.1",1696,1,1," ENSG00000260972"," lncRNA"
"ENSG00000283356.1",134,1,1," ENSG00000283356"," unprocessed_pseudogene"
"ENSG00000236948.2",106586,2,5," ENSG00000236948"," lncRNA"
"ENSG00000264341.1",72,1,1," ENSG00000264341"," miRNA"
"ENSG00000289893.1",38095,1,4," ENSG00000289893"," lncRNA"
"ENSG00000264101.1",69,1,1," MIR4689"," miRNA"
"ENSG00000131697.18",129662,2,33," NPHP4"," protein_coding"
"ENSG00000069424.16",110266,21,58," KCNAB2"," protein_coding"
"ENSG00000116254.18",78534,1,42," CHD5"," protein_coding"
"ENSG00000285629.1",38327,1,4," ENSG00000285629"," protein_coding"
"ENSG00000116251.11",24369,2,5," RPL22"," protein_coding"
"ENSG00000226944.1",940,1,3," RNF207-AS1"," lncRNA"
"ENSG00000158286.13",15824,1,18," RNF207"," protein_coding"
"ENSG00000116237.16",14779,1,5," ICMT"," protein_coding"
"ENSG00000225077.3",4752,2,8," ICMT-DT"," lncRNA"
"ENSG00000173673.8",1399,1,4," HES3"," protein_coding"
"ENSG00000158292.7",13745,1,6," GPR153"," protein_coding"
"ENSG00000097021.20",129498,6,16," ACOT7"," protein_coding"
"ENSG00000271746.1",836,1,1," ENSG00000271746"," lncRNA"
"ENSG00000069812.11",12252,5,13," HES2"," protein_coding"
"ENSG00000187017.18",36591,3,19," ESPN"," protein_coding"
"ENSG00000265392.1",62,1,1," MIR4252"," miRNA"
"ENSG00000231868.1",3972,1,3," ENSG00000231868"," lncRNA"
"ENSG00000215788.11",5389,4,17," TNFRSF25"," protein_coding"
"ENSG00000171680.23",52952,13,39," PLEKHG5"," protein_coding"
"ENSG00000162408.11",33166,1,12," NOL9"," protein_coding"
"ENSG00000253022.1",110,1,1," RNU6-731P"," snRNA"
"ENSG00000229519.2",714,1,2," ENSG00000229519"," processed_pseudogene"
"ENSG00000173662.21",24448,2,8," TAS1R1"," protein_coding"
"ENSG00000204859.13",9286,1,11," ZBTB48"," protein_coding"
"ENSG00000162413.17",23883,4,10," KLHL21"," protein_coding"
"ENSG00000116273.6",10299,1,4," PHF13"," protein_coding"
"ENSG00000041988.16",10718,3,12," THAP3"," protein_coding"
"ENSG00000007923.17",67756,2,18," DNAJC11"," protein_coding"
"ENSG00000228750.7",5375,2,5," LINC01672"," lncRNA"
"ENSG00000284744.1",2084,1,3," ENSG00000284744"," lncRNA"
"ENSG00000237436.1",951,1,3," CAMTA1-DT"," lncRNA"
"ENSG00000171735.20",984252,12,48," CAMTA1"," protein_coding"
"ENSG00000227950.1",285,1,1," ENSG00000227950"," processed_pseudogene"
"ENSG00000237365.1",5903,1,2," ENSG00000237365"," lncRNA"
"ENSG00000207056.1",164,1,1," RNU1-8P"," snRNA"
"ENSG00000237402.1",1328,1,2," CAMTA1-IT1"," lncRNA"
"ENSG00000237728.2",7267,2,5," CAMTA1-AS2"," lncRNA"
"ENSG00000225126.1",458,1,2," CAMTA1-AS1"," lncRNA"
"ENSG00000270171.1",1720,1,1," ENSG00000270171"," lncRNA"
"ENSG00000270035.1",569,1,1," ENSG00000270035"," lncRNA"
"ENSG00000269978.1",266,1,1," ENSG00000269978"," lncRNA"
"ENSG00000049245.13",10136,2,7," VAMP3"," protein_coding"
"ENSG00000269925.1",392,1,1," ENSG00000269925"," lncRNA"
"ENSG00000049246.15",60886,4,32," PER3"," protein_coding"
"ENSG00000236266.1",17100,1,3," ENSG00000236266"," lncRNA"
"ENSG00000049247.14",10429,3,12," UTS2"," protein_coding"
"ENSG00000049249.10",27294,1,8," TNFRSF9"," protein_coding"
"ENSG00000270330.1",354,1,1," ENSG00000270330"," processed_pseudogene"
"ENSG00000116288.13",31214,5,14," PARK7"," protein_coding"
"ENSG00000200344.1",102,1,1," Y_RNA"," misc_RNA"
"ENSG00000284747.1",14178,2,8," ENSG00000284747"," lncRNA"
"ENSG00000284716.1",1747,1,2," ENSG00000284716"," lncRNA"
"ENSG00000116285.13",21905,4,10," ERRFI1"," protein_coding"
"ENSG00000238290.1",95964,1,3," ERRFI1-DT"," lncRNA"
"ENSG00000232848.1",1218,1,2," RPL7AP18"," processed_pseudogene"
"ENSG00000229305.1",2946,1,4," ENSG00000229305"," processed_pseudogene"
"ENSG00000288816.1",3234,1,2," ENSG00000288816"," lncRNA"
"ENSG00000227634.3",13692,2,8," LINC01714"," lncRNA"
"ENSG00000200975.1",163,1,1," RNU1-7P"," snRNA"
"ENSG00000233645.1",2339,1,2," ENSG00000233645"," lncRNA"
"ENSG00000251977.1",106,1,1," RNU6-991P"," snRNA"
"ENSG00000162426.16",26053,2,11," SLC45A1"," protein_coding"
"ENSG00000252254.1",112,1,1," Y_RNA"," misc_RNA"
"ENSG00000142599.19",496524,6,34," RERE"," protein_coding"
"ENSG00000232912.6",10368,1,4," RERE-AS1"," lncRNA"
"ENSG00000221083.1",124,1,1," ENSG00000221083"," snoRNA"
"ENSG00000270282.1",368,1,1," ENSG00000270282"," processed_pseudogene"
"ENSG00000234619.1",657,1,1," RPL7P11"," processed_pseudogene"
"ENSG00000224315.2",702,1,1," RPL7P7"," processed_pseudogene"
"ENSG00000222511.2",102,1,1," Y_RNA"," misc_RNA"
"ENSG00000226545.1",1031,1,2," ENSG00000226545"," unprocessed_pseudogene"
"ENSG00000228423.2",1191,1,2," ENSG00000228423"," lncRNA"
"ENSG00000229716.2",368,1,1," RPL23AP19"," processed_pseudogene"
"ENSG00000074800.16",18190,2,15," ENO1"," protein_coding"
"ENSG00000274258.1",88,1,1," MIR6728"," miRNA"
"ENSG00000230679.1",1059,1,2," ENO1-AS1"," lncRNA"
"ENSG00000201725.1",106,1,1," RNU6-304P"," snRNA"
"ENSG00000238249.2",742,1,1," HMGN2P17"," processed_pseudogene"
"ENSG00000232208.2",351,1,1," ENSG00000232208"," processed_pseudogene"
"ENSG00000232663.2",162,1,1," ENSG00000232663"," processed_pseudogene"
"ENSG00000131686.15",29225,4,13," CA6"," protein_coding"
"ENSG00000290109.1",754,1,1," ENSG00000290109"," lncRNA"
"ENSG00000265141.2",298,1,1," RN7SL451P"," misc_RNA"
"ENSG00000197241.4",23450,1,12," SLC2A7"," protein_coding"
"ENSG00000142583.18",53372,2,14," SLC2A5"," protein_coding"
"ENSG00000252404.1",183,1,1," ENSG00000252404"," scaRNA"
"ENSG00000180758.12",28797,1,4," GPR157"," protein_coding"
"ENSG00000228526.8",50895,2,4," MIR34AHG"," lncRNA"
"ENSG00000284357.1",109,1,1," MIR34A"," miRNA"
"ENSG00000289914.1",623,1,1," ENSG00000289914"," lncRNA"
"ENSG00000234546.5",14280,2,7," LNCTAM34A"," lncRNA"
"ENSG00000049239.13",36563,2,7," H6PD"," protein_coding"
"ENSG00000171621.14",76638,3,7," SPSB1"," protein_coding"
"ENSG00000284652.1",1764,1,1," ENSG00000284652"," lncRNA"
"ENSG00000284693.2",15470,3,6," LINC02606"," lncRNA"
"ENSG00000252956.1",109,1,1," RNA5SP40"," rRNA_pseudogene"
"ENSG00000235263.1",2379,1,2," ENSG00000235263"," lncRNA"
"ENSG00000171612.7",45708,1,7," SLC25A33"," protein_coding"
"ENSG00000231181.1",558,1,1," ENSG00000231181"," processed_pseudogene"
"ENSG00000188807.13",25966,2,13," TMEM201"," protein_coding"
"ENSG00000171608.18",99225,9,40," PIK3CD"," protein_coding"
"ENSG00000179840.5",1976,1,2," PIK3CD-AS1"," lncRNA"
"ENSG00000233268.3",1798,1,2," ENSG00000233268"," processed_pseudogene"
"ENSG00000231789.4",15178,1,3," PIK3CD-AS2"," lncRNA"
"ENSG00000171603.18",95058,2,21," CLSTN1"," protein_coding"
"ENSG00000271264.1",418,1,2," MZT1P1"," processed_pseudogene"
"ENSG00000280113.2",1982,1,1," ENSG00000280113"," TEC"
"ENSG00000178585.15",62060,4,12," CTNNBIP1"," protein_coding"
"ENSG00000223989.1",1836,1,3," ENSG00000223989"," lncRNA"
"ENSG00000285701.1",7420,1,3," ENSG00000285701"," lncRNA"
"ENSG00000162441.12",21294,3,12," LZIC"," protein_coding"
"ENSG00000228150.1",7051,1,2," ENSG00000228150"," lncRNA"
"ENSG00000173614.14",42073,2,7," NMNAT1"," protein_coding"
"ENSG00000202415.1",318,1,1," RN7SKP269"," misc_RNA"
"ENSG00000283611.2",10215,1,5," TMEM274P"," unitary_pseudogene"
"ENSG00000265521.1",77,1,1," MIR5697"," miRNA"
"ENSG00000241326.1",1427,1,2," ENSG00000241326"," lncRNA"
"ENSG00000162444.12",18815,1,4," RBP7"," protein_coding"
"ENSG00000130939.20",148407,4,33," UBE4B"," protein_coding"
"ENSG00000224340.1",336,1,1," ENSG00000224340"," processed_pseudogene"
"ENSG00000233623.2",977,1,2," PGAM1P11"," processed_pseudogene"
"ENSG00000201746.1",106,1,1," RNU6-828P"," snRNA"
"ENSG00000054523.20",171033,8,64," KIF1B"," protein_coding"
"ENSG00000264881.1",85,1,1," ENSG00000264881"," miRNA"
"ENSG00000199562.1",106,1,1," RNU6-37P"," snRNA"
"ENSG00000264501.2",292,1,1," RN7SL731P"," misc_RNA"
"ENSG00000284735.1",5244,2,4," ENSG00000284735"," lncRNA"
"ENSG00000284642.1",2016,1,2," ENSG00000284642"," lncRNA"
"ENSG00000142657.21",21919,1,13," PGD"," protein_coding"
"ENSG00000271989.1",796,1,1," ENSG00000271989"," lncRNA"
"ENSG00000251503.8",22051,5,13," CENPS-CORT"," protein_coding"
"ENSG00000175279.22",12375,2,4," CENPS"," protein_coding"
"ENSG00000241563.4",1967,1,2," CORT"," protein_coding"
"ENSG00000160049.12",16007,2,8," DFFA"," protein_coding"
"ENSG00000203469.2",783,1,2," ENSG00000203469"," lncRNA"
"ENSG00000142655.13",158470,1,9," PEX14"," protein_coding"
"ENSG00000287727.1",4230,1,2," ENSG00000287727"," lncRNA"
"ENSG00000243267.3",279,1,1," RN7SL614P"," misc_RNA"
"ENSG00000130940.15",160046,2,23," CASZ1"," protein_coding"
"ENSG00000272078.1",15092,1,2," ENSG00000272078"," lncRNA"
"ENSG00000225158.2",237,1,1," HSPE1P24"," processed_pseudogene"
"ENSG00000175262.15",35605,1,13," C1orf127"," protein_coding"
"ENSG00000215785.2",819,1,2," CFL1P6"," processed_pseudogene"
"ENSG00000120948.19",18184,6,19," TARDBP"," protein_coding"
"ENSG00000009724.18",25230,7,26," MASP2"," protein_coding"
"ENSG00000116649.10",5436,1,8," SRM"," protein_coding"
"ENSG00000171824.14",33251,1,25," EXOSC10"," protein_coding"
"ENSG00000226849.1",4626,1,2," ENSG00000226849"," lncRNA"
"ENSG00000230337.3",2675,1,2," EXOSC10-AS1"," lncRNA"
"ENSG00000198793.14",156021,2,59," MTOR"," protein_coding"
"ENSG00000225602.5",5639,1,4," MTOR-AS1"," lncRNA"
"ENSG00000253086.1",102,1,1," RNU6-537P"," snRNA"
"ENSG00000171819.5",6626,1,5," ANGPTL7"," protein_coding"
"ENSG00000207451.1",106,1,1," RNU6-291P"," snRNA"
"ENSG00000238173.1",149,1,1," RPL39P6"," processed_pseudogene"
"ENSG00000120942.14",22851,2,4," UBIAD1"," protein_coding"
"ENSG00000238199.1",735,1,2," UBE2V2P3"," processed_pseudogene"
"ENSG00000284646.1",7359,1,4," ENSG00000284646"," lncRNA"
"ENSG00000224338.2",564,1,1," MTCYBP45"," processed_pseudogene"
"ENSG00000204624.8",58396,2,23," DISP3"," protein_coding"
"ENSG00000285833.1",1213,1,2," ENSG00000285833"," lncRNA"
