"Gene_Id","Gene_length","Num_of_Transcripts","Num_of_Exons","Gene_name","Gene_type","Intron_Length","Exon_Length","splice5","splice3","ssstrength5","ssstrength3","ss5conservation","ss3conservation","codingpotential","branchpt_len"
"ENSG00000273443.1",1080,1,2,"ENSG00000273443","lncRNA",252,414.5,1,0,-5.91,-9.78,NA,NA,0.180822,NA
"ENSG00000237330.3",3339,1,2,"RNF223","protein_coding",1440,950,1,0,-3.8,-5.5,0.001,0.737,0.95891,"54"
"ENSG00000131591.18",34543,4,19,"C1orf159","protein_coding",1043,95,1,0,-19.11,-19.255,NA,NA,0.198332,"78.5"
"ENSG00000285812.1",7013,1,2,"ENSG00000285812","lncRNA",5919,547.5,2,0,-2.16,4.42,0.024,0.024,0.0823009,"526"
"ENSG00000223823.1",7039,1,3,"LINC01342","lncRNA",2710,208,1,0,8.585,2.56,NA,NA,0.2091,"193"
"ENSG00000205231.1",6499,1,2,"TTLL10-AS1","lncRNA",2968,1766,1,0,-6.07,-19.17,NA,0.003,0.905397,"427"
"ENSG00000162571.14",24056,2,19,"TTLL10","protein_coding",402.5,119,1,0,7.23,-1.905,NA,NA,0.11249,"252"
"ENSG00000186891.14",3084,4,10,"TNFRSF18","protein_coding",660.5,153.5,1,0,-15.44,-18.5,NA,NA,0.9976975,"124"
"ENSG00000186827.12",2827,2,11,"TNFRSF4","protein_coding",287,129,1,0,-11.15,-12.53,NA,NA,0.9667265,NA
"ENSG00000078808.20",15100,2,9,"SDF4","protein_coding",1857,159,1,0,-20.08,-19.935,NA,NA,0.995845,"220"
"ENSG00000184163.3",4276,1,8,"C1QTNF12","protein_coding",188,113,1,0,-10.5,-17.2,NA,NA,0.131444,"765.5"
"ENSG00000160087.21",19955,5,16,"UBE2J2","protein_coding",1131,131,1,0,-11.055,-15.725,NA,NA,0.216334,"58"
"ENSG00000230415.1",5197,2,5,"LINC01786","lncRNA",3768,81,1,0,8.69,-0.2,NA,NA,0.04079815,"2"
"ENSG00000162572.21",11593,4,23,"SCNN1D","protein_coding",166.5,113,4,0,8.845,-6.17,NA,NA,0.9743315,"42"
"ENSG00000131584.19",17219,2,26,"ACAP3","protein_coding",186,101,1,0,-14.24,-21.36,NA,NA,0.186074,"317"
"ENSG00000169972.12",3080,1,8,"PUSL1","protein_coding",194,156.5,1,0,9.6,-7.08,NA,NA,0.171055,"177"
"ENSG00000127054.22",13102,7,35,"INTS11","protein_coding",139,106.5,4,0,-10.32,-16.05,NA,NA,0.460172,"83"
"ENSG00000240731.1",1108,1,2,"ENSG00000240731","lncRNA",723,193,2,0,-14.37,-18.63,0.001,NA,0.0862992,"277"
"ENSG00000224051.7",4140,1,3,"CPTP","protein_coding",970.5,301,1,0,9.475,-0.98,NA,NA,0.650481,"145"
"ENSG00000169962.5",4034,1,6,"TAS1R3","protein_coding",114,279,1,0,9.6,3.2,NA,NA,1,NA
"ENSG00000107404.21",14142,2,18,"DVL1","protein_coding",205,127,1,0,-12.1,-14.21,NA,NA,0.969848,"399"
"ENSG00000162576.17",9088,4,17,"MXRA8","protein_coding",121,102,1,0,-12.3,-20.48,NA,NA,0.996546,"795"
"ENSG00000175756.14",1477,4,10,"AURKAIP1","protein_coding",259,171,1,0,-19.11,-11.08,NA,NA,0.9776165,NA
"ENSG00000221978.13",13624,2,13,"CCNL2","protein_coding",347,110,1,0,-18.4,-13.96,NA,NA,0.790238,"91.5"
"ENSG00000224870.9",2531,1,3,"MRPL20-AS1","lncRNA",295,325,1,0,4.925,-15.41,NA,NA,0.0731597,"82"
"ENSG00000242485.6",5384,2,6,"MRPL20","protein_coding",1022,160,1,0,-7.87,-14.16,NA,NA,0.2527935,"15"
"ENSG00000235098.9",3349,5,11,"ANKRD65","protein_coding",353,464,1,0,-16.345,-25.89,NA,NA,0.983782,"298"
"ENSG00000225905.1",2446,1,2,"ANKRD65-AS1","lncRNA",1904,271.5,1,0,2.57,-2.82,1,NA,0.0236515,"20"
"ENSG00000205116.4",4384,1,2,"TMEM88B","protein_coding",1168,1608.5,1,0,7.75,-3.32,0.999,0.99,0.640789,"136"
"ENSG00000225285.1",4034,2,4,"LINC01770","lncRNA",3374,317,4,0,-23.865,-40.635,NA,NA,0.11918795,"460"
"ENSG00000179403.12",8021,2,6,"VWA1","protein_coding",1548,428.5,1,0,9.17,-13.28,NA,NA,0.565004,"579"
"ENSG00000215915.10",20474,1,12,"ATAD3C","protein_coding",1287,117,1,0,8.4,-14.07,NA,NA,0.183854,"329"
"ENSG00000160072.20",26083,2,20,"ATAD3B","protein_coding",1194,105.5,1,0,8.4,-13.42,NA,NA,0.998582,"204"
"ENSG00000284740.2",6216,3,6,"ENSG00000284740","transcribed_unprocessed_pseudogene",5543,197.5,1,0,8.4,-18.55,0.998,NA,0.121177,"238"
"ENSG00000197785.14",22523,3,19,"ATAD3A","protein_coding",1150,109,1,0,8.46,-14.58,NA,NA,0.9999625,"238"
"ENSG00000205090.9",5846,3,9,"TMEM240","protein_coding",499,209,1,0,-14.3,-19.94,NA,NA,0.906853,"1067"
"ENSG00000160075.12",33190,2,7,"SSU72","protein_coding",9561,144,1,0,-9.58,-7.83,NA,NA,0.6715045,"96"
"ENSG00000215014.5",2973,1,2,"ENSG00000215014","lncRNA",937,420.5,2,0,-27.22,-9.18,0,0,0.08125615,"7"
"ENSG00000286989.1",2389,1,3,"ENSG00000286989","lncRNA",280,269,1,0,6.46,-9.915,NA,NA,0.435144,NA
"ENSG00000197530.13",15151,4,26,"MIB2","protein_coding",100,157,4,0,7.72,-8.44,NA,NA,0.4538485,"57.5"
"ENSG00000189409.14",3100,2,10,"MMP23B","protein_coding",102,165,1,0,6.78,-6.46,NA,NA,0.371024,NA
"ENSG00000248333.9",23787,3,36,"CDK11B","protein_coding",309.5,119,1,0,-14.83,-17.43,NA,NA,1,"22"
"ENSG00000272004.1",3277,1,2,"ENSG00000272004","lncRNA",2878,200,1,0,6.84,-2.68,0.009,0.003,0.00320811,"129"
"ENSG00000189339.12",33266,3,14,"SLC35E2B","protein_coding",1191,146,1,0,-10.96,-28.03,NA,NA,0.999783,"51"
"ENSG00000269737.2",2407,2,3,"ENSG00000269737","transcribed_processed_pseudogene",621,397,1,0,-4.07,-12.82,0.64,1,0.094832,"256"
"ENSG00000215914.4",1840,1,7,"MMP23A","unprocessed_pseudogene",89,140,1,0,6.29,-6.205,NA,NA,0.998541,NA
"ENSG00000008128.23",21978,4,28,"CDK11A","protein_coding",548,122,1,0,-16.1,-16.14,NA,NA,0.643171,"17"
"ENSG00000268575.1",34952,1,5,"ENSG00000268575","lncRNA",548,128,1,0,-12.45,-16.14,NA,NA,0.999999,"17"
"ENSG00000227775.3",12739,2,4,"ENSG00000227775","transcribed_processed_pseudogene",5995.5,204.5,1,0,-1.195,-7.75,NA,NA,0.0247043,"363"
"ENSG00000215790.8",21154,3,9,"SLC35E2A","transcribed_unprocessed_pseudogene",1610.5,146,1,0,-4.41,-20.185,NA,NA,0.6770175,"51"
"ENSG00000008130.15",29225,3,18,"NADK","protein_coding",572,130,4,0,-12.06,-20.02,NA,NA,0.451425,"133"
"ENSG00000078369.18",105832,2,14,"GNB1","protein_coding",2648,116,1,0,-15.55,-20.97,NA,NA,0.262712,"44"
"ENSG00000231050.3",1503,1,2,"GNB1-DT","lncRNA",441,509,1,0,9.16,-10.29,NA,NA,0.163624,NA
"ENSG00000169885.10",2188,1,6,"CALML6","protein_coding",136,123,1,0,9.25,-8.83,NA,NA,0.726743,"96.5"
"ENSG00000178821.13",1689,2,7,"TMEM52","protein_coding",93,179,1,0,-8.05,-17.51,NA,NA,0.1901215,"99"
"ENSG00000142609.20",81886,2,42,"CFAP74","protein_coding",1037,130,1,0,-13.52,-17.38,NA,NA,0.9999405,"110"
"ENSG00000233542.2",2426,2,5,"ENSG00000233542","lncRNA",364,275,1,0,-16.56,-21.2,0.126,NA,0.0297668,"18"
"ENSG00000187730.9",11429,4,17,"GABRD","protein_coding",411,138,1,0,8.41,-9.57,NA,NA,0.997732,"146"
"ENSG00000226969.1",867,1,3,"PRKCZ-DT","lncRNA",165,165,1,0,-7.68,-32.265,NA,NA,0.0818059,"48"
"ENSG00000067606.17",134984,2,20,"PRKCZ","protein_coding",2450,98,1,0,9.49,-12.71,NA,NA,0.08896645,"132"
"ENSG00000182873.5",2595,2,5,"PRKCZ-AS1","lncRNA",747,305,1,0,-12.95,-24.84,0.005,0.703,0.6606145,"220"
"ENSG00000162585.17",28259,2,6,"FAAP20","protein_coding",777,234,1,0,-23.95,-18.09,NA,NA,0.294329,"56"
"ENSG00000234396.3",8215,1,2,"ENSG00000234396","lncRNA",7890,163,1,0,5.37,-19.05,0.999,0.055,0.331339,"138"
"ENSG00000157933.10",81894,1,7,"SKI","protein_coding",382.5,263,1,0,9.485,-1.165,NA,NA,0.1031302,"68"
"ENSG00000287356.1",8045,2,5,"ENSG00000287356","lncRNA",599,959,1,0,6.92,-7.06,NA,NA,0.5146755,"347"
"ENSG00000116151.14",70454,2,16,"MORN1","protein_coding",1587,99,1,0,-18.11,-16.86,NA,NA,0.5,"191.5"
"ENSG00000157916.20",13667,5,16,"RER1","protein_coding",1271,105,1,0,8.08,-6.275,NA,NA,0.247573,"37"
"ENSG00000157911.11",9833,3,10,"PEX10","protein_coding",1512,175,1,0,-8.83,-19.77,NA,NA,0.959025,"110.5"
"ENSG00000149527.18",79552,3,29,"PLCH2","protein_coding",913,137,5,0,7.77,-8.07,NA,NA,1,"188"
"ENSG00000224387.1",958,1,2,"ENSG00000224387","lncRNA",504,227.5,1,0,-25.31,-16.36,NA,NA,0.236163,"225"
"ENSG00000229393.1",1042,1,2,"ENSG00000229393","lncRNA",529,257,1,0,-13.4,-22.91,NA,0.002,0.126525,"220"
"ENSG00000157881.16",18060,1,21,"PANK4","protein_coding",498,105,4,0,-15.76,-17.7,NA,NA,0.253739,"132"
"ENSG00000197921.6",1518,1,3,"HES5","protein_coding",97.5,166,1,0,-1.165,-3.8,NA,NA,0.866568,NA
"ENSG00000272449.3",17407,1,2,"ENSG00000272449","lncRNA",15866,765.5,1,0,4.74,-13.29,0.106,NA,0.202297,"111"
"ENSG00000238164.6",7111,4,14,"TNFRSF14-AS1","lncRNA",298,200,4,0,-11.55,-24.19,NA,NA,0.1890875,"68"
"ENSG00000157873.18",9743,2,11,"TNFRSF14","protein_coding",779,126,1,0,9.85,-9.2,NA,NA,0.7261755,"313"
"ENSG00000225931.3",3478,1,3,"ENSG00000225931","TEC",1091,196,1,0,7.43,-10.985,NA,NA,0.184818,"104.5"
"ENSG00000228037.1",2973,1,3,"ENSG00000228037","lncRNA",1174,126,1,0,9.59,-2.47,NA,NA,0.258596,"145.5"
"ENSG00000157870.17",4978,5,17,"PRXL2B","protein_coding",369,118.5,1,0,8.42,-4.6,NA,NA,0.171837,"259"
"ENSG00000142606.16",42377,2,27,"MMEL1","protein_coding",624,96,4,0,-10.41,-18.14,NA,NA,0.113894,"185"
"ENSG00000237058.1",4052,1,2,"MMEL1-AS1","lncRNA",3680,186.5,1,0,8.91,-8.47,0.004,NA,0.0147565,"49"
"ENSG00000215912.13",164707,2,11,"TTC34","protein_coding",1919.5,220.5,1,0,-22.2,-12.38,NA,NA,1,"522"
"ENSG00000285945.1",16642,1,3,"ENSG00000285945","lncRNA",8025,206,1,0,10.23,8.14,NA,NA,0.00938885,"233.5"
"ENSG00000283259.1",2870,1,10,"ENSG00000283259","lncRNA",82,118,1,0,9.6,3.63,NA,NA,0.0261189,"20"
"ENSG00000233234.1",842,1,2,"ENSG00000233234","lncRNA",236,303.5,1,0,-11.05,-40,0.001,NA,0.0475104,"73"
"ENSG00000287396.1",3711,1,2,"ENSG00000287396","lncRNA",3049,331.5,1,0,7.15,1.16,NA,0.002,0.0230601,"25"
"ENSG00000231630.1",566,1,2,"ENSG00000231630","lncRNA",138,214.5,2,0,-3.46,-17.06,NA,0.001,0.0561159,NA
"ENSG00000284745.1",8049,1,3,"ENSG00000284745","lncRNA",624.5,429,1,0,-14.58,-10.235,NA,NA,0.343148,"24"
"ENSG00000177133.14",9480,4,16,"PRDM16-DT","lncRNA",476,216,1,0,-18.16,-15.73,NA,NA,0.114653,"8"
"ENSG00000142611.17",369453,4,24,"PRDM16","protein_coding",4646,170,1,0,9.45,-4.59,NA,NA,1,"143.5"
"ENSG00000226286.1",782,1,2,"ENSG00000226286","lncRNA",314,234.5,1,0,-17.44,-15.22,0.001,NA,0.192226,"191"
"ENSG00000287828.1",10097,1,2,"ENSG00000287828","lncRNA",9370,364,1,0,-21.8,-32.18,NA,NA,0.175404,"45"
"ENSG00000286518.1",6113,1,2,"ENSG00000286518","lncRNA",3330,1392,1,0,-20.48,-35.99,NA,NA,0.262664,"33"
"ENSG00000130762.15",26448,3,17,"ARHGEF16","protein_coding",974,149.5,1,0,9.11,-15.64,NA,NA,0.985055,"716"
"ENSG00000162591.17",123557,3,42,"MEGF6","protein_coding",629,129,1,0,-12.49,-16.17,NA,NA,0.609909,"150"
"ENSG00000238260.3",1929,2,5,"ENSG00000238260","lncRNA",590,640,1,0,-11.44,-29.51,NA,NA,0.0987907,NA
"ENSG00000158109.15",5112,2,6,"TPRG1L","protein_coding",755,177,1,0,8.48,-2.43,NA,NA,0.9926725,"79.5"
"ENSG00000116213.16",21994,2,14,"WRAP73","protein_coding",964,117,1,0,-14.94,-18.86,NA,NA,0.545768,"71"
"ENSG00000078900.15",83685,8,23,"TP73","protein_coding",1146,122,1,0,9.65,-9.03,NA,NA,1,"154"
"ENSG00000227589.1",9834,1,3,"TP73-AS3","lncRNA",4540.5,148,1,0,-10.535,-16.175,NA,NA,0.158816,"31.5"
"ENSG00000235131.1",2098,1,2,"TP73-AS2","lncRNA",1748,175.5,1,0,-27.9,-22.06,0,NA,0.00405326,"178"
"ENSG00000227372.12",11862,3,15,"TP73-AS1","transcribed_unitary_pseudogene",1383,142.5,1,0,-18.1,-18.53,NA,NA,0.976967,"21"
"ENSG00000162592.10",25185,1,12,"CCDC27","protein_coding",1215,140.5,1,0,8.24,-2.14,NA,NA,1,"231"
"ENSG00000235169.11",3233,3,8,"SMIM1","protein_coding",311,119,1,0,10.07,-4.09,NA,NA,0.04091255,"142"
"ENSG00000130764.10",17939,1,7,"LRRC47","protein_coding",1145.5,117,1,0,-22.57,-21.15,NA,NA,0.344147,"68.5"
"ENSG00000116198.14",45310,8,36,"CEP104","protein_coding",1048,156,1,0,-12.62,-13.75,NA,NA,1,"23"
"ENSG00000169598.17",28162,3,12,"DFFB","protein_coding",1973,171,1,0,7.39,-0.285,NA,NA,0.700049,"112"
"ENSG00000198912.12",11168,3,9,"C1orf174","protein_coding",1825,114,1,0,-10.67,-23.71,NA,NA,0.119665,"46"
"ENSG00000236423.8",16878,3,9,"LINC01134","lncRNA",3291.5,229,1,0,6.34,-6.25,NA,NA,0.06705275,"31"
"ENSG00000233304.7",14776,2,5,"LINC01346","lncRNA",705,566,1,0,8.68,-6.22,NA,NA,0.1987395,"112"
"ENSG00000226374.3",4477,1,6,"LINC01345","lncRNA",628,160,1,0,-11.43,-17.05,NA,NA,0.0493108,"93.5"
"ENSG00000284668.2",36571,3,11,"LINC02780","lncRNA",1058,109,1,0,8.54,-14.845,NA,NA,0.0349864,"88"
"ENSG00000284703.1",6587,1,2,"ENSG00000284703","lncRNA",1771,2408.5,1,0,-12.13,-17.24,0.298,0.001,0.144894,"47"
"ENSG00000235054.4",12662,1,6,"LINC01777","lncRNA",724,332.5,1,0,8.88,0.28,NA,NA,0.13179,"24"
"ENSG00000284694.1",5244,1,2,"ENSG00000284694","lncRNA",1843,1701,1,0,-8.05,-1.82,NA,NA,0.2935,"54"
"ENSG00000227169.2",410,1,2,"ENSG00000227169","lncRNA",55,178,1,0,-8.52,-26.25,NA,NA,0.0038097,"24"
"ENSG00000232596.3",22535,4,13,"LINC01646","lncRNA",840,124.5,1,0,8.925,-7.16,NA,NA,0.0507554,"40"
"ENSG00000196581.11",137925,2,8,"AJAP1","protein_coding",5414,320,1,0,8.92,-3.32,NA,NA,0.998775,"107"
"ENSG00000287586.1",4781,1,2,"ENSG00000287586","lncRNA",505,1515,1,0,-15.38,-15.47,NA,NA,0.158887,"18"
"ENSG00000284739.1",9344,1,3,"ENSG00000284739","lncRNA",4440.5,136,1,0,-2.075,0.29,NA,NA,0.027659,"35"
"ENSG00000284674.1",8187,1,5,"LINC02781","lncRNA",1381.5,130,1,0,8.665,-4.955,NA,NA,0.23866,"26.5"
"ENSG00000231510.1",4440,1,4,"LINC02782","lncRNA",1681,117,4,0,-14.37,-29.49,NA,NA,0.0272372,"23"
"ENSG00000284616.1",5466,1,4,"ENSG00000284616","lncRNA",1323,265,1,0,-15.5,-12.24,NA,NA,0.0270435,"33"
"ENSG00000284692.2",14321,2,6,"ENSG00000284692","lncRNA",147,222,1,0,-16.41,-28.71,NA,NA,0.0376233,"24.5"
"ENSG00000284666.1",1241,1,2,"ENSG00000284666","lncRNA",633,304.5,1,0,-15.62,-4.82,NA,0.005,0.0767587,"4"
"ENSG00000236948.2",106586,2,5,"ENSG00000236948","lncRNA",80565,186,1,0,-20.2,-20.64,NA,NA,0.09336375,"18"
"ENSG00000289893.1",38095,1,4,"ENSG00000289893","lncRNA",9822,105,1,0,-19.07,-8.25,NA,NA,0.152635,"74"
"ENSG00000131697.18",129662,2,33,"NPHP4","protein_coding",3401,156.5,4,0,-16.32,-17.395,NA,NA,0.682107,"124"
"ENSG00000069424.16",110266,21,58,"KCNAB2","protein_coding",1416.5,86,1,0,8.4,-2.68,NA,NA,0.7913545,"174"
"ENSG00000116254.18",78534,1,42,"CHD5","protein_coding",713,136,1,0,-13.98,-15.15,NA,NA,1,"155"
"ENSG00000285629.1",38327,1,4,"ENSG00000285629","protein_coding",10038.5,125,1,0,-25.27,-13.76,NA,NA,0.0631881,"124"
"ENSG00000116251.11",24369,2,5,"RPL22","protein_coding",4597,125,1,0,-21.11,-10.57,NA,NA,0.152006,"16"
"ENSG00000226944.1",940,1,3,"RNF207-AS1","lncRNA",281.5,143,1,0,-13.955,-22.23,NA,NA,0.00355919,"54.5"
"ENSG00000158286.13",15824,1,18,"RNF207","protein_coding",265,108,4,0,8.05,-7.86,NA,NA,0.445102,"136"
"ENSG00000116237.16",14779,1,5,"ICMT","protein_coding",1298,218,1,0,-11.01,-16.34,NA,NA,0.697788,"66"
"ENSG00000225077.3",4752,2,8,"ICMT-DT","lncRNA",372,185,4,0,9.09,-3.99,NA,NA,0.143753,"71"
"ENSG00000173673.8",1399,1,4,"HES3","protein_coding",109,89,1,0,7.98,1.29,NA,NA,0.969993,"168"
"ENSG00000158292.7",13745,1,6,"GPR153","protein_coding",713,352,1,0,-16.09,-15.11,NA,NA,1,"135"
"ENSG00000097021.20",129498,6,16,"ACOT7","protein_coding",10159,118,1,0,-11.02,-14.94,NA,NA,0.9999995,"111.5"
"ENSG00000069812.11",12252,5,13,"HES2","protein_coding",176.5,132,1,0,-9.04,-36.59,NA,NA,0.1834985,"2"
"ENSG00000187017.18",36591,3,19,"ESPN","protein_coding",2511,194,1,0,8.23,-16.45,NA,NA,0.1509315,"267"
"ENSG00000231868.1",3972,1,3,"ENSG00000231868","lncRNA",1811,120,1,0,-10.31,-16.1,NA,NA,0.169219,"236"
"ENSG00000215788.11",5389,4,17,"TNFRSF25","protein_coding",368,121,1,0,-14.72,-26.855,NA,NA,0.998092,"234"
"ENSG00000171680.23",52952,13,39,"PLEKHG5","protein_coding",363,133,1,0,-15.58,-17.87,NA,NA,1,"124"
"ENSG00000162408.11",33166,1,12,"NOL9","protein_coding",2164,149,1,0,-16.54,-22.5,NA,NA,0.332126,"14"
"ENSG00000229519.2",714,1,2,"ENSG00000229519","processed_pseudogene",314,200.5,0,2,-30.13,-12.69,0.017,0.988,0.0965375,"78"
"ENSG00000173662.21",24448,2,8,"TAS1R1","protein_coding",1582,258,1,0,9.43,-4.12,NA,NA,1,"131"
"ENSG00000204859.13",9286,1,11,"ZBTB48","protein_coding",410.5,143,1,0,8.33,-3.4,NA,NA,0.794722,"44"
"ENSG00000162413.17",23883,4,10,"KLHL21","protein_coding",3489,406,1,0,-11.44,-10.94,NA,NA,0.999949,"257"
"ENSG00000116273.6",10299,1,4,"PHF13","protein_coding",2651,455,1,0,10.03,0.01,NA,NA,0.5100356,"41"
"ENSG00000041988.16",10718,3,12,"THAP3","protein_coding",1599,119,1,0,10.1,-3.45,NA,NA,0.7307575,"128"
"ENSG00000007923.17",67756,2,18,"DNAJC11","protein_coding",1226,123,1,0,-13.26,-14.5,NA,NA,0.992453,"47"
"ENSG00000228750.7",5375,2,5,"LINC01672","lncRNA",2107,214,1,0,10.07,5.75,NA,0.017,0.0277818,"26"
"ENSG00000284744.1",2084,1,3,"ENSG00000284744","lncRNA",549,128,4,0,-0.435,-12.99,NA,NA,0.0173052,"37.5"
"ENSG00000237436.1",951,1,3,"CAMTA1-DT","lncRNA",268.5,154,1,0,-10.38,-3.125,NA,NA,0.00268634,"118"
