"Gene_Id","Gene_length","Num_of_Transcripts","Num_of_Exons","Gene_type","Exon_Length"
"ENSG00000274944",17116,3,13,"protein_coding",NA
"ENSG00000132906",35702,11,30,"protein_coding","177"
"ENSG00000197312",51586,6,20,"protein_coding","129.5"
"ENSG00000284748",11210,1,2,"lncRNA","663"
"ENSG00000272078",15092,1,2,"lncRNA","3961.5"
"ENSG00000173660",13078,4,10,"protein_coding","142.5"
"ENSG00000224592",71711,2,8,"lncRNA","116"
"ENSG00000233728",1159,1,2,"lncRNA","350"
"ENSG00000230451",144,1,1,"processed_pseudogene",NA
"ENSG00000231606",82558,2,6,"lncRNA","217"
"ENSG00000215900",571,1,2,"processed_pseudogene",NA
"ENSG00000284632",61763,3,7,"lncRNA","185"
"ENSG00000241014",3007,2,4,"transcribed_unitary_pseudogene",NA
"ENSG00000054118",80925,4,21,"protein_coding","168"
"ENSG00000254553",135735,1,8,"protein_coding","174.5"
"ENSG00000284653",29900,1,4,"lncRNA","586.5"
"ENSG00000237749",252,1,1,"processed_pseudogene",NA
"ENSG00000276747",29503,1,16,"protein_coding","125"
"ENSG00000284705",6629,1,2,"lncRNA","1347"
"ENSG00000228776",756,1,2,"processed_pseudogene",NA
"ENSG00000159339",55809,5,24,"protein_coding","119"
"ENSG00000197982",2475,4,8,"protein_coding","476"
"ENSG00000261781",8755,1,3,"lncRNA","191"
"ENSG00000183317",51253,11,47,"protein_coding","150"
"ENSG00000183386",8836,5,11,"protein_coding","175.5"
"ENSG00000284743",1618,1,2,"lncRNA","337"
"ENSG00000158315",56023,3,12,"protein_coding","149"
"ENSG00000204084",86360,11,41,"protein_coding","112"
"ENSG00000186973",11243,6,11,"protein_coding","124.5"
"ENSG00000146463",153349,6,42,"protein_coding","151"
"ENSG00000183520",15562,4,14,"protein_coding","112.5"
"ENSG00000271741",50208,1,3,"protein_coding","154"
"ENSG00000214141",2748,1,2,"processed_pseudogene",NA
"ENSG00000142686",5017,3,7,"protein_coding","1314"
"ENSG00000224751",1311,1,1,"processed_pseudogene",NA
"ENSG00000117148",71730,2,5,"protein_coding","375"
"ENSG00000230585",810,1,1,"processed_pseudogene",NA
"ENSG00000117000",79534,1,8,"protein_coding","148.5"
"ENSG00000284989",280865,1,26,"protein_coding","120.5"
"ENSG00000231630",566,1,2,"lncRNA","214.5"
"ENSG00000092853",49760,5,34,"protein_coding","128"
"ENSG00000255811",26671,1,2,"lncRNA","280"
"ENSG00000134697",29121,9,31,"protein_coding","121.5"
"ENSG00000187513",2748,2,3,"protein_coding","810.5"
"ENSG00000238145",1191,1,1,"processed_pseudogene",NA
"ENSG00000225142",435,1,1,"processed_pseudogene",NA
"ENSG00000230138",1589,2,5,"lncRNA","118"
"ENSG00000223390",10888,1,2,"lncRNA","381"
"ENSG00000284720",1603,1,2,"lncRNA","760.5"
"ENSG00000225671",594,1,1,"processed_pseudogene",NA
"ENSG00000116151",70454,11,32,"protein_coding","99"
"ENSG00000226147",1300,1,1,"processed_pseudogene",NA
"ENSG00000006555",21611,5,15,"protein_coding","153"
"ENSG00000236111",680,1,1,"processed_pseudogene",NA
"ENSG00000066056",22126,10,42,"protein_coding","141"
"ENSG00000214114",10875,4,8,"protein_coding","78"
"ENSG00000116544",64214,3,15,"protein_coding","206"
"ENSG00000231900",1308,1,1,"processed_pseudogene",NA
"ENSG00000236723",3992,2,5,"lncRNA","262"
"ENSG00000232467",600,1,1,"processed_pseudogene",NA
"ENSG00000117016",45002,2,11,"protein_coding","141"
"ENSG00000121310",31302,26,60,"protein_coding","87"
"ENSG00000169213",82744,1,5,"protein_coding","149"
"ENSG00000163866",147018,6,16,"protein_coding","294"
"ENSG00000225779",369,1,1,"processed_pseudogene",NA
"ENSG00000284601",5564,4,10,"lncRNA","380.5"
"ENSG00000237130",369,1,1,"processed_pseudogene",NA
"ENSG00000143001",11660,1,3,"protein_coding","453"
"ENSG00000227416",428,1,1,"processed_pseudogene",NA
"ENSG00000232335",4187,1,2,"lncRNA","269.5"
"ENSG00000260971",323142,24,56,"lncRNA","138.5"
"ENSG00000259832",195,1,1,"unprocessed_pseudogene",NA
"ENSG00000284696",91530,9,28,"lncRNA","136"
"ENSG00000238242",34909,2,7,"lncRNA","141"
"ENSG00000285839",13197,1,7,"protein_coding","84"
"ENSG00000237290",5772,2,7,"lncRNA","221.5"
"ENSG00000232762",2926,1,6,"lncRNA","121.5"
"ENSG00000117419",134190,10,28,"protein_coding","100"
"ENSG00000162384",6535,7,19,"protein_coding","72"
"ENSG00000162391",14375,2,11,"protein_coding","160"
"ENSG00000174348",23449,8,25,"protein_coding","149"
"ENSG00000117859",221248,26,72,"protein_coding","92"
"ENSG00000228121",818,1,1,"processed_pseudogene",NA
"ENSG00000253313",3740,2,5,"protein_coding","127.5"
"ENSG00000162396",7625,1,2,"protein_coding","1178"
"ENSG00000203995",52487,3,17,"protein_coding","141"
"ENSG00000284686",351062,5,12,"protein_coding","184.5"
"ENSG00000162378",100883,2,17,"protein_coding","141"
"ENSG00000233079",81865,3,8,"lncRNA","280"
"ENSG00000259818",3590,1,1,"lncRNA","3591"
"ENSG00000229444",17951,1,4,"lncRNA","122"
"ENSG00000240563",17479,1,4,"protein_coding","606"
"ENSG00000234318",5630,1,2,"lncRNA","223.5"
"ENSG00000284773",10957,1,2,"protein_coding","1581.5"
"ENSG00000234481",5956,2,5,"lncRNA","300"
"ENSG00000117862",35060,5,10,"protein_coding","79"
"ENSG00000235612",9503,1,3,"lncRNA","271"
"ENSG00000228369",1765,1,3,"lncRNA","66"
"ENSG00000183431",33100,8,30,"protein_coding","91"
"ENSG00000227485",1451,1,2,"lncRNA","179.5"
"ENSG00000224609",164559,13,28,"lncRNA","547.5"
"ENSG00000235545",22212,1,2,"lncRNA","614"
"ENSG00000236646",269,1,1,"processed_pseudogene",NA
"ENSG00000232198",606,1,1,"processed_pseudogene",NA
"ENSG00000238063",41695,16,32,"lncRNA","151"
"ENSG00000227104",566,1,2,"transcribed_unprocessed_pseudogene",NA
"ENSG00000243725",26796,4,16,"protein_coding","121.5"
"ENSG00000171872",16319,2,8,"protein_coding","544.5"
"ENSG00000162407",150540,5,14,"protein_coding","227.5"
"ENSG00000285079",10885,1,3,"lncRNA","345"
"ENSG00000169218",23542,3,12,"protein_coding","189"
"ENSG00000163877",19844,4,11,"protein_coding","443.5"
"ENSG00000228929",454,1,1,"processed_pseudogene",NA
"ENSG00000224570",2251,1,2,"processed_pseudogene",NA
"ENSG00000224980",630,1,2,"processed_pseudogene",NA
"ENSG00000278967",1818,1,1,"TEC","1819"
"ENSG00000157184",17405,12,24,"protein_coding","276"
"ENSG00000198815",159338,9,28,"protein_coding","129"
"ENSG00000134744",145205,21,78,"protein_coding","120"
"ENSG00000233910",720,1,1,"processed_pseudogene",NA
"ENSG00000287703",45575,1,2,"lncRNA","713"
"ENSG00000283039",3810,1,2,"protein_coding","1579.5"
"ENSG00000229032",341,1,1,"processed_pseudogene",NA
"ENSG00000229294",27065,1,2,"lncRNA","256"
"ENSG00000232993",15564,1,2,"lncRNA","233.5"
"ENSG00000234088",404,1,1,"processed_pseudogene",NA
"ENSG00000236973",999,1,1,"processed_pseudogene",NA
"ENSG00000277397",5979,1,2,"unprocessed_pseudogene",NA
"ENSG00000271200",426,1,1,"lncRNA","427"
"ENSG00000235446",33642,2,6,"lncRNA","186.5"
"ENSG00000261196",120,1,1,"unprocessed_pseudogene",NA
"ENSG00000162385",11618,4,11,"protein_coding","111"
"ENSG00000234264",41951,1,3,"lncRNA","155"
"ENSG00000242391",514,1,2,"lncRNA","190"
"ENSG00000223883",173769,7,23,"lncRNA","151.5"
"ENSG00000284808",52184,1,3,"lncRNA","155"
"ENSG00000237227",306,1,1,"processed_pseudogene",NA
"ENSG00000275350",584,1,1,"processed_pseudogene",NA
"ENSG00000116652",3554,1,1,"lncRNA","3555"
"ENSG00000123080",13889,3,7,"protein_coding","741"
"ENSG00000285778",127970,3,8,"lncRNA","199.5"
"ENSG00000233407",17043,1,2,"lncRNA","125"
"ENSG00000225675",8276,1,3,"lncRNA","143"
"ENSG00000237622",336,1,1,"processed_pseudogene",NA
"ENSG00000162598",86501,5,21,"protein_coding","134"
"ENSG00000280317",300,1,1,"TEC","301"
"ENSG00000162415",289810,2,17,"protein_coding","161"
"ENSG00000162600",131418,11,32,"protein_coding","150"
"ENSG00000116704",54798,1,12,"protein_coding","81"
"ENSG00000227644",279,1,1,"processed_pseudogene",NA
"ENSG00000157193",86105,36,96,"protein_coding","140"
"ENSG00000116205",58935,5,13,"protein_coding","194"
"ENSG00000198841",1707,1,1,"protein_coding","1708"
"ENSG00000116212",22083,5,18,"protein_coding","119"
"ENSG00000234204",822,1,2,"processed_pseudogene",NA
"ENSG00000233099",3539,1,2,"lncRNA","188.5"
"ENSG00000233994",607,1,1,"processed_pseudogene",NA
"ENSG00000233973",49644,17,30,"lncRNA","196"
"ENSG00000237552",21143,1,3,"lncRNA","125"
"ENSG00000132854",83269,4,15,"protein_coding","201"
"ENSG00000227556",106,1,1,"unprocessed_pseudogene",NA
"ENSG00000162607",15507,4,15,"protein_coding","202"
"ENSG00000233602",865,1,2,"lncRNA","309.5"
"ENSG00000233271",11324,1,2,"lncRNA","214"
"ENSG00000285954",21442,1,4,"lncRNA","224"
"ENSG00000233333",756,1,1,"processed_pseudogene",NA
"ENSG00000154027",277947,13,40,"protein_coding","168"
"ENSG00000234108",330,1,1,"processed_pseudogene",NA
"ENSG00000232676",1123,1,1,"processed_pseudogene",NA
"ENSG00000225167",294,1,1,"processed_pseudogene",NA
"ENSG00000213579",456,1,1,"processed_pseudogene",NA
"ENSG00000137960",158902,2,8,"protein_coding","183.5"
"ENSG00000237852",7782,1,2,"lncRNA","211.5"
"ENSG00000116745",21132,1,14,"protein_coding","122.5"
"ENSG00000132855",8793,3,10,"protein_coding","115"
"ENSG00000285407",264250,3,11,"lncRNA","293"
"ENSG00000272855",462,1,1,"lncRNA","463"
"ENSG00000270549",237,1,1,"processed_pseudogene",NA
"ENSG00000237163",302,1,1,"processed_pseudogene",NA
"ENSG00000229636",1490,1,1,"processed_pseudogene",NA
"ENSG00000116675",167652,8,33,"protein_coding","143"
"ENSG00000162433",84596,8,17,"protein_coding","173"
"ENSG00000213625",15420,6,14,"protein_coding","118"
"ENSG00000227207",357,1,1,"processed_pseudogene",NA
"ENSG00000227016",26251,1,7,"lncRNA","214"
"ENSG00000233664",320,1,1,"processed_pseudogene",NA
"ENSG00000158966",222929,6,36,"protein_coding","143"
"ENSG00000213703",545,1,1,"processed_pseudogene",NA
"ENSG00000203965",49321,6,25,"protein_coding","145.5"
"ENSG00000223479",79998,2,5,"lncRNA","93"
"ENSG00000233674",270,1,1,"processed_pseudogene",NA
"ENSG00000153898",71530,6,22,"protein_coding","122.5"
"ENSG00000117069",200066,5,12,"protein_coding","246"
"ENSG00000125703",81384,5,20,"protein_coding","128.5"
"ENSG00000285041",6724,1,3,"lncRNA","82"
"ENSG00000285808",61371,1,8,"lncRNA","112"
"ENSG00000229440",216,1,1,"processed_pseudogene",NA
"ENSG00000234144",225,1,1,"processed_pseudogene",NA
"ENSG00000213540",492,1,1,"processed_pseudogene",NA
"ENSG00000277670",357,1,2,"unprocessed_pseudogene",NA
"ENSG00000227466",8218,1,3,"lncRNA","188"
"ENSG00000154007",13531,1,3,"protein_coding","286"
"ENSG00000230498",4418,1,3,"lncRNA","310"
"ENSG00000285782",27798,1,8,"lncRNA","104.5"
"ENSG00000162618",392360,17,58,"protein_coding","169"
"ENSG00000224493",669,1,1,"processed_pseudogene",NA
"ENSG00000131233",7518,2,3,"protein_coding","1901"
"ENSG00000272371",455,1,1,"lncRNA","456"
"ENSG00000287647",6290,1,2,"lncRNA","1029.5"
"ENSG00000229225",950,1,2,"lncRNA","78.5"
"ENSG00000230863",82871,3,7,"transcribed_processed_pseudogene",NA
"ENSG00000287224",1855,1,2,"lncRNA","708"
"ENSG00000225598",1257,1,2,"lncRNA","290"
"ENSG00000286455",7417,1,5,"lncRNA","135"
"ENSG00000225087",262693,9,22,"lncRNA","117"
"ENSG00000280378",1754,1,1,"TEC","1755"
"ENSG00000188786",50018,2,13,"protein_coding","132"
"ENSG00000230053",367,1,1,"processed_pseudogene",NA
"ENSG00000137941",134126,14,57,"protein_coding","148"
"ENSG00000224326",49385,1,2,"lncRNA","174.5"
"ENSG00000286548",97939,3,10,"lncRNA","257"
"ENSG00000066135",55369,5,15,"protein_coding","154.5"
"ENSG00000230027",24658,2,5,"lncRNA","312"
"ENSG00000233061",5182,1,2,"lncRNA","1460.5"
"ENSG00000272094",2370,1,2,"lncRNA","439.5"
"ENSG00000228853",42780,1,3,"lncRNA","196"
"ENSG00000215874",632,1,1,"processed_pseudogene",NA
"ENSG00000232453",49029,10,20,"lncRNA","165"
"ENSG00000260386",9563,5,17,"transcribed_unitary_pseudogene",NA
"ENSG00000284895",43510,1,2,"protein_coding","40.5"
"ENSG00000117174",59016,2,13,"protein_coding","104"
"ENSG00000237413",139865,2,11,"lncRNA","249.5"
"ENSG00000184313",68512,13,50,"protein_coding","130"
"ENSG00000284645",6425,1,3,"lncRNA","153"
"ENSG00000225605",92902,24,46,"lncRNA","115"
"ENSG00000225446",4131,2,4,"lncRNA","773.5"
"ENSG00000288543",10562,1,4,"lncRNA","125.5"
"ENSG00000122420",236817,4,10,"protein_coding","870"
"ENSG00000284240",52072,3,10,"lncRNA","131"
"ENSG00000236290",702,1,1,"processed_pseudogene",NA
"ENSG00000143013",20043,4,11,"protein_coding","197.5"
"ENSG00000226084",554,1,1,"processed_pseudogene",NA
"ENSG00000134748",16234,3,15,"protein_coding","112"
"ENSG00000142892",130441,5,18,"protein_coding","112"
"ENSG00000219102",1062,1,1,"processed_pseudogene",NA
"ENSG00000184005",559857,3,9,"protein_coding","197.5"
"ENSG00000230953",174,1,1,"processed_pseudogene",NA
"ENSG00000287743",7632,1,2,"lncRNA","836"
"ENSG00000229332",561,1,1,"processed_pseudogene",NA
"ENSG00000227937",381,1,1,"processed_pseudogene",NA
"ENSG00000229752",738,1,1,"processed_pseudogene",NA
"ENSG00000237505",1064401,13,47,"lncRNA","143.5"
"ENSG00000285462",21437,1,2,"lncRNA","753.5"
"ENSG00000233216",321,1,1,"processed_pseudogene",NA
"ENSG00000197273",2055,1,3,"protein_coding","208"
"ENSG00000226804",1159,1,1,"processed_pseudogene",NA
"ENSG00000230728",6961,1,2,"lncRNA","311.5"
"ENSG00000232846",878,1,1,"processed_pseudogene",NA
"ENSG00000230787",1110,1,1,"processed_pseudogene",NA
"ENSG00000116641",234088,36,122,"protein_coding","136"
"ENSG00000223920",714,1,1,"processed_pseudogene",NA
"ENSG00000237453",2020,1,2,"lncRNA","171.5"
"ENSG00000172260",886596,5,15,"protein_coding","152"
"ENSG00000285473",49548,1,4,"lncRNA","104"
"ENSG00000237959",321,1,1,"processed_pseudogene",NA
"ENSG00000231364",34057,3,9,"lncRNA","222"
"ENSG00000234578",666,1,2,"lncRNA","235"
"ENSG00000117480",19531,6,24,"protein_coding","125"
"ENSG00000137944",57180,4,20,"protein_coding","100"
"ENSG00000229505",735,1,1,"processed_pseudogene",NA
"ENSG00000228187",570,1,1,"processed_pseudogene",NA
"ENSG00000285201",26502,1,2,"lncRNA","220.5"
"ENSG00000182183",36515,4,12,"protein_coding","276"
"ENSG00000236407",618,1,1,"processed_pseudogene",NA
"ENSG00000271949",300110,1,4,"protein_coding","164"
"ENSG00000227062",417,1,1,"processed_pseudogene",NA
"ENSG00000067334",13634,7,18,"protein_coding","139"
"ENSG00000235011",1094,1,2,"lncRNA","177.5"
"ENSG00000235673",690,1,1,"processed_pseudogene",NA
"ENSG00000226938",745,1,2,"lncRNA","191.5"
"ENSG00000213559",921,1,1,"processed_pseudogene",NA
"ENSG00000287587",15641,1,4,"lncRNA","211"
"ENSG00000142949",98479,16,67,"protein_coding","145"
"ENSG00000116133",37568,12,33,"protein_coding","179"
"ENSG00000232882",620,1,1,"processed_pseudogene",NA
"ENSG00000171502",427710,5,71,"protein_coding","54"
"ENSG00000162399",18239,1,4,"protein_coding","353.5"
"ENSG00000116157",6680,2,5,"protein_coding","262"
"ENSG00000143036",74904,10,33,"protein_coding","138"
"ENSG00000232672",999,1,1,"processed_pseudogene",NA
"ENSG00000230817",263632,4,19,"lncRNA","114"
"ENSG00000065243",152033,6,32,"protein_coding","143"
"ENSG00000226759",20373,28,53,"lncRNA","132.5"
"ENSG00000226960",588,1,1,"unprocessed_pseudogene",NA
"ENSG00000234080",876,1,1,"processed_pseudogene",NA
"ENSG00000237899",18499,1,5,"lncRNA","64"
"ENSG00000223905",663,1,1,"processed_pseudogene",NA
"ENSG00000227290",18162,1,4,"lncRNA","231"
"ENSG00000229486",2506,1,5,"processed_pseudogene",NA
"ENSG00000282898",1083,1,2,"lncRNA","279.5"
"ENSG00000285409",83671,1,3,"lncRNA","152"
"ENSG00000231090",107046,2,4,"lncRNA","427"
"ENSG00000117528",100277,7,35,"protein_coding","91"
"ENSG00000271723",100522,4,12,"protein_coding","123"
"ENSG00000172339",98546,3,9,"protein_coding","170.5"
"ENSG00000036549",121003,11,36,"protein_coding","134"
"ENSG00000287724",8992,1,4,"lncRNA","140"
"ENSG00000058799",38079,7,24,"protein_coding","117"
"ENSG00000225191",1239,1,1,"processed_pseudogene",NA
"ENSG00000287870",2193,1,2,"lncRNA","605.5"
"ENSG00000235563",4033,1,2,"lncRNA","935.5"
"ENSG00000232048",858,1,1,"processed_pseudogene",NA
"ENSG00000232857",834,1,1,"processed_pseudogene",NA
"ENSG00000273637",35161,1,3,"lncRNA","146"
"ENSG00000203985",10888,3,9,"protein_coding","129"
"ENSG00000228838",1682,1,2,"lncRNA","337.5"
"ENSG00000283761",113310,8,34,"protein_coding","123"
