"Gene_Id","Gene_length","Num_of_Transcripts","Num_of_Exons","Gene_type","Exon_Length","Intron_Length","splice5","splice3","codingpotential","branchpt_len","Gene_name","H3K36me3","H3K9me3","H3K4me3","chr_sig"
"ENSG00000116786",50449,5,29,"protein_coding",110,602,4,0,1,141,"PLEKHM2","1","0","1","2"
"ENSG00000287727",4230,1,2,"lncRNA",1438,1355,1,0,0.0441069,162,"RP4-734G22","0","0","0","0"
"ENSG00000286448",1800,1,2,"lncRNA",368,1065,1,0,0.041371,10,"AP006222","0","0","0","0"
"ENSG00000284703",6587,1,2,"lncRNA",2408.5,1771,1,0,0.144894,47,"RP11-718D19","0","0","0","0"
"ENSG00000173614",42073,5,14,"protein_coding",171,4329,1,0,0.975174,6.5,"NMNAT1","1","0","0","1"
"ENSG00000241326",1427,1,2,"lncRNA",218,992,1,0,0.0116703,13,"RP11-807G9","0","0","0","0"
"ENSG00000162592",25185,3,20,"protein_coding",140.5,1215,1,0,1,231,"CCDC27","0","0","0","0"
"ENSG00000204624",58396,3,25,"protein_coding",160,742.5,4,0,0.999369,157.5,"DISP3","0","1","1","2"
"ENSG00000142606",42377,8,37,"protein_coding",96,624,4,0,0.113894,185,"MMEL1","0","1","1","2"
"ENSG00000225931",3478,1,3,"TEC",196,1091,1,0,0.184818,104.5,"RP3-395M20","0","0","0","0"
"ENSG00000171729",67946,6,14,"protein_coding",537,4332,1,0,0.9999375,49,"TMEM51","0","0","1","1"
"ENSG00000229393",1042,1,2,"lncRNA",257,529,1,0,0.126525,220,"RP3-395M20","0","0","0","0"
"ENSG00000037637",105640,4,16,"protein_coding",126,1979,1,0,0.64319,46,"FBXO42","1","0","1","2"
"ENSG00000287586",4781,2,4,"lncRNA",1515,505,1,0,0.158887,18,"RP1-77N19","0","0","0","0"
"ENSG00000159423",31294,6,26,"protein_coding",119,1124.5,1,0,1,278,"ALDH4A1","1","0","1","2"
"ENSG00000227169",410,1,2,"lncRNA",178,55,1,0,0.0038097,24,"RP1-37J18","0","0","0","0"
"ENSG00000011021",41983,9,46,"protein_coding",126,840,1,0,0.9999915,74,"CLCN6","1","0","1","2"
"ENSG00000142615",15363,3,12,"protein_coding",115.5,1241,1,0,0.200479,140,"CELA2A","0","0","0","0"
"ENSG00000215704",25486,4,14,"protein_coding",115,1238,1,0,0.384817,139,"CELA2B","0","0","0","0"
"ENSG00000157916",13667,9,25,"protein_coding",105,1271,1,0,0.247573,37,"RER1","1","0","1","2"
"ENSG00000157881",18060,11,43,"protein_coding",105,498,1,0,0.253739,132,"PANK4","1","0","1","2"
"ENSG00000238290",95964,1,3,"lncRNA",684,46960.5,1,0,0.0319851,79.5,"RP11-431K24","0","0","0","0"
"ENSG00000225387",2685,1,2,"lncRNA",245.5,2195,1,0,0.01454,128,"RP11-422P22","0","0","0","0"
"ENSG00000048707",282017,20,109,"protein_coding",150,2322,4,0,0.218563,26,"VPS13D","1","0","1","2"
"ENSG00000162444",18815,2,7,"protein_coding",141.5,7507,1,0,0.2496337,4,"RBP7","1","1","0","2"
"ENSG00000180758",28797,3,8,"protein_coding",336,5595,1,0,0.165956,85,"GPR157","0","0","1","1"
"ENSG00000184677",102319,4,23,"protein_coding",193,1754,1,0,1,25,"ZBTB40","1","1","1","3"
"ENSG00000224621",2617,1,2,"lncRNA",272,2074,2,0,0.00633093,49,"RP11-276H7","0","0","0","0"
"ENSG00000131697",129662,11,54,"protein_coding",156.5,3401,4,0,0.682107,124,"NPHP4","1","0","1","2"
"ENSG00000284692",14321,3,8,"lncRNA",222,147,1,0,0.0376233,24.5,"RP1-58B11","0","0","0","0"
"ENSG00000284745",8049,2,5,"lncRNA",429,624.5,1,0,0.343148,24,"RP5-907A6","0","0","0","0"
"ENSG00000285945",16642,1,3,"lncRNA",206,8025,1,0,0.00938885,233.5,"ABC14-1188822O7","0","0","0","0"
"ENSG00000233755",69413,2,5,"lncRNA",241,8907,1,0,0.03046225,9,"RP4-799D16","0","0","0","0"
"ENSG00000055070",45570,10,25,"protein_coding",252,1804.5,1,0,0.1261935,31,"SZRD1","1","0","1","2"
"ENSG00000175087",14390,4,10,"protein_coding",302,2871,1,0,0.999976,25,"PDIK1L","1","0","1","2"
"ENSG00000157191",19357,12,30,"protein_coding",109,2778,1,0,0.953686,134,"NECAP2","1","0","1","2"
"ENSG00000230035",12417,1,4,"lncRNA",59,2877,1,0,0.0490033,26,"IGSF21-AS1","0","0","0","0"
"ENSG00000225643",8878,1,2,"lncRNA",241.5,8396,1,0,0.0241877,51,"RP11-70P17","0","0","0","0"
"ENSG00000284666",1241,1,2,"lncRNA",304.5,633,1,0,0.0767587,4,"RP1-58B11","0","0","0","0"
"ENSG00000284309",2434,1,2,"lncRNA",470.5,1494,1,0,0.0744666,44,"RP11-96L14","0","0","0","0"
"ENSG00000162511",25305,3,12,"protein_coding",106,1255,1,0,0.459218,190,"LAPTM5","1","0","1","2"
"ENSG00000158014",8866,3,11,"protein_coding",160,689,1,0,0.999999,199,"SLC30A2","0","0","1","1"
"ENSG00000204138",130782,9,36,"protein_coding",154,3442,1,0,0.999973,21,"PHACTR4","1","1","1","3"
"ENSG00000235263",2379,1,2,"lncRNA",354,1672,1,0,0.0809989,54,"RP13-392I16","0","0","0","0"
"ENSG00000228176",696,1,2,"lncRNA",249,199,1,0,0.0218471,76,"RP4-656G21","0","0","0","0"
"ENSG00000142675",12400,14,49,"protein_coding",85,169,1,0,0.21376,92,"CNKSR1","0","0","0","0"
"ENSG00000197245",4883,1,2,"protein_coding",1399.5,2085,1,0,0.9974,211,"FAM110D","0","0","0","0"
"ENSG00000130772",6963,5,12,"protein_coding",141,1416,4,0,0.997462,34,"MED18","1","0","1","2"
"ENSG00000284676",35422,1,5,"lncRNA",270,6107.5,1,0,0.217195,8.5,"RP11-179G8","0","0","0","0"
"ENSG00000237058",4052,1,2,"lncRNA",186.5,3680,1,0,0.0147565,49,"MMEL1-AS1","0","0","0","0"
"ENSG00000233399",23660,1,7,"lncRNA",201,2765,1,0,0.0829623,14.5,"LINC01648","0","1","0","1"
"ENSG00000090020",68172,6,24,"protein_coding",218,1560,1,0,0.6659215,204,"SLC9A1","1","0","1","2"
"ENSG00000157978",25280,7,23,"protein_coding",115,1510.5,1,0,0.294674,292.5,"LDLRAP1","1","0","1","2"
"ENSG00000130770",10797,4,9,"protein_coding",147,90,1,0,0.313194,35,"ATP5IF1","1","0","1","2"
"ENSG00000229044",13732,1,3,"lncRNA",116,6647,1,0,0.0167125,26,"RP11-266K22","0","0","0","0"
"ENSG00000162512",39292,4,13,"protein_coding",462,1710,1,0,0.551551,125.5,"SDC3","0","0","0","0"
"ENSG00000158006",38350,7,23,"protein_coding",139.5,1899,1,0,0.156435,86,"PAFAH2","1","0","1","2"
"ENSG00000126698",33573,6,21,"protein_coding",92,2684,1,0,0.273792,14.5,"DNAJC8","1","0","1","2"
"ENSG00000229607",5175,1,2,"lncRNA",222,4732,1,0,0.486277,29,"RP5-1125N11","0","0","0","0"
"ENSG00000130766",22973,1,10,"protein_coding",187,666,1,0,1,76.5,"SESN2","1","0","1","2"
"ENSG00000168528",25115,6,20,"protein_coding",162,828,1,0,1,119,"SERINC2","0","1","1","2"
"ENSG00000196581",137925,3,10,"protein_coding",320,5414,1,0,0.998775,107,"AJAP1","0","0","1","1"
"ENSG00000169403",46770,3,6,"protein_coding",215,25532,1,0,0.999796,28,"PTAFR","1","1","1","3"
"ENSG00000084628",60142,5,15,"protein_coding",138,1229,1,0,0.13493,105,"NKAIN1","1","0","1","2"
"ENSG00000060688",37220,7,21,"protein_coding",122,2315.5,1,0,0.169558,23.5,"SNRNP40","1","0","1","2"
"ENSG00000171612",45708,1,7,"protein_coding",180,4764,1,0,0.990066,28.5,"SLC25A33","1","0","1","2"
"ENSG00000188910",5155,2,4,"protein_coding",1096,2627,1,0,0.999399,32,"GJB3","0","0","0","0"
"ENSG00000230523",20494,1,3,"lncRNA",432,9173.5,1,0,0.0856667,15.5,"LINC01756","0","1","1","2"
"ENSG00000116138",65566,10,37,"protein_coding",159,2129,1,0,0.890831,22,"DNAJC16","1","0","1","2"
"ENSG00000158161",118293,7,31,"protein_coding",101,3843,1,0,1,14.5,"EYA3","1","0","1","2"
"ENSG00000142684",965,2,5,"protein_coding",276,234,1,0,0.7720305,163,"ZNF593","1","0","1","2"
"ENSG00000121769",11597,4,13,"protein_coding",154,1890,1,0,0.3058284,77,"FABP3","1","0","1","2"
"ENSG00000142627",31732,4,22,"protein_coding",156,594,1,0,0.295766,149,"EPHA2","0","0","0","0"
"ENSG00000284668",36571,3,11,"lncRNA",109,1058,1,0,0.0349864,88,"LINC02780","0","0","0","0"
"ENSG00000233234",842,1,2,"lncRNA",303.5,236,1,0,0.0475104,73,"RP11-740P5","0","0","0","0"
"ENSG00000142632",14798,6,25,"protein_coding",152,311,1,0,0.0731833,129.5,"ARHGEF19","0","0","1","1"
"ENSG00000234593",81148,7,18,"lncRNA",157,7217,1,0,0.0607653,10,"KAZN-AS1","0","0","0","0"
"ENSG00000189337",1225251,9,30,"protein_coding",171,8237,1,0,0.999999,112,"KAZN","0","0","1","1"
"ENSG00000235143",2096,1,2,"lncRNA",873.5,350,1,0,0.0674219,217,"RP1-65J11","0","0","0","0"
"ENSG00000028137",42237,4,16,"protein_coding",129,856,1,0,0.8038205,146,"TNFRSF1B","1","0","1","2"
"ENSG00000204464",6973,2,3,"lncRNA",137,4561,1,0,0.286003,19.5,"C1orf195","0","0","0","0"
"ENSG00000233372",1344,1,2,"lncRNA",275.5,794,1,0,0.109939,1,"RP5-893G23","0","0","0","0"
"ENSG00000283259",2870,1,10,"lncRNA",118,82,1,0,0.0261189,20,"ABC14-1188822O7","0","0","0","0"
"ENSG00000284543",77080,9,26,"lncRNA",132,9216.5,4,0,0.0515885,50,"LINC01226","0","0","0","0"
"ENSG00000130939",148407,10,45,"protein_coding",139,2423,4,0,0.341447,32,"UBE4B","1","0","1","2"
"ENSG00000175147",41803,6,17,"lncRNA",168,3168,4,0,0.386329,42.5,"TMEM51-AS1","0","0","0","0"
"ENSG00000127472",63732,8,28,"protein_coding",145,2386.5,1,0,0.363072,119.5,"PLA2G5","0","0","1","1"
"ENSG00000060656",90297,11,53,"protein_coding",139,792,1,0,0.920601,206,"PTPRU","0","0","0","0"
"ENSG00000163867",45780,9,34,"protein_coding",151,1113.5,4,0,0.480509,5,"ZMYM6","1","1","1","3"
"ENSG00000189280",3465,1,2,"protein_coding",677.5,2111,1,0,0.999808,19,"GJB5","0","0","0","0"
"ENSG00000134698",49874,3,22,"protein_coding",142.5,1419,4,0,0.0598174,16,"AGO4","1","0","1","2"
"ENSG00000134690",17238,2,13,"protein_coding",96,1433,1,0,0.999263,40.5,"CDCA8","1","0","1","2"
"ENSG00000132881",5491,2,7,"protein_coding",153,420,1,0,0.5089043,90.5,"CPLANE2","1","0","1","2"
"ENSG00000273274",31614,1,4,"protein_coding",605.5,5478,1,0,1,20,"ZBTB8B","0","1","1","2"
"ENSG00000236648",32353,4,11,"lncRNA",161,815,4,0,0.2665385,35,"LINC02810","0","0","0","0"
"ENSG00000009709",118020,3,14,"protein_coding",200,2614,1,0,1,161,"PAX7","0","0","0","0"
"ENSG00000287396",3711,1,2,"lncRNA",331.5,3049,1,0,0.0230601,25,"RP11-740P5","0","0","0","0"
"ENSG00000158008",16580,4,16,"protein_coding",120,639.5,1,0,0.3333108,140,"EXTL1","0","0","0","0"
"ENSG00000130940",160046,9,36,"protein_coding",155,1254,1,0,0.998563,216,"CASZ1","0","0","1","1"
"ENSG00000116771",13352,1,7,"protein_coding",196,1169.5,1,0,0.999998,37.5,"AGMAT","1","0","1","2"
"ENSG00000237301",17490,1,2,"lncRNA",1422.5,14646,1,0,0.0604253,98,"RP4-680D5","0","0","0","0"
"ENSG00000163879",9938,6,15,"protein_coding",167.5,1578,1,0,0.485946,39,"DNALI1","1","0","0","1"
"ENSG00000227527",2990,1,2,"lncRNA",330.5,2330,1,0,0.0436668,156,"RP11-223A3","0","0","0","0"
"ENSG00000116954",21574,4,12,"protein_coding",200,2773,1,0,0.206144,23.5,"RRAGC","1","0","1","2"
"ENSG00000163873",238988,4,22,"protein_coding",182,5748,1,0,0.75,100,"GRIK3","0","0","0","0"
"ENSG00000117215",7627,2,6,"protein_coding",145,2073,1,0,0.3907147,136,"PLA2G2D","0","0","0","0"
"ENSG00000196449",5263,1,5,"protein_coding",143,440,1,0,0.998699,35,"YRDC","1","0","1","2"
"ENSG00000230163",861,1,2,"lncRNA",360,142,1,0,0.0277668,50,"RP5-997D16","0","0","0","0"
"ENSG00000044012",2410,1,3,"protein_coding",187,903.5,1,0,0.746041,184,"GUCA2B","0","1","0","1"
"ENSG00000179051",32917,3,17,"protein_coding",132,2070,1,0,1,91,"RCC2","1","1","1","3"
"ENSG00000284650",2657,1,2,"lncRNA",519.5,1619,1,0,0.263127,55,"RP3-406M12","0","0","0","0"
"ENSG00000236948",106586,2,5,"lncRNA",186,80565,1,0,0.09336375,18,"RP11-154H17","0","0","0","0"
"ENSG00000126067",41985,3,9,"protein_coding",123,3963,1,0,0.0820036,40,"PSMB2","1","0","1","2"
"ENSG00000132906",35702,11,30,"protein_coding",177,1271,1,0,0.999841,58,"CASP9","1","0","1","2"
"ENSG00000197312",51586,6,20,"protein_coding",129.5,4721,1,0,0.77191,26,"DDI2","1","0","1","2"
"ENSG00000284748",11210,1,2,"lncRNA",663,9885,1,0,0.0388603,20,"RP11-566C13","0","0","0","0"
"ENSG00000272078",15092,1,2,"lncRNA",3961.5,7170,1,0,0.991746,9,"RP4-734G22","0","0","0","0"
"ENSG00000173660",13078,4,10,"protein_coding",142.5,5280,1,0,0.131693,26,"UQCRH","1","0","1","2"
"ENSG00000224592",71711,2,8,"lncRNA",116,7588.5,1,0,0.0466828,46.5,"MIR3659HG","0","0","0","0"
"ENSG00000233728",1159,1,2,"lncRNA",350,460,1,0,0.0378298,4,"RP11-109P14","0","0","0","0"
"ENSG00000231606",82558,2,6,"lncRNA",217,21500,1,0,0.124659,36,"RP11-344F13","0","0","0","0"
"ENSG00000284632",61763,3,7,"lncRNA",185,19165,1,0,0.202567,40,"RP11-334L9","0","0","0","0"
"ENSG00000054118",80925,4,21,"protein_coding",168,1944,4,0,1,25,"THRAP3","1","0","1","2"
"ENSG00000254553",135735,1,8,"protein_coding",174.5,5478,1,0,1,20,"RP1-27O5","0","0","0","0"
"ENSG00000284653",29900,1,4,"lncRNA",586.5,6067,1,0,0.0821019,16,"RP11-658E23","0","0","0","0"
"ENSG00000276747",29503,1,16,"protein_coding",125,1407,1,0,1,170,"PADI6","0","0","0","0"
"ENSG00000284705",6629,1,2,"lncRNA",1347,3936,1,0,0.261388,97,"RP11-251B9","0","0","0","0"
"ENSG00000159339",55809,5,24,"protein_coding",119,2139,1,0,0.319799,73,"PADI4","0","0","0","0"
"ENSG00000197982",2475,4,8,"protein_coding",476,245,1,0,0.201582,91,"C1orf122","1","0","0","1"
"ENSG00000261781",8755,1,3,"lncRNA",191,3142.5,1,0,0.0806912,125.5,"LINC01654","0","0","0","0"
"ENSG00000183317",51253,11,47,"protein_coding",150,988,4,0,0.999395,135,"EPHA10","0","0","0","0"
"ENSG00000183386",8836,5,11,"protein_coding",175.5,124,1,0,0.918298,129,"FHL3","0","0","1","1"
"ENSG00000284743",1618,1,2,"lncRNA",337,945,1,0,0.0347621,38,"RP4-749H3","0","0","0","0"
"ENSG00000158315",56023,3,12,"protein_coding",149,4127,1,0,0.999996,24,"RHBDL2","0","0","0","0"
"ENSG00000204084",86360,11,41,"protein_coding",112,1633,7,0,0.999912,35,"INPP5B","1","0","1","2"
"ENSG00000186973",11243,6,11,"protein_coding",124.5,2975,1,0,0.1516415,34,"FAM183A","0","0","0","0"
"ENSG00000146463",153349,6,42,"protein_coding",151,910,1,0,0.4444865,17,"ZMYM4","1","1","1","3"
"ENSG00000183520",15562,4,14,"protein_coding",112.5,735,1,0,0.552275,24,"UTP11","1","0","1","2"
"ENSG00000271741",50208,1,3,"protein_coding",154,1584.5,1,0,1,8.5,"RP11-244H3","0","0","0","0"
"ENSG00000142686",5017,3,7,"protein_coding",1314,2380,1,0,0.0420555,177,"C1orf216","1","0","1","2"
"ENSG00000117148",71730,2,5,"protein_coding",375,2410,1,0,1,148,"ACTL8","0","0","0","0"
"ENSG00000117000",79534,1,8,"protein_coding",148.5,6647,1,0,1,7,"RLF","1","1","1","3"
"ENSG00000284989",280865,1,26,"protein_coding",120.5,2948,1,0,1,58,"RP11-7O11","0","0","0","0"
"ENSG00000092853",49760,5,34,"protein_coding",128,678,4,0,1,25,"CLSPN","1","0","1","2"
"ENSG00000255811",26671,1,2,"lncRNA",280,26112,1,0,0.0302423,135,"RP1-34M23","0","0","0","0"
"ENSG00000134697",29121,9,31,"protein_coding",121.5,930,1,0,0.0933936,31,"GNL2","1","0","1","2"
"ENSG00000187513",2748,2,3,"protein_coding",810.5,1128,1,0,0.713257,184,"GJA4","0","0","0","0"
"ENSG00000230138",1589,2,5,"lncRNA",118,328.5,1,0,0.0195086,137.5,"LINC02812","0","0","0","0"
"ENSG00000223390",10888,1,2,"lncRNA",381,10127,1,0,0.440413,9,"RP11-91A18","0","0","0","0"
"ENSG00000284720",1603,1,2,"lncRNA",760.5,83,1,0,0.309867,14,"RP4-614N24","0","0","0","0"
"ENSG00000116151",70454,11,32,"protein_coding",99,1587,1,0,0.5,191.5,"MORN1","0","0","1","1"
"ENSG00000006555",21611,5,15,"protein_coding",153,635,1,0,0.917583,84,"TTC22","0","1","1","2"
"ENSG00000066056",22126,10,42,"protein_coding",141,223,1,0,0.617554,85,"TIE1","0","0","1","1"
"ENSG00000214114",10875,4,8,"protein_coding",78,2165,1,0,0.14373535,6,"MYCBP","1","1","1","3"
"ENSG00000116544",64214,3,15,"protein_coding",206,861.5,1,0,1,98,"DLGAP3","0","0","0","0"
"ENSG00000236723",3992,2,5,"lncRNA",262,2796,1,0,0.49267935,123,"RP5-1024G6","0","0","0","0"
"ENSG00000117016",45002,2,11,"protein_coding",141,3696,1,0,0.9903235,49,"RIMS3","0","0","1","1"
"ENSG00000121310",31302,26,60,"protein_coding",87,1689,1,0,0.188016,187,"ECHDC2","1","0","1","2"
"ENSG00000169213",82744,1,5,"protein_coding",149,13318.5,1,0,0.997127,76.5,"RAB3B","0","1","0","1"
"ENSG00000163866",147018,6,16,"protein_coding",294,2786,1,0,0.277956,37,"SMIM12","1","0","1","2"
"ENSG00000284601",5564,4,10,"lncRNA",380.5,811,1,0,0.0953026,53,"RP11-12C17","0","0","0","0"
"ENSG00000143001",11660,1,3,"protein_coding",453,5202.5,1,0,0.997022,91.5,"TMEM61","0","0","0","0"
"ENSG00000232335",4187,1,2,"lncRNA",269.5,3649,1,0,0.0521639,8,"RP11-435D7","0","0","0","0"
"ENSG00000260971",323142,24,56,"lncRNA",138.5,11108,1,0,0.0495285,30,"RP1-158P9","0","0","0","0"
"ENSG00000284696",91530,9,28,"lncRNA",136,3717.5,4,0,0.0201899,25,"LINC02808","0","0","0","0"
"ENSG00000238242",34909,2,7,"lncRNA",141,1647.5,1,0,0.093091225,39,"LINC02778","0","0","0","0"
"ENSG00000285839",13197,1,7,"protein_coding",84,1937.5,1,0,0.866158,5,"RP11-91A18","0","0","0","0"
"ENSG00000237290",5772,2,7,"lncRNA",221.5,911,1,0,0.612087,50,"LINC01343","0","1","0","1"
"ENSG00000232762",2926,1,6,"lncRNA",121.5,358,4,0,0.046096,198.5,"RP4-784A16","0","0","0","0"
"ENSG00000117419",134190,10,28,"protein_coding",100,13527,1,0,0.267515,109,"ERI3","1","0","1","2"
"ENSG00000162384",6535,7,19,"protein_coding",72,725,1,0,0.0396021,114.5,"CZIB","1","0","1","2"
"ENSG00000162391",14375,2,11,"protein_coding",160,1989,1,0,1,104,"FAM151A","0","0","0","0"
"ENSG00000174348",23449,8,25,"protein_coding",149,1367,1,0,1,156,"PODN","1","1","1","3"
"ENSG00000117859",221248,26,72,"protein_coding",92,1271,4,0,0.881744,13,"OSBPL9","1","1","1","3"
"ENSG00000253313",3740,2,5,"protein_coding",127.5,1109.5,1,0,0.46617,115.5,"C1orf210","0","0","0","0"
"ENSG00000162396",7625,1,2,"protein_coding",1178,5270,1,0,1,51,"PARS2","1","0","1","2"
"ENSG00000203995",52487,3,17,"protein_coding",141,3109,4,0,0.999995,26,"ZYG11A","1","0","1","2"
"ENSG00000284686",351062,5,12,"protein_coding",184.5,13100,1,0,0.0381519,29,"RP1-158P9","0","0","0","0"
"ENSG00000162378",100883,2,17,"protein_coding",141,4949,4,0,1,22,"ZYG11B","1","0","1","2"
"ENSG00000233079",81865,3,8,"lncRNA",280,10334,1,0,0.0159436,40,"LINC01755","0","0","1","1"
"ENSG00000229444",17951,1,4,"lncRNA",122,6681,1,0,0.064445,10,"ST3GAL3-AS1","0","0","0","0"
"ENSG00000240563",17479,1,4,"protein_coding",606,2146,1,0,1,7,"L1TD1","0","1","0","1"
"ENSG00000234318",5630,1,2,"lncRNA",223.5,5184,1,0,0.122356,30,"RP4-771M4","0","0","0","0"
"ENSG00000284773",10957,1,2,"protein_coding",1581.5,7795,1,0,0.994199,1,"RP11-244H3","0","0","0","0"
"ENSG00000234481",5956,2,5,"lncRNA",300,2589.5,1,0,0.0303945,35,"RP4-614N24","0","0","0","0"
"ENSG00000117862",35060,5,10,"protein_coding",79,5090,1,0,0.15232,12.5,"TXNDC12","0","0","1","1"
"ENSG00000235612",9503,1,3,"lncRNA",271,4386.5,1,0,0.0232507,28.5,"RP1-158P9","0","0","0","0"
"ENSG00000228369",1765,1,3,"lncRNA",66,687.5,1,0,0.110133,20.5,"TXNDC12-AS1","0","0","0","0"
"ENSG00000183431",33100,8,30,"protein_coding",91,1135.5,1,0,0.282619,29.5,"SF3A3","1","0","1","2"
"ENSG00000227485",1451,1,2,"lncRNA",179.5,1093,2,0,0.179834,19,"RP11-5P4","0","0","0","0"
"ENSG00000224609",164559,13,28,"lncRNA",547.5,1718,1,0,0.0529776,78,"FGGY-DT","0","0","0","0"
"ENSG00000235545",22212,1,2,"lncRNA",614,20985,2,0,0.170215,76,"RP11-230B22","0","0","0","0"
"ENSG00000238063",41695,16,32,"lncRNA",151,636,1,0,0.0200434,15,"LINC01685","0","1","1","2"
"ENSG00000243725",26796,4,16,"protein_coding",121.5,3053,1,0,0.9801185,16,"TTC4","1","0","1","2"
"ENSG00000171872",16319,2,8,"protein_coding",544.5,2481,1,0,0.589717,59,"KLF17","0","0","0","0"
"ENSG00000162407",150540,5,14,"protein_coding",227.5,12400,1,0,0.049305,32,"PLPP3","0","0","1","1"
"ENSG00000285079",10885,1,3,"lncRNA",345,4285,1,0,0.0333037,52,"RP11-433N2","0","0","0","0"
"ENSG00000169218",23542,3,12,"protein_coding",189,2150,1,0,0.9773165,59,"RSPO1","0","0","0","0"
"ENSG00000163877",19844,4,11,"protein_coding",443.5,2144,1,0,0.6299575,25,"SNIP1","1","1","1","3"
"ENSG00000157184",17405,12,24,"protein_coding",276,2013,1,0,1,8,"CPT2","1","1","1","3"
"ENSG00000198815",159338,9,28,"protein_coding",129,6531,1,0,1,14,"FOXJ3","1","1","1","3"
"ENSG00000134744",145205,21,78,"protein_coding",120,2769,1,0,0.403666,10.5,"TUT4","1","1","1","3"
"ENSG00000287703",45575,1,2,"lncRNA",713,44150,1,0,0.0498883,57,"RP4-651I17","0","0","0","0"
"ENSG00000283039",3810,1,2,"protein_coding",1579.5,652,1,0,1,60,"KLF18","0","1","0","1"
"ENSG00000229294",27065,1,2,"lncRNA",256,26554,1,0,0.0112005,1,"RP5-1044H5","0","0","0","0"
"ENSG00000232993",15564,1,2,"lncRNA",233.5,15098,2,0,1.80026e-05,355,"RP11-334A14","0","0","0","0"
"ENSG00000235446",33642,2,6,"lncRNA",186.5,1024,1,0,0.01477331,17,"LINC02791","0","0","0","0"
"ENSG00000162385",11618,4,11,"protein_coding",111,2725,1,0,0.5121375,30,"MAGOH","1","0","1","2"
"ENSG00000234264",41951,1,3,"lncRNA",155,20352.5,1,0,0.040268,77,"DEPDC1-AS1","1","0","1","2"
"ENSG00000242391",514,1,2,"lncRNA",190,135,1,0,0.0417585,69,"RP4-631H13","0","0","0","0"
"ENSG00000223883",173769,7,23,"lncRNA",151.5,4590,1,0,0.040575,15,"LINC01707","0","0","0","0"
"ENSG00000284808",52184,1,3,"lncRNA",155,24871.5,1,0,0.0743861,24.5,"RP11-430G17","0","0","0","0"
"ENSG00000123080",13889,3,7,"protein_coding",741,3395,1,0,0.991521,23,"CDKN2C","1","1","1","3"
"ENSG00000285778",127970,3,8,"lncRNA",199.5,5414,1,0,0.00883936,26.5,"RP11-275A6","0","0","0","0"
"ENSG00000233407",17043,1,2,"lncRNA",125,16794,1,0,0.00804497,15,"RP11-567C20","0","0","0","0"
"ENSG00000225675",8276,1,3,"lncRNA",143,3855,1,0,0.17349,22.5,"LINC01771","0","0","1","1"
"ENSG00000162598",86501,5,21,"protein_coding",134,7376,1,0,0.93725,28.5,"C1orf87","0","0","0","0"
"ENSG00000162415",289810,2,17,"protein_coding",161,2636,1,0,0.5071589,33,"ZSWIM5","0","0","1","1"
"ENSG00000162600",131418,11,32,"protein_coding",150,3244,1,0,0.26171,17,"OMA1","1","0","1","2"
"ENSG00000116704",54798,1,12,"protein_coding",81,1507,1,0,0.999783,17,"SLC35D1","1","0","1","2"
"ENSG00000157193",86105,36,96,"protein_coding",140,2054,1,0,1,124,"LRP8","1","0","1","2"
