"Gene_Id","Gene_length","Num_of_Transcripts","Num_of_Exons","Gene_type","Exon_Length","Intron_Length"
"LOC105378590",11683,1,7,"lncRNA",177,"328"
"PRKCZ",136347,22,39,"protein_coding",98,"2454"
"PRKCZ-DT",869,1,3,"lncRNA",203,"165"
"PRKCZ-AS1",2087,1,2,"lncRNA",626.5,"835"
"FAAP20",28677,12,32,"protein_coding",178,"2338"
"LOC112268219",2660,1,1,"lncRNA",2661,NA
"SKI",82411,1,7,"protein_coding",263,"382.5"
"LOC124905687",20838,5,18,"protein_coding",260,"205.5"
"LOC124903824",4274,4,11,"lncRNA",279,"917"
"MORN1",73638,3,17,"protein_coding",99,"1521"
"LOC100129534",2248,1,1,"transcribed_pseudogene",2249,NA
"RER1",13916,1,7,"protein_coding",105,"1445.5"
"PEX10",9853,4,12,"protein_coding",176,"1512"
"PLCH2",91123,7,31,"protein_coding",137,"771"
"PANK4",18614,4,23,"protein_coding",105,"498"
"HES5",1518,1,4,"protein_coding",166,"97.5"
"TNFRSF14-AS1",7091,1,7,"lncRNA",196,"292"
"TNFRSF14",8466,11,21,"protein_coding",134.5,"958"
"LOC100996583",18000,1,4,"lncRNA",108.5,"1719"
"PRXL2B",4945,2,12,"protein_coding",76,"407"
"MMEL1",42378,1,24,"protein_coding",97.5,"624"
"MMEL1-AS1",7457,1,3,"lncRNA",NA,NA
"TTC34",223233,1,9,"protein_coding",226,"1929.5"
"LOC128966585",1065,2,7,"lncRNA",213,"82"
"LOC107985732",1065,1,3,"lncRNA",201,"122"
"LOC124905688",3847,1,11,"lncRNA",345,"82"
"LOC124905689",841,3,9,"lncRNA",112.5,"82"
"LOC105378598",13629,5,27,"lncRNA",145.5,"82"
"LOC107984904",1065,1,3,"lncRNA",201,"122"
"LOC124903826",2421,1,3,"lncRNA",565,"464.5"
"ACTRT2",1436,1,1,"protein_coding",1437,NA
"LOC124903827",15950,3,23,"protein_coding",NA,NA
"PRDM16-DT",8108,2,2,"lncRNA",176,"497"
"PRDM16",372179,1,18,"protein_coding",170,"3913"
"LOC100420339",1039,NA,NA,"pseudogene",NA,NA
"MIR4251",60,2,2,"miRNA",61,NA
"LOC105378606",5842,1,3,"lncRNA",119,"2752"
"LOC107984909",7982,1,2,"lncRNA",3423,"1137"
"LOC105378605",3250,2,4,"lncRNA",682.5,"1621.5"
"LOC124903828",30344,1,2,"protein_coding",15156,"33"
"LOC105378604",16904,3,9,"lncRNA",641.5,"9370"
"ARHGEF16",28808,6,21,"protein_coding",147,"1079.5"
"MEGF6",139542,7,45,"protein_coding",NA,NA
"LOC105378608",2089,1,3,"lncRNA",317,"395"
"MIR551A",95,2,2,"miRNA",96,NA
"TPRG1L",5090,1,5,"protein_coding",177,"476"
"WRAP73",19136,2,15,"protein_coding",NA,NA
"TP73",85413,5,18,"protein_coding",132.5,"1115"
"TP73-AS3",10573,2,4,"lncRNA",573,"2688"
"TP73-AS1",11389,2,12,"lncRNA",155,"2378"
"CCDC27",19190,1,12,"protein_coding",140.5,"1215"
"SMIM1",3204,1,5,"protein_coding",140.5,"311"
"LRRC47",17943,1,7,"protein_coding",117,"1146.5"
"RN7SL574P",296,NA,NA,"pseudogene",NA,NA
"CEP104",45127,2,26,"protein_coding",147.5,"1047"
"DFFB",28259,2,16,"protein_coding",NA,NA
"C1orf174",11139,3,8,"protein_coding",301.5,"1825"
"LINC01134",15047,1,4,"lncRNA",413.5,"3333"
"LINC01346",11971,1,3,"lncRNA",150,"5702"
"LINC01345",1831,1,3,"lncRNA",180,"447.5"
"EEF1DP6",436,NA,NA,"pseudogene",NA,NA
"LINC01777",12600,1,6,"lncRNA",340,"724"
"LOC105376674",11485,2,4,"lncRNA",128,"5197"
"LOC124904578",4559,1,3,"lncRNA",45,"1982"
"LINC01646",12219,1,5,"lncRNA",143,"687"
"AJAP1",138126,2,8,"protein_coding",320.5,"2842"
"LINC02781",10567,2,7,"lncRNA",130,"1381.5"
"LOC124904589",6094,1,3,"lncRNA",96,"2895.5"
"LOC102724429",6980,3,8,"lncRNA",106,"1245"
"LINC02782",12095,1,6,"lncRNA",NA,NA
"LOC105376682",3455,1,3,"lncRNA",191,"1511"
"LOC107984911",10990,1,5,"lncRNA",505,"1047"
"LOC105376686",3788,1,7,"lncRNA",577,"622.5"
"LOC124900451",74,1,1,"snoRNA",75,NA
"LOC124903830",9647,2,4,"lncRNA",1962,"2930"
"MIR4689",69,2,2,"miRNA",70,NA
"NPHP4",131567,16,55,"protein_coding",157,"1570"
"KCNAB2",108364,5,24,"protein_coding",86.5,"1337"
"CHD5",78494,1,42,"protein_coding",136,"713"
"RPL22",14575,1,4,"protein_coding",115,"4597"
"RNF207-AS1",940,1,3,"lncRNA",143,"281.5"
"RNF207",15180,6,24,"protein_coding",108,"265"
"ICMT",14771,3,8,"protein_coding",218,"1298"
"ICMT-DT",3204,1,5,"lncRNA",101,"420"
"HES3",1399,1,4,"protein_coding",89,"109"
"GPR153",13745,2,8,"protein_coding",352,"713"
"ACOT7",129493,5,13,"protein_coding",118,"10159"
"HES2",4687,1,4,"protein_coding",122,"87"
"ESPN",36595,10,29,"protein_coding",194,"2568.5"
"MIR4252",62,2,2,"miRNA",63,NA
"TNFRSF25",5387,2,13,"protein_coding",128,"411"
"PLEKHG5",52972,7,30,"protein_coding",133,"363"
"NOL9",33180,5,17,"protein_coding",149,"2160"
"RNU6-731P",110,NA,NA,"pseudogene",NA,NA
"TAS1R1",24454,2,8,"protein_coding",282.5,"1582"
"LOC107984912",11879,1,4,"lncRNA",129,"5756"
"ZBTB48",9286,5,18,"protein_coding",143,"410.5"
"KLHL21",12145,1,5,"protein_coding",739.5,"2344"
"LOC107984913",9923,1,2,"lncRNA",940,"8044"
"PHF13",10299,2,5,"protein_coding",455,"2651"
"THAP3",10727,4,12,"protein_coding",126,"1596"
"DNAJC11",67648,2,16,"protein_coding",120,"1226"
"LINC01672",5271,2,3,"lncRNA",199.5,"3490.5"
"LOC124904847",98,1,1,"snoRNA",99,NA
"CAMTA1-DT",1088,1,3,"lncRNA",154,"268.5"
"CAMTA1",987458,21,51,"protein_coding",155.5,"3104"
"LOC124903832",26924,1,2,"lncRNA",11766.5,"3392"
"RPL37P9",355,NA,NA,"pseudogene",NA,NA
"CAMTA1-AS3",5910,1,2,"lncRNA",NA,NA
"RNU1-8P",164,NA,NA,"pseudogene",NA,NA
"CAMTA1-AS2",7269,2,5,"lncRNA",100,"558.5"
"CAMTA1-AS1",983,2,6,"lncRNA",135,"161.5"
"LOC105376691",5588,1,3,"lncRNA",180,"2474.5"
"LOC105376689",18954,6,17,"lncRNA",767,"595"
"VAMP3",10136,1,5,"protein_coding",90,"1756"
"PER3",60887,11,43,"protein_coding",150,"1208"
"UTS2",65785,3,9,"protein_coding",111,"1757"
"TNFRSF9",24959,3,10,"protein_coding",133,"1065"
"TRUND-NNN4-1",69,NA,NA,"pseudogene",NA,NA
"PARK7",23769,2,9,"protein_coding",87,"3182.5"
"ERRFI1",14578,4,8,"protein_coding",175,"911"
"ERRFI1-DT",96145,1,2,"lncRNA",2019.5,"92107"
"RPL7AP18",1302,NA,NA,"pseudogene",NA,NA
"LOC107984915",18494,2,5,"lncRNA",174,"9325"
"LOC100129776",2947,NA,NA,"pseudogene",NA,NA
"RNU1-7P",163,NA,NA,"pseudogene",NA,NA
"LINC01714",6538,1,4,"lncRNA",120.5,"1613"
"LOC105376695",9052,1,3,"lncRNA",166,"4190"
"SLC45A1",26862,2,11,"protein_coding",206,"3135.5"
"RERE",465852,2,25,"protein_coding",162,"973"
"RERE-AS1",10373,1,4,"lncRNA",126.5,"3780"
"SNORD128",113,1,1,"snoRNA",114,NA
"LOC124900452",124,1,1,"snoRNA",125,NA
"RPL7P11",681,NA,NA,"pseudogene",NA,NA
"RPL7P7",822,NA,NA,"pseudogene",NA,NA
"RPL27P3",1119,NA,NA,"pseudogene",NA,NA
"RPL23AP19",319,NA,NA,"pseudogene",NA,NA
"ENO1",17691,1,14,"protein_coding",108,"1192"
"MIR6728",88,3,3,"miRNA",89,NA
"ENO1-AS1",1050,1,2,"lncRNA",223.5,"604"
"RNU6-304P",106,NA,NA,"pseudogene",NA,NA
"HMGN2P17",1192,NA,NA,"pseudogene",NA,NA
"LOC112268261",21876,3,6,"lncRNA",154,"1410"
"CA6",29206,4,11,"protein_coding",115,"3467"
"RN7SL451P",298,NA,NA,"pseudogene",NA,NA
"SLC2A7",33823,3,14,"protein_coding",127,"1880"
"SLC2A5",58696,9,25,"protein_coding",128,"582.5"
"LOC124900441",183,1,1,"ncRNA",184,NA
"GPR157",28989,1,7,"protein_coding",NA,NA
"MIR34AHG",34650,1,2,"lncRNA",2078.5,"30494"
"MIR34A",109,3,3,"miRNA",110,NA
"LNCTAM34A",9887,1,3,"lncRNA",175,"4451"
"H6PD",36536,4,10,"protein_coding",270,"3155"
"LOC124903836",682,1,2,"lncRNA",200.5,"282"
"SPSB1",31423,1,5,"protein_coding",29,"7657.5"
"LINC02606",3912,2,3,"lncRNA",1181.5,"1510"
"RNA5SP40",109,NA,NA,"pseudogene",NA,NA
"SLC25A33",45711,1,7,"protein_coding",180,"4764"
"RPL9P11",676,NA,NA,"pseudogene",NA,NA
"TMEM201",25918,6,19,"protein_coding",186,"1395"
"LOC124903837",7657,1,2,"protein_coding",NA,NA
"PIK3CD",101857,13,41,"protein_coding",133,"364.5"
"LOC105376712",980,1,2,"lncRNA",220.5,"540"
"PIK3CD-AS1",1976,1,2,"lncRNA",911.5,"154"
"RPL26P7",340,NA,NA,"pseudogene",NA,NA
"PIK3CD-AS2",15148,2,4,"lncRNA",265.5,"10407"
"CLSTN1",95735,3,21,"protein_coding",163,"1454"
"MZT1P1",618,NA,NA,"pseudogene",NA,NA
"CTNNBIP1",62006,4,13,"protein_coding",120,"13120"
"LOC105376717",4719,1,2,"lncRNA",242.5,"4235"
"LOC124903838",3750,1,2,"lncRNA",727,"2297"
"LZIC",21264,3,12,"protein_coding",100.5,"890"
"NMNAT1",54011,9,11,"protein_coding",171,"4329.5"
"RN7SKP269",244,NA,NA,"pseudogene",NA,NA
"TMEM274P",10213,1,5,"transcribed_pseudogene",77,"2198.5"
"MIR5697",77,2,2,"miRNA",78,NA
"LOC124903840",1370,1,2,"protein_coding",271,"829"
"RBP7",18799,1,5,"protein_coding",179,"5013.5"
"UBE4B",148276,6,35,"protein_coding",NA,NA
"RPL21P21",369,NA,NA,"pseudogene",NA,NA
"PGAM1P11",981,NA,NA,"pseudogene",NA,NA
"RNU6-828P",106,NA,NA,"pseudogene",NA,NA
"KIF1B",171025,5,54,"protein_coding",109,"1755"
"RNU6-37P",105,NA,NA,"pseudogene",NA,NA
"RN7SL731P",292,NA,NA,"pseudogene",NA,NA
"PGD",21452,1,14,"protein_coding",131,"1170"
"CENPS-CORT",21721,2,7,"protein_coding",136,"5656"
"CENPS",12373,2,1,"protein_coding",124,"2144.5"
"CORT",1966,1,2,"protein_coding",457,"1053"
"DFFA",15998,2,7,"protein_coding",190,"1843"
"PEX14",155801,6,16,"protein_coding",NA,NA
"RN7SL614P",279,NA,NA,"pseudogene",NA,NA
"CASZ1",160162,4,26,"protein_coding",155,"1254"
"LOC105376733",6640,1,4,"lncRNA",131,"1420"
"HSPE1P24",237,NA,NA,"pseudogene",NA,NA
"LOC105376735",5821,1,3,"lncRNA",255,"2186"
"C1orf127",37507,6,22,"protein_coding",125,"1440.5"
"CFL1P6",2019,NA,NA,"pseudogene",NA,NA
"TARDBP",17891,2,15,"protein_coding",NA,NA
"MASP2",20999,5,15,"protein_coding",141.5,"756.5"
"SRM",5429,1,8,"protein_coding",134.5,"431"
"EXOSC10",33257,3,28,"protein_coding",111.5,"1113"
"EXOSC10-AS1",2430,2,4,"lncRNA",270.5,"1803"
"MTOR",156036,6,65,"protein_coding",129,"1337"
"MTOR-AS1",5640,1,4,"lncRNA",173.5,"679"
"RNU6-537P",63,NA,NA,"pseudogene",NA,NA
"LOC124904848",106,1,1,"snoRNA",107,NA
"ANGPTL7",6626,3,7,"protein_coding",199,"947.5"
"RNU6-291P",106,NA,NA,"pseudogene",NA,NA
"RPL39P6",403,NA,NA,"pseudogene",NA,NA
"UBIAD1",26394,3,5,"protein_coding",863,"11584"
"UBE2V2P3",861,NA,NA,"pseudogene",NA,NA
"LOC105376737",4427,1,3,"lncRNA",271,"1732.5"
"LOC105376739",7106,1,4,"lncRNA",150,"1054"
"LOC105376740",7093,2,5,"lncRNA",250,"1245"
"DISP3",59782,10,31,"protein_coding",160,"894.5"
"LINC01647",3823,1,3,"lncRNA",566,"1270"
"FBXO2",6058,1,6,"protein_coding",134.5,"391"
"FBXO44",8923,5,18,"protein_coding",NA,NA
"FBXO6",10167,5,10,"protein_coding",131.5,"1253"
"MAD2L2",17369,3,11,"protein_coding",95,"483"
"DRAXIN",39241,2,10,"protein_coding",144,"2627"
"AGTRAP",14632,1,8,"protein_coding",NA,NA
"LOC101060126",942,NA,NA,"pseudogene",NA,NA
"C1orf167",27388,6,33,"protein_coding",NA,NA
"C1orf167-AS1",2540,1,3,"lncRNA",497,"337"
"MTHFR",20246,5,18,"protein_coding",NA,NA
"CLCN6",36936,1,25,"protein_coding",124,"840"
"NPPA-AS1",7301,1,4,"antisense_RNA",295,"1666"
"NPPA",2073,1,3,"protein_coding",306,"609.5"
"NPPB",1481,1,3,"protein_coding",244,"387"
"SBF1P2",2989,NA,NA,"pseudogene",NA,NA
"RNU5E-1",118,1,1,"snRNA",119,NA
"RNU5E-4P",119,NA,NA,"pseudogene",NA,NA
"KIAA2013",6837,1,3,"protein_coding",854,"2009.5"
"PLOD1",40819,1,20,"protein_coding",124,"1705"
"MFN2",33081,2,23,"protein_coding",NA,NA
"MIIP",12567,3,13,"protein_coding",NA,NA
"MIR6729",64,3,3,"miRNA",65,NA
"RN7SL649P",274,NA,NA,"pseudogene",NA,NA
"TNFRSF8",80900,2,17,"protein_coding",117,"3707.5"
"RNU6-777P",103,NA,NA,"pseudogene",NA,NA
"RPL23AP89",296,NA,NA,"pseudogene",NA,NA
"MIR7846",95,2,2,"miRNA",96,NA
"TNFRSF1B",42238,2,13,"protein_coding",NA,NA
"MIR4632",60,3,3,"miRNA",61,NA
"RPL10P17",382,NA,NA,"pseudogene",NA,NA
"LOC124900427",123,NA,NA,"pseudogene",NA,NA
"VPS13D",282024,1,70,"protein_coding",149.5,"2322"
"LOC124904680",83,NA,NA,"pseudogene",NA,NA
"SNORA59A",151,1,1,"snoRNA",152,NA
"LINC02766",11660,2,7,"lncRNA",356,"850"
"DHRS3",52068,6,12,"protein_coding",187,"4303"
"RNU6ATAC18P",100,NA,NA,"pseudogene",NA,NA
"MIR6730",66,3,3,"miRNA",67,NA
"AADACL4",22995,2,5,"protein_coding",423.5,"6408"
"AADACL3",12615,1,4,"protein_coding",235,"4389"
"LOC124904811",103,1,1,"snoRNA",104,NA
"CFAP107",17698,1,5,"protein_coding",342,"2380.5"
"PRAMEF12",4168,1,3,"protein_coding",896,"640"
"PRAMEF1",5231,2,5,"protein_coding",445.5,"706"
"LINC01784",537,1,2,"lncRNA",221,"96"
"PRAMEF11",7031,2,6,"protein_coding",445.5,"1746"
"PRAMEF30P",2913,NA,NA,"pseudogene",NA,NA
"HNRNPCL1",1343,1,2,"protein_coding",567,"210"
"PRAMEF2",4817,2,5,"protein_coding",445.5,"949"
"PRAMEF4",6992,1,4,"protein_coding",445.5,"1748"
"PRAMEF10",5374,1,4,"protein_coding",445.5,"1111"
"PRAMEF7",4141,1,4,"protein_coding",444,"914"
"RNU6-1072P",105,NA,NA,"pseudogene",NA,NA
"PRAMEF29P",2720,NA,NA,"pseudogene",NA,NA
"PRAMEF6",6942,1,4,"protein_coding",445.5,"1747"
"PRAMEF31P",2977,NA,NA,"pseudogene",NA,NA
"PRAMEF18",3459,1,3,"protein_coding",579,"667.5"
"PRAMEF13",5221,2,6,"protein_coding",NA,NA
"PRAMEF9",7616,1,4,"protein_coding",633,"1748"
"HNRNPCL4",1717,1,1,"protein_coding",1718,NA
"PRAMEF25",7114,1,4,"protein_coding",NA,NA
"PRAMEF36P",5207,1,4,"transcribed_pseudogene",444,"951"
"HNRNPCL2",1366,1,2,"protein_coding",578,"211"
"PRAMEF35P",1314,NA,NA,"pseudogene",NA,NA
"PRAMEF34P",5207,1,4,"transcribed_pseudogene",444,"951"
"LOC128966578",4680,1,4,"protein_coding",375.5,"979"
"LOC100132865",2977,NA,NA,"pseudogene",NA,NA
"PRAMEF5",9237,1,4,"protein_coding",445.5,"1746"
"PRAMEF32P",2720,NA,NA,"pseudogene",NA,NA
"RNU6-771P",105,NA,NA,"pseudogene",NA,NA
"PRAMEF8",3833,2,5,"protein_coding",444,"914"
"PRAMEF33",5368,1,4,"protein_coding",445.5,"1112"
"PRAMEF15",7017,1,4,"protein_coding",445.5,"1749"
"PRAMEF14",5242,1,4,"protein_coding",445.5,"951"
"PRAMEF19",3516,1,3,"protein_coding",579,"697"
"PRAMEF17",2997,1,3,"protein_coding",579,"710"
"PRAMEF20",10879,2,5,"protein_coding",435,"1996"
"LRRC38",39035,2,3,"protein_coding",1084,"36868"
"LOC102724856",5301,2,5,"lncRNA",186,"866"
"LOC107984918",3834,1,3,"lncRNA",254,"1287"
"BRWD1P1",981,NA,NA,"pseudogene",NA,NA
"PDPN",34184,5,13,"protein_coding",132,"3080"
"RNA5SP41",100,NA,NA,"pseudogene",NA,NA
"LOC105378612",4528,1,3,"lncRNA",458,"1703"
"LOC105376756",4790,1,3,"lncRNA",115,"2174"
"LOC124900446",129,1,1,"ncRNA",130,NA
"PRDM2",124919,10,18,"protein_coding",127,"9130"
"KAZN",1227288,18,37,"protein_coding",171,"7436.5"
"RNU6-1265P",102,NA,NA,"pseudogene",NA,NA
"LOC107985467",52007,2,6,"lncRNA",659,"2324.5"
"LOC124905691",32911,1,3,"lncRNA",186,"16222"
"LOC124903847",21457,1,3,"lncRNA",10278,"133.5"
"KAZN-AS1",71001,1,5,"lncRNA",157,"14699.5"
"TBCAP2",463,NA,NA,"pseudogene",NA,NA
"LOC105376759",3799,1,3,"lncRNA",113,"1739"
"LOC124903848",9941,1,3,"lncRNA",118,"1221.5"
"LOC107985469",22954,1,3,"lncRNA",123,"11257.5"
"LOC124903849",1520,1,3,"lncRNA",82,"622.5"
"TMEM51-AS1",40656,1,6,"lncRNA",376,"2067"
"TMEM51",67950,4,9,"protein_coding",349,"4329"
"TMEM51-AS2",7434,2,4,"lncRNA",135,"1350"
"MFFP1",1032,NA,NA,"pseudogene",NA,NA
"ZBTB2P1",879,NA,NA,"pseudogene",NA,NA
"FHAD1",173392,19,66,"protein_coding",130,"3495"
"FHAD1-AS1",17200,1,3,"lncRNA",1554.5,"14092"
"LOC124903851",6402,1,3,"lncRNA",547,"879"
"EFHD2-AS1",9385,3,8,"lncRNA",NA,NA
"EFHD2",20448,2,5,"protein_coding",270,"1308"
"CTRC",10807,1,8,"protein_coding",131.5,"846"
"CELA2A",15342,1,8,"protein_coding",115.5,"1241"
"LOC105376767",3876,1,3,"lncRNA",252,"1300"
"CELA2B",15291,1,8,"protein_coding",115,"1238"
"CASP9",33509,6,16,"protein_coding",148,"1251"
"DNAJC16",44883,1,16,"protein_coding",171,"1866"
"SCARNA21B",138,1,1,"ncRNA",139,NA
"AGMAT",13368,1,7,"protein_coding",196,"1169.5"
"CHCHD2P6",786,NA,NA,"pseudogene",NA,NA
"LOC124904764",43,NA,NA,"pseudogene",NA,NA
"RNU7-179P",67,NA,NA,"pseudogene",NA,NA
"CD24P1",4964,NA,NA,"pseudogene",NA,NA
"DDI2",51604,1,10,"protein_coding",129.5,"4723"
"RSC1A1",2320,1,1,"protein_coding",2321,NA
"PLEKHM2",53919,5,25,"protein_coding",113.5,"603"
"SLC25A34",6367,3,8,"protein_coding",153,"421.5"
"SLC25A34-AS1",9841,1,2,"lncRNA",316.5,"9209"
"TMEM82",5486,1,6,"protein_coding",183,"491"
"FBLIM1",29955,15,28,"protein_coding",187.5,"1778"
"RPL12P14",594,NA,NA,"pseudogene",NA,NA
"UQCRHL",275,1,1,"protein_coding",276,NA
"SPEN-AS1",13930,1,2,"lncRNA",1367.5,"11196"
"SPEN",92763,1,15,"protein_coding",195,"1486"
"LOC124904815",100,1,1,"snoRNA",101,NA
"ZBTB17",34259,2,20,"protein_coding",131,"258.5"
"LOC124903855",16033,1,3,"lncRNA",1870,"1211"
"LOC124905656",8898,NA,NA,"pseudogene",NA,NA
"SRARP",4566,1,2,"protein_coding",1517,"1533"
"HSPB7",5565,2,11,"protein_coding",279,"1281"
"CLCNKA",12013,1,21,"protein_coding",104.5,"385"
"FAM131C2P",5507,NA,NA,"pseudogene",NA,NA
"CLCNKB",13622,2,23,"protein_coding",102,"377"
"FAM131C",15881,1,7,"protein_coding",116,"882.5"
"EPHA2",31720,5,21,"protein_coding",156,"549"
"EPHA2-AS1",30201,1,5,"lncRNA",1310,"2327"
"ARHGEF19",14780,2,18,"protein_coding",152,"307"
"ANO7L1",11186,5,25,"transcribed_pseudogene",258,"393"
"CPLANE2",5490,1,6,"protein_coding",153,"420"
"MT1XP1",360,NA,NA,"pseudogene",NA,NA
"FBXO42",105823,2,16,"protein_coding",126,"1978"
"SZRD1",30901,1,6,"protein_coding",71,"3026.5"
"RPL22P3",458,NA,NA,"pseudogene",NA,NA
"SPATA21",42311,8,29,"protein_coding",173,"1198"
"NECAP2",19359,3,12,"protein_coding",107,"2778"
"LINC01772",7535,2,3,"lncRNA",905,"4639.5"
"CROCCP3",25236,1,15,"transcribed_pseudogene",166,"663"
"RNU1-1",163,1,1,"snRNA",164,NA
"TRN-GTT5-1",73,1,1,"tRNA",NA,NA
"LINC01783",1761,1,2,"lncRNA",773,"216"
"RNU1-6P",143,NA,NA,"pseudogene",NA,NA
"TRE-TTC4-1",71,1,1,"tRNA",NA,NA
"LOC124903856",677,1,1,"protein_coding",678,NA
"TRG-CCC1-1",70,1,1,"tRNA",NA,NA
"LOC124905696",5770,1,3,"lncRNA",229,"2066.5"
"PDE4DIPP8",2566,NA,NA,"pseudogene",NA,NA
"LOC101056699",71,NA,NA,"pseudogene",NA,NA
"NBPF1",71512,2,54,"protein_coding",NA,NA
"LOC124900386",12854,5,11,"protein_coding",118,"1670"
