"Gene_Id","Gene_length","Num_of_Transcripts","Num_of_Exons","Gene_type","Exon_Length","Intron_Length","splice5","splice3"
"CFAP74",82708,1,39,"protein_coding",130,1028.5,"1","0"
"LOC107984872",1662,1,3,"lncRNA",138,305,"1","0"
"LOC105378589",4877,1,3,"lncRNA",2257,364,"1","0"
"GABRD",11413,3,11,"protein_coding",147,389.5,"1","0"
"LOC105378590",11683,1,7,"lncRNA",177,328,"1","0"
"PRKCZ",136347,22,39,"protein_coding",98,2454,"1","0"
"PRKCZ-DT",869,1,3,"lncRNA",203,165,"1","0"
"PRKCZ-AS1",2087,1,2,"lncRNA",626.5,835,"1","0"
"FAAP20",28677,12,32,"protein_coding",178,2338,"4","0"
"SKI",82411,1,7,"protein_coding",263,382.5,"1","0"
"LOC124905687",20838,5,18,"protein_coding",260,205.5,"4","0"
"LOC124903824",4274,4,11,"lncRNA",279,917,"1","0"
"MORN1",73638,3,17,"protein_coding",99,1521,"1","0"
"RER1",13916,1,7,"protein_coding",105,1445.5,"1","0"
"PEX10",9853,4,12,"protein_coding",176,1512,"1","0"
"PLCH2",91123,7,31,"protein_coding",137,771,"7","0"
"PANK4",18614,4,23,"protein_coding",105,498,"1","0"
"HES5",1518,1,4,"protein_coding",166,97.5,"1","0"
"TNFRSF14-AS1",7091,1,7,"lncRNA",196,292,"4","0"
"TNFRSF14",8466,11,21,"protein_coding",134.5,958,"1","0"
"LOC100996583",18000,1,4,"lncRNA",108.5,1719,"1","0"
"PRXL2B",4945,2,12,"protein_coding",76,407,"1","0"
"MMEL1",42378,1,24,"protein_coding",97.5,624,"4","0"
"TTC34",223233,1,9,"protein_coding",226,1929.5,"1","0"
"LOC128966585",1065,2,7,"lncRNA",213,82,"1","0"
"LOC107985732",1065,1,3,"lncRNA",201,122,"1","0"
"LOC124905688",3847,1,11,"lncRNA",345,82,"1","0"
"LOC124905689",841,3,9,"lncRNA",112.5,82,"1","0"
"LOC105378598",13629,5,27,"lncRNA",145.5,82,"1","0"
"LOC107984904",1065,1,3,"lncRNA",201,122,"1","0"
"LOC124903826",2421,1,3,"lncRNA",565,464.5,"1","0"
"PRDM16-DT",8108,2,2,"lncRNA",176,497,"1","0"
"PRDM16",372179,1,18,"protein_coding",170,3913,"1","0"
"LOC105378606",5842,1,3,"lncRNA",119,2752,"1","0"
"LOC107984909",7982,1,2,"lncRNA",3423,1137,"1","0"
"LOC105378605",3250,2,4,"lncRNA",682.5,1621.5,"1","0"
"LOC124903828",30344,1,2,"protein_coding",15156,33,"1","0"
"LOC105378604",16904,3,9,"lncRNA",641.5,9370,"1","0"
"ARHGEF16",28808,6,21,"protein_coding",147,1079.5,"1","0"
"LOC105378608",2089,1,3,"lncRNA",317,395,"1","0"
"TPRG1L",5090,1,5,"protein_coding",177,476,"1","0"
"TP73",85413,5,18,"protein_coding",132.5,1115,"1","0"
"TP73-AS3",10573,2,4,"lncRNA",573,2688,"1","0"
"TP73-AS1",11389,2,12,"lncRNA",155,2378,"1","0"
"CCDC27",19190,1,12,"protein_coding",140.5,1215,"1","0"
"SMIM1",3204,1,5,"protein_coding",140.5,311,"1","0"
"LRRC47",17943,1,7,"protein_coding",117,1146.5,"1","0"
"CEP104",45127,2,26,"protein_coding",147.5,1047,"1","0"
"C1orf174",11139,3,8,"protein_coding",301.5,1825,"1","0"
"LINC01134",15047,1,4,"lncRNA",413.5,3333,"1","0"
"LINC01346",11971,1,3,"lncRNA",150,5702,"1","0"
"LINC01345",1831,1,3,"lncRNA",180,447.5,"1","0"
"LINC01777",12600,1,6,"lncRNA",340,724,"1","0"
"LOC105376674",11485,2,4,"lncRNA",128,5197,"1","0"
"LOC124904578",4559,1,3,"lncRNA",45,1982,"1","0"
"LINC01646",12219,1,5,"lncRNA",143,687,"1","0"
"AJAP1",138126,2,8,"protein_coding",320.5,2842,"1","0"
"LINC02781",10567,2,7,"lncRNA",130,1381.5,"1","0"
"LOC124904589",6094,1,3,"lncRNA",96,2895.5,"1","0"
"LOC102724429",6980,3,8,"lncRNA",106,1245,"1","0"
"LOC105376682",3455,1,3,"lncRNA",191,1511,"1","0"
"LOC107984911",10990,1,5,"lncRNA",505,1047,"1","0"
"LOC105376686",3788,1,7,"lncRNA",577,622.5,"1","0"
"LOC124903830",9647,2,4,"lncRNA",1962,2930,"1","0"
"NPHP4",131567,16,55,"protein_coding",157,1570,"4","0"
"KCNAB2",108364,5,24,"protein_coding",86.5,1337,"1","0"
"CHD5",78494,1,42,"protein_coding",136,713,"1","0"
"RPL22",14575,1,4,"protein_coding",115,4597,"1","0"
"RNF207-AS1",940,1,3,"lncRNA",143,281.5,"1","0"
"RNF207",15180,6,24,"protein_coding",108,265,"4","0"
"ICMT",14771,3,8,"protein_coding",218,1298,"1","0"
"ICMT-DT",3204,1,5,"lncRNA",101,420,"1","0"
"HES3",1399,1,4,"protein_coding",89,109,"1","0"
"GPR153",13745,2,8,"protein_coding",352,713,"1","0"
"ACOT7",129493,5,13,"protein_coding",118,10159,"1","0"
"HES2",4687,1,4,"protein_coding",122,87,"1","0"
"ESPN",36595,10,29,"protein_coding",194,2568.5,"1","0"
"TNFRSF25",5387,2,13,"protein_coding",128,411,"1","0"
"PLEKHG5",52972,7,30,"protein_coding",133,363,"1","0"
"NOL9",33180,5,17,"protein_coding",149,2160,"1","0"
"TAS1R1",24454,2,8,"protein_coding",282.5,1582,"1","0"
"LOC107984912",11879,1,4,"lncRNA",129,5756,"1","0"
"ZBTB48",9286,5,18,"protein_coding",143,410.5,"1","0"
"KLHL21",12145,1,5,"protein_coding",739.5,2344,"1","0"
"LOC107984913",9923,1,2,"lncRNA",940,8044,"1","0"
"PHF13",10299,2,5,"protein_coding",455,2651,"1","0"
"THAP3",10727,4,12,"protein_coding",126,1596,"1","0"
"DNAJC11",67648,2,16,"protein_coding",120,1226,"1","0"
"LINC01672",5271,2,3,"lncRNA",199.5,3490.5,"1","0"
"CAMTA1-DT",1088,1,3,"lncRNA",154,268.5,"1","0"
"CAMTA1",987458,21,51,"protein_coding",155.5,3104,"1","0"
"LOC124903832",26924,1,2,"lncRNA",11766.5,3392,"1","0"
"CAMTA1-AS2",7269,2,5,"lncRNA",100,558.5,"1","0"
"CAMTA1-AS1",983,2,6,"lncRNA",135,161.5,"1","0"
"LOC105376691",5588,1,3,"lncRNA",180,2474.5,"1","0"
"LOC105376689",18954,6,17,"lncRNA",767,595,"1","0"
"VAMP3",10136,1,5,"protein_coding",90,1756,"1","0"
"PER3",60887,11,43,"protein_coding",150,1208,"1","0"
"UTS2",65785,3,9,"protein_coding",111,1757,"1","0"
"TNFRSF9",24959,3,10,"protein_coding",133,1065,"1","0"
"PARK7",23769,2,9,"protein_coding",87,3182.5,"1","0"
"ERRFI1",14578,4,8,"protein_coding",175,911,"1","0"
"ERRFI1-DT",96145,1,2,"lncRNA",2019.5,92107,"1","0"
"LOC107984915",18494,2,5,"lncRNA",174,9325,"1","0"
"LINC01714",6538,1,4,"lncRNA",120.5,1613,"1","0"
"LOC105376695",9052,1,3,"lncRNA",166,4190,"1","0"
"SLC45A1",26862,2,11,"protein_coding",206,3135.5,"1","0"
"RERE",465852,2,25,"protein_coding",162,973,"1","0"
"RERE-AS1",10373,1,4,"lncRNA",126.5,3780,"1","0"
"ENO1",17691,1,14,"protein_coding",108,1192,"1","0"
"ENO1-AS1",1050,1,2,"lncRNA",223.5,604,"1","0"
"LOC112268261",21876,3,6,"lncRNA",154,1410,"1","0"
"CA6",29206,4,11,"protein_coding",115,3467,"1","0"
"SLC2A7",33823,3,14,"protein_coding",127,1880,"1","0"
"SLC2A5",58696,9,25,"protein_coding",128,582.5,"1","0"
"MIR34AHG",34650,1,2,"lncRNA",2078.5,30494,"1","0"
"LNCTAM34A",9887,1,3,"lncRNA",175,4451,"1","0"
"H6PD",36536,4,10,"protein_coding",270,3155,"1","0"
"LOC124903836",682,1,2,"lncRNA",200.5,282,"1","0"
"SPSB1",31423,1,5,"protein_coding",29,7657.5,"1","0"
"LINC02606",3912,2,3,"lncRNA",1181.5,1510,"1","0"
"SLC25A33",45711,1,7,"protein_coding",180,4764,"1","0"
"TMEM201",25918,6,19,"protein_coding",186,1395,"1","0"
"PIK3CD",101857,13,41,"protein_coding",133,364.5,"1","0"
"LOC105376712",980,1,2,"lncRNA",220.5,540,"1","0"
"PIK3CD-AS1",1976,1,2,"lncRNA",911.5,154,"1","0"
"PIK3CD-AS2",15148,2,4,"lncRNA",265.5,10407,"1","0"
"CLSTN1",95735,3,21,"protein_coding",163,1454,"1","0"
"CTNNBIP1",62006,4,13,"protein_coding",120,13120,"1","0"
"LOC105376717",4719,1,2,"lncRNA",242.5,4235,"1","0"
"LOC124903838",3750,1,2,"lncRNA",727,2297,"1","0"
"LZIC",21264,3,12,"protein_coding",100.5,890,"1","0"
"NMNAT1",54011,9,11,"protein_coding",171,4329.5,"1","0"
"TMEM274P",10213,1,5,"transcribed_pseudogene",77,2198.5,"1","0"
"LOC124903840",1370,1,2,"protein_coding",271,829,"1","0"
"RBP7",18799,1,5,"protein_coding",179,5013.5,"1","0"
"KIF1B",171025,5,54,"protein_coding",109,1755,"1","0"
"PGD",21452,1,14,"protein_coding",131,1170,"4","0"
"CENPS-CORT",21721,2,7,"protein_coding",136,5656,"1","0"
"CENPS",12373,2,1,"protein_coding",124,2144.5,"1","0"
"CORT",1966,1,2,"protein_coding",457,1053,"1","0"
"DFFA",15998,2,7,"protein_coding",190,1843,"1","0"
"CASZ1",160162,4,26,"protein_coding",155,1254,"1","0"
"LOC105376733",6640,1,4,"lncRNA",131,1420,"1","0"
"LOC105376735",5821,1,3,"lncRNA",255,2186,"1","0"
"C1orf127",37507,6,22,"protein_coding",125,1440.5,"4","0"
"MASP2",20999,5,15,"protein_coding",141.5,756.5,"1","0"
"SRM",5429,1,8,"protein_coding",134.5,431,"1","0"
"EXOSC10",33257,3,28,"protein_coding",111.5,1113,"1","0"
"EXOSC10-AS1",2430,2,4,"lncRNA",270.5,1803,"1","0"
"MTOR",156036,6,65,"protein_coding",129,1337,"4","0"
"MTOR-AS1",5640,1,4,"lncRNA",173.5,679,"1","0"
"ANGPTL7",6626,3,7,"protein_coding",199,947.5,"1","0"
"UBIAD1",26394,3,5,"protein_coding",863,11584,"1","0"
"LOC105376737",4427,1,3,"lncRNA",271,1732.5,"1","0"
"LOC105376739",7106,1,4,"lncRNA",150,1054,"1","0"
"LOC105376740",7093,2,5,"lncRNA",250,1245,"1","0"
"DISP3",59782,10,31,"protein_coding",160,894.5,"4","0"
"LINC01647",3823,1,3,"lncRNA",566,1270,"1","0"
"FBXO2",6058,1,6,"protein_coding",134.5,391,"1","0"
"FBXO6",10167,5,10,"protein_coding",131.5,1253,"1","0"
"MAD2L2",17369,3,11,"protein_coding",95,483,"1","0"
"DRAXIN",39241,2,10,"protein_coding",144,2627,"1","0"
"C1orf167-AS1",2540,1,3,"lncRNA",497,337,"1","0"
"CLCN6",36936,1,25,"protein_coding",124,840,"1","0"
"NPPA-AS1",7301,1,4,"antisense_RNA",295,1666,"1","0"
"NPPA",2073,1,3,"protein_coding",306,609.5,"1","0"
"NPPB",1481,1,3,"protein_coding",244,387,"1","0"
"KIAA2013",6837,1,3,"protein_coding",854,2009.5,"1","0"
"PLOD1",40819,1,20,"protein_coding",124,1705,"1","0"
"TNFRSF8",80900,2,17,"protein_coding",117,3707.5,"1","0"
"VPS13D",282024,1,70,"protein_coding",149.5,2322,"4","0"
"LINC02766",11660,2,7,"lncRNA",356,850,"1","0"
"DHRS3",52068,6,12,"protein_coding",187,4303,"1","0"
"AADACL4",22995,2,5,"protein_coding",423.5,6408,"1","0"
"AADACL3",12615,1,4,"protein_coding",235,4389,"1","0"
"CFAP107",17698,1,5,"protein_coding",342,2380.5,"1","0"
"PRAMEF12",4168,1,3,"protein_coding",896,640,"1","0"
"PRAMEF1",5231,2,5,"protein_coding",445.5,706,"1","0"
"LINC01784",537,1,2,"lncRNA",221,96,"1","0"
"PRAMEF11",7031,2,6,"protein_coding",445.5,1746,"1","0"
"HNRNPCL1",1343,1,2,"protein_coding",567,210,"1","0"
"PRAMEF2",4817,2,5,"protein_coding",445.5,949,"1","0"
"PRAMEF4",6992,1,4,"protein_coding",445.5,1748,"1","0"
"PRAMEF10",5374,1,4,"protein_coding",445.5,1111,"1","0"
"PRAMEF7",4141,1,4,"protein_coding",444,914,"1","0"
"PRAMEF6",6942,1,4,"protein_coding",445.5,1747,"1","0"
"PRAMEF18",3459,1,3,"protein_coding",579,667.5,"1","0"
"PRAMEF9",7616,1,4,"protein_coding",633,1748,"1","0"
"PRAMEF36P",5207,1,4,"transcribed_pseudogene",444,951,"1","0"
"HNRNPCL2",1366,1,2,"protein_coding",578,211,"1","0"
"PRAMEF34P",5207,1,4,"transcribed_pseudogene",444,951,"1","0"
"LOC128966578",4680,1,4,"protein_coding",375.5,979,"4","0"
"PRAMEF5",9237,1,4,"protein_coding",445.5,1746,"1","0"
"PRAMEF8",3833,2,5,"protein_coding",444,914,"1","0"
"PRAMEF33",5368,1,4,"protein_coding",445.5,1112,"1","0"
"PRAMEF15",7017,1,4,"protein_coding",445.5,1749,"1","0"
"PRAMEF14",5242,1,4,"protein_coding",445.5,951,"1","0"
"PRAMEF19",3516,1,3,"protein_coding",579,697,"1","0"
"PRAMEF17",2997,1,3,"protein_coding",579,710,"1","0"
"PRAMEF20",10879,2,5,"protein_coding",435,1996,"1","0"
"LRRC38",39035,2,3,"protein_coding",1084,36868,"1","0"
"LOC102724856",5301,2,5,"lncRNA",186,866,"1","0"
"LOC107984918",3834,1,3,"lncRNA",254,1287,"1","0"
"PDPN",34184,5,13,"protein_coding",132,3080,"1","0"
"LOC105378612",4528,1,3,"lncRNA",458,1703,"1","0"
"LOC105376756",4790,1,3,"lncRNA",115,2174,"1","0"
"PRDM2",124919,10,18,"protein_coding",127,9130,"1","0"
"KAZN",1227288,18,37,"protein_coding",171,7436.5,"1","0"
"LOC107985467",52007,2,6,"lncRNA",659,2324.5,"1","0"
"LOC124905691",32911,1,3,"lncRNA",186,16222,"1","0"
"LOC124903847",21457,1,3,"lncRNA",10278,133.5,"1","0"
"KAZN-AS1",71001,1,5,"lncRNA",157,14699.5,"1","0"
"LOC105376759",3799,1,3,"lncRNA",113,1739,"1","0"
"LOC124903848",9941,1,3,"lncRNA",118,1221.5,"1","0"
"LOC107985469",22954,1,3,"lncRNA",123,11257.5,"1","0"
"LOC124903849",1520,1,3,"lncRNA",82,622.5,"1","0"
"TMEM51-AS1",40656,1,6,"lncRNA",376,2067,"4","0"
"TMEM51",67950,4,9,"protein_coding",349,4329,"1","0"
"TMEM51-AS2",7434,2,4,"lncRNA",135,1350,"1","0"
"FHAD1",173392,19,66,"protein_coding",130,3495,"1","0"
"FHAD1-AS1",17200,1,3,"lncRNA",1554.5,14092,"1","0"
"LOC124903851",6402,1,3,"lncRNA",547,879,"1","0"
"EFHD2",20448,2,5,"protein_coding",270,1308,"1","0"
"CTRC",10807,1,8,"protein_coding",131.5,846,"1","0"
"CELA2A",15342,1,8,"protein_coding",115.5,1241,"1","0"
"LOC105376767",3876,1,3,"lncRNA",252,1300,"1","0"
"CELA2B",15291,1,8,"protein_coding",115,1238,"1","0"
"CASP9",33509,6,16,"protein_coding",148,1251,"4","0"
"DNAJC16",44883,1,16,"protein_coding",171,1866,"4","0"
"AGMAT",13368,1,7,"protein_coding",196,1169.5,"1","0"
"DDI2",51604,1,10,"protein_coding",129.5,4723,"1","0"
"PLEKHM2",53919,5,25,"protein_coding",113.5,603,"1","0"
"SLC25A34",6367,3,8,"protein_coding",153,421.5,"1","0"
"SLC25A34-AS1",9841,1,2,"lncRNA",316.5,9209,"1","0"
"TMEM82",5486,1,6,"protein_coding",183,491,"1","0"
"FBLIM1",29955,15,28,"protein_coding",187.5,1778,"1","0"
"SPEN-AS1",13930,1,2,"lncRNA",1367.5,11196,"1","0"
"SPEN",92763,1,15,"protein_coding",195,1486,"1","0"
"ZBTB17",34259,2,20,"protein_coding",131,258.5,"1","0"
"LOC124903855",16033,1,3,"lncRNA",1870,1211,"1","0"
"SRARP",4566,1,2,"protein_coding",1517,1533,"1","0"
"HSPB7",5565,2,11,"protein_coding",279,1281,"4","0"
"CLCNKA",12013,1,21,"protein_coding",104.5,385,"1","0"
"CLCNKB",13622,2,23,"protein_coding",102,377,"1","0"
"FAM131C",15881,1,7,"protein_coding",116,882.5,"1","0"
"EPHA2",31720,5,21,"protein_coding",156,549,"1","0"
"EPHA2-AS1",30201,1,5,"lncRNA",1310,2327,"1","0"
"ARHGEF19",14780,2,18,"protein_coding",152,307,"1","0"
"ANO7L1",11186,5,25,"transcribed_pseudogene",258,393,"1","0"
"CPLANE2",5490,1,6,"protein_coding",153,420,"1","0"
"FBXO42",105823,2,16,"protein_coding",126,1978,"1","0"
"SZRD1",30901,1,6,"protein_coding",71,3026.5,"1","0"
"SPATA21",42311,8,29,"protein_coding",173,1198,"1","0"
"NECAP2",19359,3,12,"protein_coding",107,2778,"1","0"
"LINC01772",7535,2,3,"lncRNA",905,4639.5,"1","0"
"CROCCP3",25236,1,15,"transcribed_pseudogene",166,663,"1","0"
"LINC01783",1761,1,2,"lncRNA",773,216,"1","0"
"LOC124905696",5770,1,3,"lncRNA",229,2066.5,"1","0"
"LOC124900386",12854,5,11,"protein_coding",118,1670,"1","0"
"LOC124905694",2519,1,3,"lncRNA",198,974.5,"1","0"
"LOC124900584",14453,1,14,"transcribed_pseudogene",158.5,741,"7","0"
"LOC124905569",8008,1,3,"lncRNA",84,3886.5,"1","0"
"MST1P2",4846,1,14,"transcribed_pseudogene",128,124,"4","0"
"LOC124905695",13904,1,3,"lncRNA",131,5107.5,"1","0"
"LOC124905697",15116,1,3,"lncRNA",338,6996,"1","0"
"LOC124905698",15986,1,2,"lncRNA",2926.5,10134,"1","0"
"ESPNP",28967,1,11,"transcribed_pseudogene",187,1737,"1","0"
"LOC440570",3142,1,2,"lncRNA",1280.5,580,"1","0"
"LOC102724562",2996,1,11,"transcribed_pseudogene",140,110,"1","0"
"LOC124905701",14608,1,3,"lncRNA",110,6999,"1","0"
"LOC124905700",17972,1,3,"lncRNA",1384,5116,"1","0"
"MST1L",3978,1,14,"transcribed_pseudogene",131,112,"1","0"
"LOC124905560",11826,2,5,"lncRNA",86.5,1921,"1","0"
"CROCCP2",12650,1,7,"transcribed_pseudogene",165,1178,"1","0"
"LOC112267871",1869,1,3,"lncRNA",645.5,579,"1","0"
"LOC105376805",1129,2,4,"lncRNA",245,600,"1","0"
"CROCC",59283,9,48,"protein_coding",166,692.5,"1","0"
"MFAP2",7079,3,12,"protein_coding",78,272.5,"1","0"
"LOC105376806",1934,1,2,"lncRNA",414.5,1106,"1","0"
"SDHB",35318,2,10,"protein_coding",120,3673,"1","0"
"PADI2",52707,3,18,"protein_coding",122,1825,"1","0"
"LOC124903861",2059,1,3,"lncRNA",160,819.5,"1","0"
"LOC105376808",3289,1,3,"lncRNA",278,1233.5,"1","0"
"LINC02783",6571,1,4,"lncRNA",150.5,2277,"1","0"
"PADI1",40828,8,23,"protein_coding",125,1150,"1","0"
"PADI3",35130,4,19,"protein_coding",122,1735,"1","0"
"PADI4",55698,6,22,"protein_coding",118,2059,"1","0"
"PADI6",29501,1,16,"protein_coding",125,1407,"1","0"
"RCC2",32998,2,14,"protein_coding",132,2071,"1","0"
"RCC2-AS1",621,1,2,"antisense_RNA",155,312,"1","0"
"ARHGEF10L",185721,19,51,"protein_coding",123,2081,"1","0"
"LINC02810",4790,3,9,"lncRNA",271.5,787,"1","0"
"ACTL8",71781,2,4,"protein_coding",372,34970.5,"1","0"
"LOC105376809",10007,3,6,"lncRNA",204,3700.5,"1","0"
"LOC105376812",13043,1,3,"lncRNA",351,5873,"1","0"
"LINC01654",8757,1,3,"lncRNA",191,3143.5,"1","0"
"IGSF21",270626,3,12,"protein_coding",120.5,10612,"1","0"
"IGSF21-AS1",15983,4,11,"lncRNA",98,3196,"1","0"
"PAX7",118022,2,11,"protein_coding",203,2614,"1","0"
"TAS1R2",20057,1,6,"protein_coding",255.5,2344,"1","0"
"ALDH4A1",31149,2,18,"protein_coding",119,1236,"1","0"
"LOC105376815",83280,3,6,"lncRNA",285,17967,"1","0"
"EMC1-AS1",30336,2,3,"lncRNA",245.5,24511.5,"1","0"
"EMC1",35876,1,26,"protein_coding",128,1066,"1","0"
"MRTO4",8321,2,9,"protein_coding",79.5,492,"1","0"
"AKR7L",8144,1,7,"misc_RNA",188,1430.5,"1","0"
"AKR7A3",14543,3,9,"protein_coding",130,666.5,"1","0"
"LOC124903867",17387,1,3,"lncRNA",384,7950.5,"1","0"
"AKR7A2",9439,3,9,"protein_coding",130,855,"1","0"
"SLC66A1",22155,3,20,"protein_coding",152,732,"4","0"
"CAPZB",146682,9,19,"protein_coding",114,9116,"1","0"
"LOC124903868",7716,1,4,"lncRNA",118.5,1241,"1","0"
"LOC124903869",6636,1,3,"lncRNA",125,3071.5,"1","0"
"LOC105376819",47250,3,9,"lncRNA",143,10236,"1","0"
"LOC105376818",2593,1,3,"lncRNA",43,1227,"1","0"
"LOC105376817",17309,1,4,"lncRNA",56,5506,"1","0"
"MICOS10-DT",5030,1,2,"lncRNA",103.5,4824,"1","0"
"MICOS10-NBL1",61407,1,5,"protein_coding",185,2553.5,"1","0"
"MICOS10",32779,1,5,"protein_coding",131,3240,"1","0"
"NBL1",15224,7,8,"protein_coding",189,1430,"1","0"
"HTR6",16090,1,3,"protein_coding",1593,6145.5,"1","0"
"TMCO4",118140,7,25,"protein_coding",133,6264,"1","0"
"LOC105376823",28970,2,4,"lncRNA",133,14126,"1","0"
"OTUD3",30548,4,12,"protein_coding",140.5,3057,"1","0"
"PLA2G2E",3608,1,4,"protein_coding",123,764,"1","0"
"PLA2G2A",4997,4,12,"protein_coding",145,460,"1","0"
"PLA2G5",63514,4,15,"protein_coding",145,2386.5,"1","0"
"PLA2G2D",7597,1,4,"protein_coding",145,2527,"1","0"
"PLA2G2F",11067,3,8,"protein_coding",145,2108,"1","0"
"PLA2G2C",23462,3,11,"protein_coding",149,2147,"1","0"
"UBXN10",12968,3,4,"protein_coding",2781,4393,"1","0"
"LOC105376825",5519,1,3,"lncRNA",1163,1239,"1","0"
"LOC105376826",2638,1,3,"lncRNA",573,452.5,"1","0"
"LINC01757",1560,1,2,"lncRNA",240,1081,"1","0"
"LOC105376828",2891,1,5,"lncRNA",505,662,"1","0"
"VWA5B1",68649,9,37,"protein_coding",159,1797,"1","0"
"LINC01141",69444,1,12,"lncRNA",125.5,1385,"1","0"
"CAMK2N1",3819,1,2,"protein_coding",1163,1494,"1","0"
"MUL1",8710,2,5,"protein_coding",184,1032,"1","0"
"CDA",29874,1,4,"protein_coding",149,8834,"1","0"
"PINK1",18057,1,8,"protein_coding",210,1764,"1","0"
"PINK1-AS",9536,1,3,"antisense_RNA",462,2548,"1","0"
"DDOST",9577,1,11,"protein_coding",111,281.5,"1","0"
"SH2D5",12967,3,15,"protein_coding",160,735,"1","0"
"HP1BP3",47036,7,24,"protein_coding",144,2986,"4","0"
"EIF4G3",370724,12,51,"protein_coding",123,4939,"1","0"
"LOC105376830",15555,2,7,"lncRNA",65,3125,"1","0"
"LOC105376829",13364,2,5,"lncRNA",66,2198,"1","0"
"ECE1",128243,8,26,"protein_coding",115,2116,"1","0"
"LOC124903872",5143,1,3,"lncRNA",404,1870.5,"1","0"
"ECE1-AS1",6579,1,3,"lncRNA",454,2003,"1","0"
