"Gene_Id","Gene_length","Num_of_Transcripts","Num_of_Exons","Gene_type","Exon_Length","Intron_Length","splice5","splice3","codingpotential","branchpt_len"
"ATAD3B",37834,10,30,"protein_coding",117,982,1,0,1,"220"
"ATAD3A",22523,4,22,"protein_coding",105.5,1150,1,0,1,"238"
"TMEM240",5846,1,4,"protein_coding",272,499,1,0,0.906853,"1067"
"SSU72",33192,1,5,"protein_coding",144,5632,1,0,0.998093,"118.5"
"LOC105378586",7777,1,3,"lncRNA",184,3603,1,0,0.0314326,"11"
"MIB2",16874,5,31,"protein_coding",149,189,4,0,1,"97"
"CDK11B",23957,12,36,"protein_coding",122,548,1,0,1,"17"
"SLC35E2B",31291,1,10,"protein_coding",136,1274,1,0,0.999998,"84"
"MMP23A",1869,1,6,"transcribed_pseudogene",149.5,120,1,0,0.836518,NA
"CDK11A",21914,1,24,"protein_coding",122,548,1,0,1,"17"
"SLC35E2A",18686,2,8,"transcribed_pseudogene",347,1612.5,1,0,0.995903,"51"
"LOC112268218",5973,1,2,"lncRNA",953.5,4067,1,0,0.187597,"1001"
"NADK",29251,7,24,"protein_coding",106,539,4,0,1,"135.5"
"GNB1-DT",1549,1,3,"lncRNA",515.5,519,1,0,0.0872383,NA
"CALML6",3543,2,7,"protein_coding",123,136,1,0,0.999041,"96.5"
"TMEM52",1716,3,8,"protein_coding",92,100,1,0,0.999387,"99"
"CFAP74",82708,1,39,"protein_coding",130,1028.5,1,0,1,"137"
"LOC107984872",1662,1,3,"lncRNA",138,305,1,0,0.0669532,"136"
"LOC105378589",4877,1,3,"lncRNA",2257,364,1,0,0.713733,"18"
"GABRD",11413,3,11,"protein_coding",147,389.5,1,0,1,"163"
"LOC105378590",11683,1,7,"lncRNA",177,328,1,0,0.104029,"124"
"PRKCZ",136347,22,39,"protein_coding",98,2454,1,0,1,"132"
"PRKCZ-DT",869,1,3,"lncRNA",203,165,1,0,0.0595981,"48"
"PRKCZ-AS1",2087,1,2,"lncRNA",626.5,835,1,0,0.998465,"261"
"FAAP20",28677,12,32,"protein_coding",178,2338,4,0,0.9708215,"62"
"SKI",82411,1,7,"protein_coding",263,382.5,1,0,1,"68"
"LOC124905687",20838,5,18,"protein_coding",260,205.5,4,0,0.94346,"46"
"LOC124903824",4274,4,11,"lncRNA",279,917,1,0,0.1936215,"347"
"MORN1",73638,3,17,"protein_coding",99,1521,1,0,1,"172"
"RER1",13916,1,7,"protein_coding",105,1445.5,1,0,0.708611,"74.5"
"PEX10",9853,4,12,"protein_coding",176,1512,1,0,0.9754085,"126"
"PLCH2",91123,7,31,"protein_coding",137,771,7,0,1,"188"
"PANK4",18614,4,23,"protein_coding",105,498,1,0,1,"132"
"HES5",1518,1,4,"protein_coding",166,97.5,1,0,0.866568,NA
"TNFRSF14-AS1",7091,1,7,"lncRNA",196,292,4,0,0.220198,"68"
"TNFRSF14",8466,11,21,"protein_coding",134.5,958,1,0,0.999599,"294"
"LOC100996583",18000,1,4,"lncRNA",108.5,1719,1,0,0.262009,"16"
"PRXL2B",4945,2,12,"protein_coding",76,407,1,0,0.5985555,"296.5"
"MMEL1",42378,1,24,"protein_coding",97.5,624,4,0,1,"186"
"TTC34",223233,1,9,"protein_coding",226,1929.5,1,0,1,"522"
"LOC128966585",1065,2,7,"lncRNA",213,82,1,0,0.00980447,"20"
"LOC107985732",1065,1,3,"lncRNA",201,122,1,0,0.0119467,NA
"LOC124905688",3847,1,11,"lncRNA",345,82,1,0,0.00960799,"20"
"LOC124905689",841,3,9,"lncRNA",112.5,82,1,0,0.00816475,"20"
"LOC105378598",13629,5,27,"lncRNA",145.5,82,1,0,0.033425,"178"
"LOC107984904",1065,1,3,"lncRNA",201,122,1,0,0.0119467,NA
"LOC124903826",2421,1,3,"lncRNA",565,464.5,1,0,0.137488,"6"
"PRDM16-DT",8108,2,2,"lncRNA",176,497,1,0,0.585439,"5"
"PRDM16",372179,1,18,"protein_coding",170,3913,1,0,1,"145"
"LOC105378606",5842,1,3,"lncRNA",119,2752,1,0,0.0317082,"38"
"LOC107984909",7982,1,2,"lncRNA",3423,1137,1,0,0.419503,"46"
"LOC105378605",3250,2,4,"lncRNA",682.5,1621.5,1,0,0.1164939,"25"
"LOC124903828",30344,1,2,"protein_coding",15156,33,1,0,0.997866,NA
"LOC105378604",16904,3,9,"lncRNA",641.5,9370,1,0,0.207073,"45"
"ARHGEF16",28808,6,21,"protein_coding",147,1079.5,1,0,1,"642.5"
"LOC105378608",2089,1,3,"lncRNA",317,395,1,0,0.278766,"96"
"TPRG1L",5090,1,5,"protein_coding",177,476,1,0,0.999946,"79.5"
"TP73",85413,5,18,"protein_coding",132.5,1115,1,0,1,"154"
"TP73-AS3",10573,2,4,"lncRNA",573,2688,1,0,0.453139,"31.5"
"TP73-AS1",11389,2,12,"lncRNA",155,2378,1,0,0.952066,"21"
"CCDC27",19190,1,12,"protein_coding",140.5,1215,1,0,1,"231"
"SMIM1",3204,1,5,"protein_coding",140.5,311,1,0,0.0923885,"142"
"LRRC47",17943,1,7,"protein_coding",117,1146.5,1,0,1,"68.5"
"CEP104",45127,2,26,"protein_coding",147.5,1047,1,0,1,"23"
"C1orf174",11139,3,8,"protein_coding",301.5,1825,1,0,0.994048,"46"
"LINC01134",15047,1,4,"lncRNA",413.5,3333,1,0,0.0974406,"37"
"LINC01346",11971,1,3,"lncRNA",150,5702,1,0,0.0469489,"148.5"
"LINC01345",1831,1,3,"lncRNA",180,447.5,1,0,0.0158084,"125"
"LINC01777",12600,1,6,"lncRNA",340,724,1,0,0.263607,"24"
"LOC105376674",11485,2,4,"lncRNA",128,5197,1,0,0.0236699,"20"
"LOC124904578",4559,1,3,"lncRNA",45,1982,1,0,0.0185488,"21"
"LINC01646",12219,1,5,"lncRNA",143,687,1,0,0.0439427,"85"
"AJAP1",138126,2,8,"protein_coding",320.5,2842,1,0,0.9992815,"107"
"LINC02781",10567,2,7,"lncRNA",130,1381.5,1,0,0.1702155,"26.5"
"LOC124904589",6094,1,3,"lncRNA",96,2895.5,1,0,0.0815922,"19"
"LOC102724429",6980,3,8,"lncRNA",106,1245,1,0,0.158826,"8.5"
"LOC105376682",3455,1,3,"lncRNA",191,1511,1,0,0.0960496,"24"
"LOC107984911",10990,1,5,"lncRNA",505,1047,1,0,0.0952837,"14.5"
"LOC105376686",3788,1,7,"lncRNA",577,622.5,1,0,0.798721,"24.5"
"LOC124903830",9647,2,4,"lncRNA",1962,2930,1,0,0.438258,"18"
"NPHP4",131567,16,55,"protein_coding",157,1570,4,0,1,"125.5"
"KCNAB2",108364,5,24,"protein_coding",86.5,1337,1,0,0.999998,"190"
"CHD5",78494,1,42,"protein_coding",136,713,1,0,1,"155"
"RPL22",14575,1,4,"protein_coding",115,4597,1,0,0.641176,"16"
"RNF207-AS1",940,1,3,"lncRNA",143,281.5,1,0,0.00355919,"54.5"
"RNF207",15180,6,24,"protein_coding",108,265,4,0,1,"136"
"ICMT",14771,3,8,"protein_coding",218,1298,1,0,0.960362,"66"
"ICMT-DT",3204,1,5,"lncRNA",101,420,1,0,0.18145,"72.5"
"HES3",1399,1,4,"protein_coding",89,109,1,0,0.969993,"168"
"GPR153",13745,2,8,"protein_coding",352,713,1,0,1,"135"
"ACOT7",129493,5,13,"protein_coding",118,10159,1,0,1,"111.5"
"HES2",4687,1,4,"protein_coding",122,87,1,0,0.652687,NA
"ESPN",36595,10,29,"protein_coding",194,2568.5,1,0,1,"244.5"
"TNFRSF25",5387,2,13,"protein_coding",128,411,1,0,0.9483305,"293"
"PLEKHG5",52972,7,30,"protein_coding",133,363,1,0,1,"122"
"NOL9",33180,5,17,"protein_coding",149,2160,1,0,0.999773,"14"
"TAS1R1",24454,2,8,"protein_coding",282.5,1582,1,0,1,"154.5"
"LOC107984912",11879,1,4,"lncRNA",129,5756,1,0,0.022605,"159"
"ZBTB48",9286,5,18,"protein_coding",143,410.5,1,0,1,"44"
"KLHL21",12145,1,5,"protein_coding",739.5,2344,1,0,1,"257"
"LOC107984913",9923,1,2,"lncRNA",940,8044,1,0,0.0300818,"2"
"PHF13",10299,2,5,"protein_coding",455,2651,1,0,0.9987665,"41"
"THAP3",10727,4,12,"protein_coding",126,1596,1,0,0.965915,"128"
"DNAJC11",67648,2,16,"protein_coding",120,1226,1,0,1,"42.5"
"LINC01672",5271,2,3,"lncRNA",199.5,3490.5,1,0,0.02397985,"17"
"CAMTA1-DT",1088,1,3,"lncRNA",154,268.5,1,0,0.00288303,"118"
"CAMTA1",987458,21,51,"protein_coding",155.5,3104,1,0,1,"70"
"LOC124903832",26924,1,2,"lncRNA",11766.5,3392,1,0,0.170914,"26"
"CAMTA1-AS2",7269,2,5,"lncRNA",100,558.5,1,0,0.0279488,"109.5"
"CAMTA1-AS1",983,2,6,"lncRNA",135,161.5,1,0,0.00856827,"8"
"LOC105376691",5588,1,3,"lncRNA",180,2474.5,1,0,0.205556,"11"
"LOC105376689",18954,6,17,"lncRNA",767,595,1,0,0.193637,"7.5"
"VAMP3",10136,1,5,"protein_coding",90,1756,1,0,0.338256,"150"
"PER3",60887,11,43,"protein_coding",150,1208,1,0,1,"17"
"UTS2",65785,3,9,"protein_coding",111,1757,1,0,0.5667,"32"
"TNFRSF9",24959,3,10,"protein_coding",133,1065,1,0,0.990025,"13"
"PARK7",23769,2,9,"protein_coding",87,3182.5,1,0,0.9966505,"13"
"ERRFI1",14578,4,8,"protein_coding",175,911,1,0,1,"24"
"ERRFI1-DT",96145,1,2,"lncRNA",2019.5,92107,1,0,0.0330546,"83"
"LOC107984915",18494,2,5,"lncRNA",174,9325,1,0,0.04687235,"33"
"LINC01714",6538,1,4,"lncRNA",120.5,1613,1,0,0.132347,"35"
"LOC105376695",9052,1,3,"lncRNA",166,4190,1,0,0.0389721,"11.5"
"SLC45A1",26862,2,11,"protein_coding",206,3135.5,1,0,1,"117.5"
"RERE",465852,2,25,"protein_coding",162,973,1,0,1,"50"
"RERE-AS1",10373,1,4,"lncRNA",126.5,3780,1,0,0.0109371,"22"
"ENO1",17691,1,14,"protein_coding",108,1192,1,0,1,"43"
"ENO1-AS1",1050,1,2,"lncRNA",223.5,604,1,0,0.00478651,"65"
"LOC112268261",21876,3,6,"lncRNA",154,1410,1,0,0.0551551,"31"
"CA6",29206,4,11,"protein_coding",115,3467,1,0,0.999999,"33"
"SLC2A7",33823,3,14,"protein_coding",127,1880,1,0,1,"167"
"SLC2A5",58696,9,25,"protein_coding",128,582.5,1,0,1,"94.5"
"MIR34AHG",34650,1,2,"lncRNA",2078.5,30494,1,0,0.438433,"3"
"LNCTAM34A",9887,1,3,"lncRNA",175,4451,1,0,0.0261834,"26.5"
"H6PD",36536,4,10,"protein_coding",270,3155,1,0,1,"134.5"
"LOC124903836",682,1,2,"lncRNA",200.5,282,1,0,0.00699458,"3"
"SPSB1",31423,1,5,"protein_coding",29,7657.5,1,0,0.999537,"59.5"
"LINC02606",3912,2,3,"lncRNA",1181.5,1510,1,0,0.1321675,"24"
"SLC25A33",45711,1,7,"protein_coding",180,4764,1,0,0.990066,"28.5"
"TMEM201",25918,6,19,"protein_coding",186,1395,1,0,1,"194"
"PIK3CD",101857,13,41,"protein_coding",133,364.5,1,0,1,"89"
"LOC105376712",980,1,2,"lncRNA",220.5,540,1,0,0.0313511,"315"
"PIK3CD-AS1",1976,1,2,"lncRNA",911.5,154,1,0,0.78831,"35"
"PIK3CD-AS2",15148,2,4,"lncRNA",265.5,10407,1,0,0.0314254,"51.5"
"CLSTN1",95735,3,21,"protein_coding",163,1454,1,0,1,"90"
"CTNNBIP1",62006,4,13,"protein_coding",120,13120,1,0,0.336999,"186"
"LOC105376717",4719,1,2,"lncRNA",242.5,4235,1,0,0.0269638,"56"
"LOC124903838",3750,1,2,"lncRNA",727,2297,1,0,0.135657,"154"
"LZIC",21264,3,12,"protein_coding",100.5,890,1,0,0.99579,"17"
"NMNAT1",54011,9,11,"protein_coding",171,4329.5,1,0,0.974929,"6.5"
"TMEM274P",10213,1,5,"transcribed_pseudogene",77,2198.5,1,0,0.257132,"24.5"
"LOC124903840",1370,1,2,"protein_coding",271,829,1,0,0.472209,"13"
"RBP7",18799,1,5,"protein_coding",179,5013.5,1,0,0.125931,"38.5"
"KIF1B",171025,5,54,"protein_coding",109,1755,1,0,1,"21"
"PGD",21452,1,14,"protein_coding",131,1170,4,0,1,"63"
"CENPS-CORT",21721,2,7,"protein_coding",136,5656,1,0,0.490062,"12"
"CENPS",12373,2,1,"protein_coding",124,2144.5,1,0,0.5250035,"25.5"
"CORT",1966,1,2,"protein_coding",457,1053,1,0,0.885862,"3"
"DFFA",15998,2,7,"protein_coding",190,1843,1,0,0.999933,"52"
"CASZ1",160162,4,26,"protein_coding",155,1254,1,0,1,"216"
"LOC105376733",6640,1,4,"lncRNA",131,1420,1,0,0.0385263,"14"
"LOC105376735",5821,1,3,"lncRNA",255,2186,1,0,0.128541,"43.5"
"C1orf127",37507,6,22,"protein_coding",125,1440.5,4,0,1,"90"
"MASP2",20999,5,15,"protein_coding",141.5,756.5,1,0,1,"34"
"SRM",5429,1,8,"protein_coding",134.5,431,1,0,0.999999,"129"
"EXOSC10",33257,3,28,"protein_coding",111.5,1113,1,0,1,"44"
"EXOSC10-AS1",2430,2,4,"lncRNA",270.5,1803,1,0,0.0452713,"20"
"MTOR",156036,6,65,"protein_coding",129,1337,4,0,1,"33"
"MTOR-AS1",5640,1,4,"lncRNA",173.5,679,1,0,0.0178656,"40"
"ANGPTL7",6626,3,7,"protein_coding",199,947.5,1,0,0.999889,"89"
"UBIAD1",26394,3,5,"protein_coding",863,11584,1,0,0.999412,"130"
"LOC105376737",4427,1,3,"lncRNA",271,1732.5,1,0,0.0887319,"33.5"
"LOC105376739",7106,1,4,"lncRNA",150,1054,1,0,0.0105903,"68"
"LOC105376740",7093,2,5,"lncRNA",250,1245,1,0,0.0620717,"25"
"DISP3",59782,10,31,"protein_coding",160,894.5,4,0,1,"163"
"LINC01647",3823,1,3,"lncRNA",566,1270,1,0,0.0199115,"98.5"
"FBXO2",6058,1,6,"protein_coding",134.5,391,1,0,1,"272"
"FBXO6",10167,5,10,"protein_coding",131.5,1253,1,0,0.999998,"190.5"
"MAD2L2",17369,3,11,"protein_coding",95,483,1,0,0.999528,"187"
"DRAXIN",39241,2,10,"protein_coding",144,2627,1,0,0.9706145,"74"
"C1orf167-AS1",2540,1,3,"lncRNA",497,337,1,0,0.0392591,"121"
"CLCN6",36936,1,25,"protein_coding",124,840,1,0,1,"83"
"NPPA-AS1",7301,1,4,"antisense_RNA",295,1666,1,0,0.0340471,"51"
"NPPA",2073,1,3,"protein_coding",306,609.5,1,0,0.930601,"44"
"NPPB",1481,1,3,"protein_coding",244,387,1,0,0.688513,"14"
"KIAA2013",6837,1,3,"protein_coding",854,2009.5,1,0,1,"6.5"
"PLOD1",40819,1,20,"protein_coding",124,1705,1,0,1,"134"
"TNFRSF8",80900,2,17,"protein_coding",117,3707.5,1,0,1,"147"
"VPS13D",282024,1,70,"protein_coding",149.5,2322,4,0,1,"26"
"LINC02766",11660,2,7,"lncRNA",356,850,1,0,0.494109,"16"
"DHRS3",52068,6,12,"protein_coding",187,4303,1,0,0.9996065,"92"
"AADACL4",22995,2,5,"protein_coding",423.5,6408,1,0,0.9999175,"164"
"AADACL3",12615,1,4,"protein_coding",235,4389,1,0,0.804209,"8.5"
"CFAP107",17698,1,5,"protein_coding",342,2380.5,1,0,0.721601,"70"
"PRAMEF12",4168,1,3,"protein_coding",896,640,1,0,1,"74.5"
"PRAMEF1",5231,2,5,"protein_coding",445.5,706,1,0,0.9955155,"27.5"
"LINC01784",537,1,2,"lncRNA",221,96,1,0,0.0294393,"31"
"PRAMEF11",7031,2,6,"protein_coding",445.5,1746,1,0,1,"29"
"HNRNPCL1",1343,1,2,"protein_coding",567,210,1,0,0.999999,"5"
"PRAMEF2",4817,2,5,"protein_coding",445.5,949,1,0,0.999643,"59"
"PRAMEF4",6992,1,4,"protein_coding",445.5,1748,1,0,1,"50"
"PRAMEF10",5374,1,4,"protein_coding",445.5,1111,1,0,1,"35"
"PRAMEF7",4141,1,4,"protein_coding",444,914,1,0,1,"50"
"PRAMEF6",6942,1,4,"protein_coding",445.5,1747,1,0,1,"50"
"PRAMEF18",3459,1,3,"protein_coding",579,667.5,1,0,1,"89.5"
"PRAMEF9",7616,1,4,"protein_coding",633,1748,1,0,1,"29"
"PRAMEF36P",5207,1,4,"transcribed_pseudogene",444,951,1,0,0.999987,"32"
"HNRNPCL2",1366,1,2,"protein_coding",578,211,1,0,0.999999,"5"
"PRAMEF34P",5207,1,4,"transcribed_pseudogene",444,951,1,0,0.999987,"32"
"LOC128966578",4680,1,4,"protein_coding",375.5,979,4,0,1,"21"
"PRAMEF5",9237,1,4,"protein_coding",445.5,1746,1,0,1,"50"
"PRAMEF8",3833,2,5,"protein_coding",444,914,1,0,1,"50"
"PRAMEF33",5368,1,4,"protein_coding",445.5,1112,1,0,1,"35"
"PRAMEF15",7017,1,4,"protein_coding",445.5,1749,1,0,1,"29"
"PRAMEF14",5242,1,4,"protein_coding",445.5,951,1,0,1,"47"
"PRAMEF19",3516,1,3,"protein_coding",579,697,1,0,1,"89.5"
"PRAMEF17",2997,1,3,"protein_coding",579,710,1,0,1,"60"
"PRAMEF20",10879,2,5,"protein_coding",435,1996,1,0,1,"69"
"LRRC38",39035,2,3,"protein_coding",1084,36868,1,0,0.9996315,"112"
"LOC102724856",5301,2,5,"lncRNA",186,866,1,0,0.09715035,"5"
"LOC107984918",3834,1,3,"lncRNA",254,1287,1,0,0.0788898,"18.5"
"PDPN",34184,5,13,"protein_coding",132,3080,1,0,0.76821,"54"
"LOC105378612",4528,1,3,"lncRNA",458,1703,1,0,0.270604,"51"
"LOC105376756",4790,1,3,"lncRNA",115,2174,1,0,0.0406532,"12.5"
"PRDM2",124919,10,18,"protein_coding",127,9130,1,0,1,"48"
"KAZN",1227288,18,37,"protein_coding",171,7436.5,1,0,1,"115"
"LOC107985467",52007,2,6,"lncRNA",659,2324.5,1,0,0.220536,"11.5"
"LOC124905691",32911,1,3,"lncRNA",186,16222,1,0,0.0760763,"26.5"
"LOC124903847",21457,1,3,"lncRNA",10278,133.5,1,0,0.275821,"30.5"
"KAZN-AS1",71001,1,5,"lncRNA",157,14699.5,1,0,0.086714,"38.5"
"LOC105376759",3799,1,3,"lncRNA",113,1739,1,0,0.0158846,"99.5"
"LOC124903848",9941,1,3,"lncRNA",118,1221.5,1,0,0.10676,"64.5"
"LOC107985469",22954,1,3,"lncRNA",123,11257.5,1,0,0.0254936,"83.5"
"LOC124903849",1520,1,3,"lncRNA",82,622.5,1,0,1.31966e-05,"46.5"
"TMEM51-AS1",40656,1,6,"lncRNA",376,2067,4,0,0.59463,"92"
"TMEM51",67950,4,9,"protein_coding",349,4329,1,0,0.999923,"49"
"TMEM51-AS2",7434,2,4,"lncRNA",135,1350,1,0,0.2205165,"35.5"
"FHAD1",173392,19,66,"protein_coding",130,3495,1,0,1,"39.5"
"FHAD1-AS1",17200,1,3,"lncRNA",1554.5,14092,1,0,0.193376,"22"
"LOC124903851",6402,1,3,"lncRNA",547,879,1,0,0.40002,"38.5"
"EFHD2",20448,2,5,"protein_coding",270,1308,1,0,0.9926315,"104"
"CTRC",10807,1,8,"protein_coding",131.5,846,1,0,0.999514,"177.5"
"CELA2A",15342,1,8,"protein_coding",115.5,1241,1,0,0.999106,"140"
"LOC105376767",3876,1,3,"lncRNA",252,1300,1,0,0.0203818,"97"
"CELA2B",15291,1,8,"protein_coding",115,1238,1,0,0.999963,"139"
"CASP9",33509,6,16,"protein_coding",148,1251,4,0,0.999775,"64"
"DNAJC16",44883,1,16,"protein_coding",171,1866,4,0,1,"22"
"AGMAT",13368,1,7,"protein_coding",196,1169.5,1,0,0.999998,"37.5"
"DDI2",51604,1,10,"protein_coding",129.5,4723,1,0,1,"26"
"PLEKHM2",53919,5,25,"protein_coding",113.5,603,1,0,1,"141"
"SLC25A34",6367,3,8,"protein_coding",153,421.5,1,0,0.999697,"242.5"
"SLC25A34-AS1",9841,1,2,"lncRNA",316.5,9209,1,0,0.0177284,"15"
"TMEM82",5486,1,6,"protein_coding",183,491,1,0,0.999996,"229"
"FBLIM1",29955,15,28,"protein_coding",187.5,1778,1,0,1,"217"
"SPEN-AS1",13930,1,2,"lncRNA",1367.5,11196,1,0,0.406912,"2"
"SPEN",92763,1,15,"protein_coding",195,1486,1,0,1,"47.5"
"ZBTB17",34259,2,20,"protein_coding",131,258.5,1,0,1,"150"
"LOC124903855",16033,1,3,"lncRNA",1870,1211,1,0,0.194682,"193"
"SRARP",4566,1,2,"protein_coding",1517,1533,1,0,0.614426,"197"
"HSPB7",5565,2,11,"protein_coding",279,1281,4,0,0.991989,"402"
"CLCNKA",12013,1,21,"protein_coding",104.5,385,1,0,1,"202"
"CLCNKB",13622,2,23,"protein_coding",102,377,1,0,1,"241"
"FAM131C",15881,1,7,"protein_coding",116,882.5,1,0,0.999979,"159"
"EPHA2",31720,5,21,"protein_coding",156,549,1,0,1,"152"
"EPHA2-AS1",30201,1,5,"lncRNA",1310,2327,1,0,0.206176,"49"
"ARHGEF19",14780,2,18,"protein_coding",152,307,1,0,1,"131.5"
"ANO7L1",11186,5,25,"transcribed_pseudogene",258,393,1,0,0.275361,"49"
"CPLANE2",5490,1,6,"protein_coding",153,420,1,0,0.999881,"90.5"
"FBXO42",105823,2,16,"protein_coding",126,1978,1,0,0.999999,"46"
"SZRD1",30901,1,6,"protein_coding",71,3026.5,1,0,0.0596756,"25"
"SPATA21",42311,8,29,"protein_coding",173,1198,1,0,1,"65"
"NECAP2",19359,3,12,"protein_coding",107,2778,1,0,0.997168,"134"
"LINC01772",7535,2,3,"lncRNA",905,4639.5,1,0,0.0360194,"26"
"CROCCP3",25236,1,15,"transcribed_pseudogene",166,663,1,0,0.999423,"103.5"
"LINC01783",1761,1,2,"lncRNA",773,216,1,0,0.0134691,NA
"LOC124905696",5770,1,3,"lncRNA",229,2066.5,1,0,0.324156,"78"
"LOC124900386",12854,5,11,"protein_coding",118,1670,1,0,0.271733,"109"
"LOC124905694",2519,1,3,"lncRNA",198,974.5,1,0,0.0327939,"23.5"
"LOC124900584",14453,1,14,"transcribed_pseudogene",158.5,741,7,0,0.999973,"178"
"LOC124905569",8008,1,3,"lncRNA",84,3886.5,1,0,0.0149933,"169"
"MST1P2",4846,1,14,"transcribed_pseudogene",128,124,4,0,0.824738,"65.5"
"LOC124905695",13904,1,3,"lncRNA",131,5107.5,1,0,0.0339927,"319.5"
"LOC124905697",15116,1,3,"lncRNA",338,6996,1,0,0.0435753,"203"
"LOC124905698",15986,1,2,"lncRNA",2926.5,10134,1,0,0.0585019,"623"
"ESPNP",28967,1,11,"transcribed_pseudogene",187,1737,1,0,1,"256"
"LOC440570",3142,1,2,"lncRNA",1280.5,580,1,0,0.305557,NA
"LOC102724562",2996,1,11,"transcribed_pseudogene",140,110,1,0,0.999425,"21"
"LOC124905701",14608,1,3,"lncRNA",110,6999,1,0,0.0281556,"203"
"LOC124905700",17972,1,3,"lncRNA",1384,5116,1,0,0.0329439,"319.5"
"MST1L",3978,1,14,"transcribed_pseudogene",131,112,1,0,0.989687,"54"
"LOC124905560",11826,2,5,"lncRNA",86.5,1921,1,0,0.07050335,"220.5"
"CROCCP2",12650,1,7,"transcribed_pseudogene",165,1178,1,0,0.882204,"382.5"
"LOC112267871",1869,1,3,"lncRNA",645.5,579,1,0,0.00964976,NA
"LOC105376805",1129,2,4,"lncRNA",245,600,1,0,0.02689045,"8"
"CROCC",59283,9,48,"protein_coding",166,692.5,1,0,1,"202"
"MFAP2",7079,3,12,"protein_coding",78,272.5,1,0,0.988581,"94"
"LOC105376806",1934,1,2,"lncRNA",414.5,1106,1,0,0.494711,"728"
"SDHB",35318,2,10,"protein_coding",120,3673,1,0,0.998439,"16"
"PADI2",52707,3,18,"protein_coding",122,1825,1,0,1,"161"
