"Gene_Id","Gene_length","Num_of_Transcripts","Num_of_Exons","Gene_type"
"LOC105378586",7777,1,3,"lncRNA"
"MIB2",16874,5,31,"protein_coding"
"MMP23B",2478,1,10,"protein_coding"
"CDK11B",23957,12,36,"protein_coding"
"SLC35E2B",31291,1,10,"protein_coding"
"LOC100288379",1152,NA,NA,"pseudogene"
"MMP23A",1869,1,6,"transcribed_pseudogene"
"CDK11A",21914,1,24,"protein_coding"
"SLC35E2A",18686,2,8,"transcribed_pseudogene"
"LOC100129381",1467,NA,NA,"pseudogene"
"LOC112268218",5973,1,2,"lncRNA"
"NADK",29251,7,24,"protein_coding"
"GNB1",105811,13,32,"protein_coding"
"GNB1-DT",1549,1,3,"lncRNA"
"CALML6",3543,2,7,"protein_coding"
"TMEM52",1716,3,8,"protein_coding"
"CFAP74",82708,1,39,"protein_coding"
"LOC107984872",1662,1,3,"lncRNA"
"LOC105378589",4877,1,3,"lncRNA"
"GABRD",11413,3,11,"protein_coding"
"LOC105378590",11683,1,7,"lncRNA"
"PRKCZ",136347,22,39,"protein_coding"
"PRKCZ-DT",869,1,3,"lncRNA"
"PRKCZ-AS1",2087,1,2,"lncRNA"
"FAAP20",28677,12,32,"protein_coding"
"LOC112268219",2660,1,1,"lncRNA"
"SKI",82411,1,7,"protein_coding"
"LOC124905687",20838,5,18,"protein_coding"
"LOC124903824",4274,4,11,"lncRNA"
"MORN1",73638,3,17,"protein_coding"
"LOC100129534",2248,1,1,"transcribed_pseudogene"
"RER1",13916,1,7,"protein_coding"
"PEX10",9853,4,12,"protein_coding"
"PLCH2",91123,7,31,"protein_coding"
"PANK4",18614,4,23,"protein_coding"
"HES5",1518,1,4,"protein_coding"
"TNFRSF14-AS1",7091,1,7,"lncRNA"
"TNFRSF14",8466,11,21,"protein_coding"
"LOC100996583",18000,1,4,"lncRNA"
"PRXL2B",4945,2,12,"protein_coding"
"MMEL1",42378,1,24,"protein_coding"
"MMEL1-AS1",7457,1,3,"lncRNA"
"TTC34",223233,1,9,"protein_coding"
"LOC128966585",1065,2,7,"lncRNA"
"LOC107985732",1065,1,3,"lncRNA"
"LOC124905688",3847,1,11,"lncRNA"
"LOC124905689",841,3,9,"lncRNA"
"LOC105378598",13629,5,27,"lncRNA"
"LOC107984904",1065,1,3,"lncRNA"
"LOC124903826",2421,1,3,"lncRNA"
"ACTRT2",1436,1,1,"protein_coding"
"LOC124903827",15950,3,23,"protein_coding"
"PRDM16-DT",8108,2,2,"lncRNA"
"PRDM16",372179,1,18,"protein_coding"
"LOC100420339",1039,NA,NA,"pseudogene"
"MIR4251",60,2,2,"miRNA"
"LOC105378606",5842,1,3,"lncRNA"
"LOC107984909",7982,1,2,"lncRNA"
"LOC105378605",3250,2,4,"lncRNA"
"LOC124903828",30344,1,2,"protein_coding"
"LOC105378604",16904,3,9,"lncRNA"
"ARHGEF16",28808,6,21,"protein_coding"
"MEGF6",139542,7,45,"protein_coding"
"LOC105378608",2089,1,3,"lncRNA"
"MIR551A",95,2,2,"miRNA"
"TPRG1L",5090,1,5,"protein_coding"
"WRAP73",19136,2,15,"protein_coding"
"TP73",85413,5,18,"protein_coding"
"TP73-AS3",10573,2,4,"lncRNA"
"TP73-AS1",11389,2,12,"lncRNA"
"CCDC27",19190,1,12,"protein_coding"
"SMIM1",3204,1,5,"protein_coding"
"LRRC47",17943,1,7,"protein_coding"
"RN7SL574P",296,NA,NA,"pseudogene"
"CEP104",45127,2,26,"protein_coding"
"DFFB",28259,2,16,"protein_coding"
"C1orf174",11139,3,8,"protein_coding"
"LINC01134",15047,1,4,"lncRNA"
"LINC01346",11971,1,3,"lncRNA"
"LINC01345",1831,1,3,"lncRNA"
"EEF1DP6",436,NA,NA,"pseudogene"
"LINC01777",12600,1,6,"lncRNA"
"LOC105376674",11485,2,4,"lncRNA"
"LOC124904578",4559,1,3,"lncRNA"
"LINC01646",12219,1,5,"lncRNA"
"AJAP1",138126,2,8,"protein_coding"
"LINC02781",10567,2,7,"lncRNA"
"LOC124904589",6094,1,3,"lncRNA"
"LOC102724429",6980,3,8,"lncRNA"
"LINC02782",12095,1,6,"lncRNA"
"LOC105376682",3455,1,3,"lncRNA"
"LOC107984911",10990,1,5,"lncRNA"
"LOC105376686",3788,1,7,"lncRNA"
"LOC124900451",74,1,1,"snoRNA"
"LOC124903830",9647,2,4,"lncRNA"
"MIR4689",69,2,2,"miRNA"
"NPHP4",131567,16,55,"protein_coding"
"KCNAB2",108364,5,24,"protein_coding"
"CHD5",78494,1,42,"protein_coding"
"RPL22",14575,1,4,"protein_coding"
"RNF207-AS1",940,1,3,"lncRNA"
"RNF207",15180,6,24,"protein_coding"
"ICMT",14771,3,8,"protein_coding"
"ICMT-DT",3204,1,5,"lncRNA"
"HES3",1399,1,4,"protein_coding"
"GPR153",13745,2,8,"protein_coding"
"ACOT7",129493,5,13,"protein_coding"
"HES2",4687,1,4,"protein_coding"
"ESPN",36595,10,29,"protein_coding"
"MIR4252",62,2,2,"miRNA"
"TNFRSF25",5387,2,13,"protein_coding"
"PLEKHG5",52972,7,30,"protein_coding"
"NOL9",33180,5,17,"protein_coding"
"RNU6-731P",110,NA,NA,"pseudogene"
"TAS1R1",24454,2,8,"protein_coding"
"LOC107984912",11879,1,4,"lncRNA"
"ZBTB48",9286,5,18,"protein_coding"
"KLHL21",12145,1,5,"protein_coding"
"LOC107984913",9923,1,2,"lncRNA"
"PHF13",10299,2,5,"protein_coding"
"THAP3",10727,4,12,"protein_coding"
"DNAJC11",67648,2,16,"protein_coding"
"LINC01672",5271,2,3,"lncRNA"
"LOC124904847",98,1,1,"snoRNA"
"CAMTA1-DT",1088,1,3,"lncRNA"
"CAMTA1",987458,21,51,"protein_coding"
"LOC124903832",26924,1,2,"lncRNA"
"RPL37P9",355,NA,NA,"pseudogene"
"CAMTA1-AS3",5910,1,2,"lncRNA"
"RNU1-8P",164,NA,NA,"pseudogene"
"CAMTA1-AS2",7269,2,5,"lncRNA"
"CAMTA1-AS1",983,2,6,"lncRNA"
"LOC105376691",5588,1,3,"lncRNA"
"LOC105376689",18954,6,17,"lncRNA"
"VAMP3",10136,1,5,"protein_coding"
"PER3",60887,11,43,"protein_coding"
"UTS2",65785,3,9,"protein_coding"
"TNFRSF9",24959,3,10,"protein_coding"
"TRUND-NNN4-1",69,NA,NA,"pseudogene"
"PARK7",23769,2,9,"protein_coding"
"ERRFI1",14578,4,8,"protein_coding"
"ERRFI1-DT",96145,1,2,"lncRNA"
"RPL7AP18",1302,NA,NA,"pseudogene"
"LOC107984915",18494,2,5,"lncRNA"
"LOC100129776",2947,NA,NA,"pseudogene"
"RNU1-7P",163,NA,NA,"pseudogene"
"LINC01714",6538,1,4,"lncRNA"
"LOC105376695",9052,1,3,"lncRNA"
"SLC45A1",26862,2,11,"protein_coding"
"RERE",465852,2,25,"protein_coding"
"RERE-AS1",10373,1,4,"lncRNA"
"SNORD128",113,1,1,"snoRNA"
"LOC124900452",124,1,1,"snoRNA"
"RPL7P11",681,NA,NA,"pseudogene"
"RPL7P7",822,NA,NA,"pseudogene"
"RPL27P3",1119,NA,NA,"pseudogene"
"RPL23AP19",319,NA,NA,"pseudogene"
"ENO1",17691,1,14,"protein_coding"
"MIR6728",88,3,3,"miRNA"
"ENO1-AS1",1050,1,2,"lncRNA"
"RNU6-304P",106,NA,NA,"pseudogene"
"HMGN2P17",1192,NA,NA,"pseudogene"
"LOC112268261",21876,3,6,"lncRNA"
"CA6",29206,4,11,"protein_coding"
"RN7SL451P",298,NA,NA,"pseudogene"
"SLC2A7",33823,3,14,"protein_coding"
"SLC2A5",58696,9,25,"protein_coding"
"LOC124900441",183,1,1,"ncRNA"
"GPR157",28989,1,7,"protein_coding"
"MIR34AHG",34650,1,2,"lncRNA"
"MIR34A",109,3,3,"miRNA"
"LNCTAM34A",9887,1,3,"lncRNA"
"H6PD",36536,4,10,"protein_coding"
"LOC124903836",682,1,2,"lncRNA"
"SPSB1",31423,1,5,"protein_coding"
"LINC02606",3912,2,3,"lncRNA"
"RNA5SP40",109,NA,NA,"pseudogene"
"SLC25A33",45711,1,7,"protein_coding"
"RPL9P11",676,NA,NA,"pseudogene"
"TMEM201",25918,6,19,"protein_coding"
"LOC124903837",7657,1,2,"protein_coding"
"PIK3CD",101857,13,41,"protein_coding"
"LOC105376712",980,1,2,"lncRNA"
"PIK3CD-AS1",1976,1,2,"lncRNA"
"RPL26P7",340,NA,NA,"pseudogene"
"PIK3CD-AS2",15148,2,4,"lncRNA"
"CLSTN1",95735,3,21,"protein_coding"
"MZT1P1",618,NA,NA,"pseudogene"
"CTNNBIP1",62006,4,13,"protein_coding"
"LOC105376717",4719,1,2,"lncRNA"
"LOC124903838",3750,1,2,"lncRNA"
"LZIC",21264,3,12,"protein_coding"
"NMNAT1",54011,9,11,"protein_coding"
"RN7SKP269",244,NA,NA,"pseudogene"
"TMEM274P",10213,1,5,"transcribed_pseudogene"
"MIR5697",77,2,2,"miRNA"
"LOC124903840",1370,1,2,"protein_coding"
"RBP7",18799,1,5,"protein_coding"
"UBE4B",148276,6,35,"protein_coding"
"RPL21P21",369,NA,NA,"pseudogene"
"PGAM1P11",981,NA,NA,"pseudogene"
"RNU6-828P",106,NA,NA,"pseudogene"
"KIF1B",171025,5,54,"protein_coding"
"RNU6-37P",105,NA,NA,"pseudogene"
"RN7SL731P",292,NA,NA,"pseudogene"
"PGD",21452,1,14,"protein_coding"
"CENPS-CORT",21721,2,7,"protein_coding"
"CENPS",12373,2,1,"protein_coding"
"CORT",1966,1,2,"protein_coding"
"DFFA",15998,2,7,"protein_coding"
"PEX14",155801,6,16,"protein_coding"
"RN7SL614P",279,NA,NA,"pseudogene"
"CASZ1",160162,4,26,"protein_coding"
"LOC105376733",6640,1,4,"lncRNA"
"HSPE1P24",237,NA,NA,"pseudogene"
"LOC105376735",5821,1,3,"lncRNA"
"C1orf127",37507,6,22,"protein_coding"
"CFL1P6",2019,NA,NA,"pseudogene"
"TARDBP",17891,2,15,"protein_coding"
"MASP2",20999,5,15,"protein_coding"
"SRM",5429,1,8,"protein_coding"
"EXOSC10",33257,3,28,"protein_coding"
"EXOSC10-AS1",2430,2,4,"lncRNA"
"MTOR",156036,6,65,"protein_coding"
"MTOR-AS1",5640,1,4,"lncRNA"
"RNU6-537P",63,NA,NA,"pseudogene"
"LOC124904848",106,1,1,"snoRNA"
"ANGPTL7",6626,3,7,"protein_coding"
"RNU6-291P",106,NA,NA,"pseudogene"
"RPL39P6",403,NA,NA,"pseudogene"
"UBIAD1",26394,3,5,"protein_coding"
"UBE2V2P3",861,NA,NA,"pseudogene"
"LOC105376737",4427,1,3,"lncRNA"
"LOC105376739",7106,1,4,"lncRNA"
"LOC105376740",7093,2,5,"lncRNA"
"DISP3",59782,10,31,"protein_coding"
"LINC01647",3823,1,3,"lncRNA"
"FBXO2",6058,1,6,"protein_coding"
"FBXO44",8923,5,18,"protein_coding"
"FBXO6",10167,5,10,"protein_coding"
"MAD2L2",17369,3,11,"protein_coding"
"DRAXIN",39241,2,10,"protein_coding"
"AGTRAP",14632,1,8,"protein_coding"
"LOC101060126",942,NA,NA,"pseudogene"
"C1orf167",27388,6,33,"protein_coding"
"C1orf167-AS1",2540,1,3,"lncRNA"
"MTHFR",20246,5,18,"protein_coding"
"CLCN6",36936,1,25,"protein_coding"
"NPPA-AS1",7301,1,4,"antisense_RNA"
"NPPA",2073,1,3,"protein_coding"
"NPPB",1481,1,3,"protein_coding"
"SBF1P2",2989,NA,NA,"pseudogene"
"RNU5E-1",118,1,1,"snRNA"
"RNU5E-4P",119,NA,NA,"pseudogene"
"KIAA2013",6837,1,3,"protein_coding"
"PLOD1",40819,1,20,"protein_coding"
"MFN2",33081,2,23,"protein_coding"
"MIIP",12567,3,13,"protein_coding"
"MIR6729",64,3,3,"miRNA"
"RN7SL649P",274,NA,NA,"pseudogene"
"TNFRSF8",80900,2,17,"protein_coding"
"RNU6-777P",103,NA,NA,"pseudogene"
"RPL23AP89",296,NA,NA,"pseudogene"
"MIR7846",95,2,2,"miRNA"
"TNFRSF1B",42238,2,13,"protein_coding"
"MIR4632",60,3,3,"miRNA"
"RPL10P17",382,NA,NA,"pseudogene"
"LOC124900427",123,NA,NA,"pseudogene"
"VPS13D",282024,1,70,"protein_coding"
"LOC124904680",83,NA,NA,"pseudogene"
"SNORA59A",151,1,1,"snoRNA"
"LINC02766",11660,2,7,"lncRNA"
"DHRS3",52068,6,12,"protein_coding"
"RNU6ATAC18P",100,NA,NA,"pseudogene"
"MIR6730",66,3,3,"miRNA"
"AADACL4",22995,2,5,"protein_coding"
"AADACL3",12615,1,4,"protein_coding"
"LOC124904811",103,1,1,"snoRNA"
"CFAP107",17698,1,5,"protein_coding"
"PRAMEF12",4168,1,3,"protein_coding"
"PRAMEF1",5231,2,5,"protein_coding"
"LINC01784",537,1,2,"lncRNA"
"PRAMEF11",7031,2,6,"protein_coding"
"PRAMEF30P",2913,NA,NA,"pseudogene"
"HNRNPCL1",1343,1,2,"protein_coding"
"PRAMEF2",4817,2,5,"protein_coding"
"PRAMEF4",6992,1,4,"protein_coding"
"PRAMEF10",5374,1,4,"protein_coding"
"PRAMEF7",4141,1,4,"protein_coding"
"RNU6-1072P",105,NA,NA,"pseudogene"
"PRAMEF29P",2720,NA,NA,"pseudogene"
"PRAMEF6",6942,1,4,"protein_coding"
"PRAMEF31P",2977,NA,NA,"pseudogene"
"PRAMEF18",3459,1,3,"protein_coding"
"PRAMEF13",5221,2,6,"protein_coding"
"PRAMEF9",7616,1,4,"protein_coding"
"HNRNPCL4",1717,1,1,"protein_coding"
"PRAMEF25",7114,1,4,"protein_coding"
"PRAMEF36P",5207,1,4,"transcribed_pseudogene"
"HNRNPCL2",1366,1,2,"protein_coding"
"PRAMEF35P",1314,NA,NA,"pseudogene"
"PRAMEF34P",5207,1,4,"transcribed_pseudogene"
"LOC128966578",4680,1,4,"protein_coding"
"LOC100132865",2977,NA,NA,"pseudogene"
"PRAMEF5",9237,1,4,"protein_coding"
"PRAMEF32P",2720,NA,NA,"pseudogene"
"RNU6-771P",105,NA,NA,"pseudogene"
"PRAMEF8",3833,2,5,"protein_coding"
"PRAMEF33",5368,1,4,"protein_coding"
"PRAMEF15",7017,1,4,"protein_coding"
"PRAMEF14",5242,1,4,"protein_coding"
"PRAMEF19",3516,1,3,"protein_coding"
"PRAMEF17",2997,1,3,"protein_coding"
"PRAMEF20",10879,2,5,"protein_coding"
"LRRC38",39035,2,3,"protein_coding"
"LOC102724856",5301,2,5,"lncRNA"
"LOC107984918",3834,1,3,"lncRNA"
"BRWD1P1",981,NA,NA,"pseudogene"
"PDPN",34184,5,13,"protein_coding"
"RNA5SP41",100,NA,NA,"pseudogene"
"LOC105378612",4528,1,3,"lncRNA"
"LOC105376756",4790,1,3,"lncRNA"
"LOC124900446",129,1,1,"ncRNA"
"PRDM2",124919,10,18,"protein_coding"
"KAZN",1227288,18,37,"protein_coding"
"RNU6-1265P",102,NA,NA,"pseudogene"
"LOC107985467",52007,2,6,"lncRNA"
"LOC124905691",32911,1,3,"lncRNA"
"LOC124903847",21457,1,3,"lncRNA"
"KAZN-AS1",71001,1,5,"lncRNA"
"TBCAP2",463,NA,NA,"pseudogene"
"LOC105376759",3799,1,3,"lncRNA"
"LOC124903848",9941,1,3,"lncRNA"
"LOC107985469",22954,1,3,"lncRNA"
"LOC124903849",1520,1,3,"lncRNA"
"TMEM51-AS1",40656,1,6,"lncRNA"
"TMEM51",67950,4,9,"protein_coding"
"TMEM51-AS2",7434,2,4,"lncRNA"
"MFFP1",1032,NA,NA,"pseudogene"
"ZBTB2P1",879,NA,NA,"pseudogene"
"FHAD1",173392,19,66,"protein_coding"
"FHAD1-AS1",17200,1,3,"lncRNA"
"LOC124903851",6402,1,3,"lncRNA"
"EFHD2-AS1",9385,3,8,"lncRNA"
"EFHD2",20448,2,5,"protein_coding"
"CTRC",10807,1,8,"protein_coding"
"CELA2A",15342,1,8,"protein_coding"
"LOC105376767",3876,1,3,"lncRNA"
"CELA2B",15291,1,8,"protein_coding"
"CASP9",33509,6,16,"protein_coding"
"DNAJC16",44883,1,16,"protein_coding"
"SCARNA21B",138,1,1,"ncRNA"
"AGMAT",13368,1,7,"protein_coding"
"CHCHD2P6",786,NA,NA,"pseudogene"
"LOC124904764",43,NA,NA,"pseudogene"
"RNU7-179P",67,NA,NA,"pseudogene"
"CD24P1",4964,NA,NA,"pseudogene"
"DDI2",51604,1,10,"protein_coding"
"RSC1A1",2320,1,1,"protein_coding"
"PLEKHM2",53919,5,25,"protein_coding"
"SLC25A34",6367,3,8,"protein_coding"
"SLC25A34-AS1",9841,1,2,"lncRNA"
"TMEM82",5486,1,6,"protein_coding"
"FBLIM1",29955,15,28,"protein_coding"
"RPL12P14",594,NA,NA,"pseudogene"
"UQCRHL",275,1,1,"protein_coding"
"SPEN-AS1",13930,1,2,"lncRNA"
"SPEN",92763,1,15,"protein_coding"
"LOC124904815",100,1,1,"snoRNA"
"ZBTB17",34259,2,20,"protein_coding"
"LOC124903855",16033,1,3,"lncRNA"
"LOC124905656",8898,NA,NA,"pseudogene"
"SRARP",4566,1,2,"protein_coding"
"HSPB7",5565,2,11,"protein_coding"
"CLCNKA",12013,1,21,"protein_coding"
"FAM131C2P",5507,NA,NA,"pseudogene"
"CLCNKB",13622,2,23,"protein_coding"
"FAM131C",15881,1,7,"protein_coding"
"EPHA2",31720,5,21,"protein_coding"
"EPHA2-AS1",30201,1,5,"lncRNA"
"ARHGEF19",14780,2,18,"protein_coding"
"ANO7L1",11186,5,25,"transcribed_pseudogene"
"CPLANE2",5490,1,6,"protein_coding"
"MT1XP1",360,NA,NA,"pseudogene"
"FBXO42",105823,2,16,"protein_coding"
"SZRD1",30901,1,6,"protein_coding"
"RPL22P3",458,NA,NA,"pseudogene"
"SPATA21",42311,8,29,"protein_coding"
"NECAP2",19359,3,12,"protein_coding"
"LINC01772",7535,2,3,"lncRNA"
"CROCCP3",25236,1,15,"transcribed_pseudogene"
"RNU1-1",163,1,1,"snRNA"
"TRN-GTT5-1",73,1,1,"tRNA"
"LINC01783",1761,1,2,"lncRNA"
"RNU1-6P",143,NA,NA,"pseudogene"
"TRE-TTC4-1",71,1,1,"tRNA"
"LOC124903856",677,1,1,"protein_coding"
"TRG-CCC1-1",70,1,1,"tRNA"
"LOC124905696",5770,1,3,"lncRNA"
"PDE4DIPP8",2566,NA,NA,"pseudogene"
"LOC101056699",71,NA,NA,"pseudogene"
"NBPF1",71512,2,54,"protein_coding"
"LOC124900386",12854,5,11,"protein_coding"
"LOC128966612",6981,NA,NA,"pseudogene"
"LOC128966643",5652,1,2,"lncRNA"
"LOC124905693",509,1,1,"protein_coding"
"TRNAG-CCC",70,1,1,"tRNA"
"TRV-CAC11-1",72,NA,NA,"pseudogene"
"LOC124905694",2519,1,3,"lncRNA"
"LOC124905564",84123,1,47,"protein_coding"
"LOC124900584",14453,1,14,"transcribed_pseudogene"
"LOC124905569",8008,1,3,"lncRNA"
"MST1P2",4846,1,14,"transcribed_pseudogene"
"LOC124905695",13904,1,3,"lncRNA"
"LOC124905573",163,1,1,"snRNA"
"TRNAN-GUU",73,1,1,"tRNA"
"LOC124905576",143,NA,NA,"pseudogene"
"TRNAE-UUC",71,1,1,"tRNA"
"LOC124905556",1343,1,1,"protein_coding"
"LOC124905697",15116,1,3,"lncRNA"
"LOC128966628",13319,1,18,"transcribed_pseudogene"
"LOC124905698",15986,1,2,"lncRNA"
"RNU1-3",163,1,1,"snRNA"
"LOC124903857",578,1,1,"protein_coding"
"TRG-CCC4-1",70,1,1,"tRNA"
"EIF1AXP1",3153,NA,NA,"pseudogene"
"ESPNP",28967,1,11,"transcribed_pseudogene"
"TRV-CAC13-1",72,NA,NA,"pseudogene"
"LOC440570",3142,1,2,"lncRNA"
"TRNAE-UUC_1",71,1,1,"tRNA"
"LOC124905577",143,NA,NA,"pseudogene"
"TRNAN-GUU_1",73,1,1,"tRNA"
"RNU1-4",163,1,1,"snRNA"
"CROCCP4",729,NA,NA,"pseudogene"
"LOC102724562",2996,1,11,"transcribed_pseudogene"
"LOC124905701",14608,1,3,"lncRNA"
"LOC124905699",578,1,1,"protein_coding"
"TRNAE-UUC_2",71,1,1,"tRNA"
"TRNAH-GUG",73,1,1,"tRNA"
"LOC124905700",17972,1,3,"lncRNA"
"LOC124905809",163,1,1,"snRNA"
"MST1L",3978,1,14,"transcribed_pseudogene"
"LOC124905560",11826,2,5,"lncRNA"
"CROCCP2",12650,1,7,"transcribed_pseudogene"
"LOC128966598",52723,3,35,"protein_coding"
"PDE4DIPP9",2575,NA,NA,"pseudogene"
"MIR3675",72,3,3,"miRNA"
"TRV-CAC11-2",72,NA,NA,"pseudogene"
"TRG-CCC1-2",70,1,1,"tRNA"
"LOC124903860",6267,NA,NA,"pseudogene"
"LOC112267871",1869,1,3,"lncRNA"
"TRE-TTC3-1",71,1,1,"tRNA"
"RNU1-5P",143,NA,NA,"pseudogene"
"LOC107985101",2464,NA,NA,"pseudogene"
"LOC105376805",1129,2,4,"lncRNA"
"TRN-GTT4-1",73,1,1,"tRNA"
"RNU1-2",163,1,1,"snRNA"
"CROCC",59283,9,48,"protein_coding"
"MFAP2",7079,3,12,"protein_coding"
"LOC105376806",1934,1,2,"lncRNA"
"ATP13A2",25968,1,33,"protein_coding"
"SDHB",35318,2,10,"protein_coding"
"PADI2",52707,3,18,"protein_coding"
"LOC124903861",2059,1,3,"lncRNA"
"LOC105376808",3289,1,3,"lncRNA"
"LINC02783",6571,1,4,"lncRNA"
"PADI1",40828,8,23,"protein_coding"
"PADI3",35130,4,19,"protein_coding"
"MIR3972",86,2,2,"miRNA"
"PADI4",55698,6,22,"protein_coding"
"PADI6",29501,1,16,"protein_coding"
"RCC2",32998,2,14,"protein_coding"
"RCC2-AS1",621,1,2,"antisense_RNA"
"LOC124904837",100,1,1,"snoRNA"
"ARHGEF10L",185721,19,51,"protein_coding"
"LINC02810",4790,3,9,"lncRNA"
"ACTL8",71781,2,4,"protein_coding"
"LOC105376809",10007,3,6,"lncRNA"
"LOC105376812",13043,1,3,"lncRNA"
"LINC01654",8757,1,3,"lncRNA"
"IGSF21",270626,3,12,"protein_coding"
"IGSF21-AS1",15983,4,11,"lncRNA"
"KLHDC7A",5044,1,1,"protein_coding"
"DYNLL1P3",387,NA,NA,"pseudogene"
"PAX7",118022,2,11,"protein_coding"
"TAS1R2",20057,1,6,"protein_coding"
"ALDH4A1",31149,2,18,"protein_coding"
"MIR4695",73,3,3,"miRNA"
"MIR1290",77,2,2,"miRNA"
"IFFO2",52482,1,9,"protein_coding"
"LOC105376815",83280,3,6,"lncRNA"
"LOC124905702",2267,NA,NA,"pseudogene"
"UBR4",135716,1,113,"protein_coding"
"EMC1-AS1",30336,2,3,"lncRNA"
"EMC1",35876,1,26,"protein_coding"
"MRTO4",8321,2,9,"protein_coding"
"AKR7L",8144,1,7,"misc_RNA"
"AKR7A3",14543,3,9,"protein_coding"
"LOC124903867",17387,1,3,"lncRNA"
"LOC100506730",2489,1,1,"lncRNA"
"AKR7A2",9439,3,9,"protein_coding"
"RNU6-1099P",104,NA,NA,"pseudogene"
"SLC66A1",22155,3,20,"protein_coding"
"CAPZB",146682,9,19,"protein_coding"
"LOC124905703",3996,1,1,"protein_coding"
"LOC124903868",7716,1,4,"lncRNA"
"RN7SL277P",215,NA,NA,"pseudogene"
"LOC124903869",6636,1,3,"lncRNA"
"LOC105376819",47250,3,9,"lncRNA"
"LOC105376818",2593,1,3,"lncRNA"
"RNU4-28P",140,NA,NA,"pseudogene"
"LOC105376817",17309,1,4,"lncRNA"
"LOC124904816",104,1,1,"snoRNA"
"MICOS10-DT",5030,1,2,"lncRNA"
"MICOS10-NBL1",61407,1,5,"protein_coding"
"MICOS10",32779,1,5,"protein_coding"
"RPS14P3",837,1,1,"transcribed_pseudogene"
"NBL1",15224,7,8,"protein_coding"
"HTR6",16090,1,3,"protein_coding"
"TMCO4",118140,7,25,"protein_coding"
"RNF186",1254,1,1,"protein_coding"
"LOC105376823",28970,2,4,"lncRNA"
"OTUD3",30548,4,12,"protein_coding"
"PLA2G2E",3608,1,4,"protein_coding"
"PLA2G2A",4997,4,12,"protein_coding"
