"TranscriptId","strength5","GeneId"
"NM_015871.5",8.4,"ZNF593"
"NM_004102.5",-2.49,"FABP3"
"NM_001329090.2",-14.17,"EPHA2"
"NM_153213.5",-22.88,"ARHGEF19"
"NM_201628.3",9.45,"KAZN"
"NM_001017999.3",10.07,"KAZN"
"NM_001018001.3",10.65,"KAZN"
"NR_027085.1",8.31,"LINC01226"
"NM_001410744.1",8.41,"UBE4B"
"NR_027136.1",-18.51,"TMEM51-AS1"
"NM_000929.3",7.15,"PLA2G5"
"NM_005704.5",9.88,"PTPRU"
"NM_007167.4",-11.18,"ZMYM6"
"NR_146062.2",9.35,"AGO4"
"NM_001256875.2",10.51,"CDCA8"
"NM_030907.4",-8.95,"CPLANE2"
"NM_001145720.2",9.6,"ZBTB8B"
"NM_001135254.2",10.57,"PAX7"
"NM_002584.3",10.57,"PAX7"
"NM_004455.3",9.07,"EXTL1"
"NM_001079843.3",-20.49,"CASZ1"
"NM_017766.5",-20.49,"CASZ1"
"NM_024758.5",-14.88,"AGMAT"
"NM_003462.5",9.06,"DNALI1"
"NM_001271851.2",-16.94,"RRAGC"
"NM_000831.4",-12.26,"GRIK3"
"NM_001271814.2",-11.51,"PLA2G2D"
"NM_024640.4",-13.7,"YRDC"
"NM_007102.3",10.67,"GUCA2B"
"NM_018715.4",-11.43,"RCC2"
"NM_001136204.3",-23.36,"RCC2"
"NM_001199779.2",-16.87,"PSMB2"
"NM_001199780.2",-24.02,"PSMB2"
"NR_102733.2",-8.75,"CASP9"
"NM_032996.3",-8.75,"CASP9"
"NM_032341.5",10.12,"DDI2"
"NM_001297565.2",10.28,"UQCRH"
"NR_168386.1",10.67,"MIR3659HG"
"NM_207421.4",7.62,"PADI6"
"NM_012387.3",10.77,"PADI4"
"NM_198446.3",4.74,"C1orf122"
"NR_125946.1",4.37,"LINC01654"
"NM_001099439.2",-3.2,"EPHA10"
"NM_173641.3",-3.2,"EPHA10"
"NM_001243878.2",-20.9,"FHL3"
"NM_001304746.2",-23.72,"RHBDL2"
"NM_017821.5",-23.72,"RHBDL2"
"NM_001350227.2",-10.42,"INPP5B"
"NM_001350228.1",-10.42,"INPP5B"
"NR_158631.1",-10.42,"INPP5B"
"NM_001365822.1",-10.41,"INPP5B"
"NM_005540.3",-10.41,"INPP5B"
"NR_158630.1",-10.41,"INPP5B"
"NM_001101376.3",2.37,"CFAP144"
"NM_001375653.1",8.1,"ZMYM4"
"NM_016037.4",9.79,"UTP11"
"NM_030812.3",9.57,"ACTL8"
"NM_012421.4",10.07,"RLF"
"NM_001330490.2",-15.73,"CLSPN"
"NM_001190481.2",-15.73,"CLSPN"
"NM_001323624.2",-13.68,"GNL2"
"NM_024848.3",1.27,"MORN1"
"NM_001301060.2",1.27,"MORN1"
"NM_017904.4",-7.18,"TTC22"
"NM_005424.5",10.24,"TIE1"
"NM_012333.5",-21.3,"MYCBP"
"NR_037632.1",-21.3,"MYCBP"
"NM_001080418.3",-14.62,"DLGAP3"
"NM_014747.3",-28.16,"RIMS3"
"NM_001198962.1",-26.87,"ECHDC2"
"NM_002867.4",-16.86,"RAB3B"
"NM_001164824.2",-22.99,"SMIM12"
"NM_182532.3",8.56,"TMEM61"
"NR_038928.1",-1.36,"LINC01343"
"NM_001304760.2",-6.71,"CZIB"
"NM_176782.3",-28.1,"FAM151A"
"NM_001199080.4",8.68,"PODN"
"NM_001350210.2",7.93,"OSBPL9"
"NM_001164829.2",-23.73,"C1orf210"
"NM_001004339.3",9.6,"ZYG11A"
"NM_024646.3",7.61,"ZYG11B"
"NR_125986.1",-23.99,"ST3GAL3-AS1"
"NM_001164835.2",11.08,"L1TD1"
"NM_015913.4",-21.8,"TXNDC12"
"NR_126385.1",7.14,"TXNDC12-AS1"
"NM_001320830.2",-5.36,"SF3A3"
"NR_027120.1",-30.78,"HSD52"
"NM_004623.5",7.93,"TTC4"
"NM_173484.4",10.67,"KLF17"
"NM_003713.5",-11.38,"PLPP3"
"NM_024700.4",-10.02,"SNIP1"
"NM_000098.3",9.6,"CPT2"
"NM_001198851.2",-1.85,"FOXJ3"
"NM_001198852.2",-13.22,"FOXJ3"
"NM_015269.2",-9.93,"TUT4"
"NM_002370.4",-11.44,"MAGOH"
"NR_110671.1",10.49,"DEPDC1-AS1"
"NR_146608.1",9.45,"LINC01707"
"NM_001262.3",5.37,"CDKN2C"
"NR_131923.1",3.85,"LRP8-DT"
"NM_152377.3",-8.66,"C1orf87"
"NM_145243.5",-18.29,"OMA1"
"NM_015139.3",-12.39,"SLC35D1"
"NM_033300.4",-8.77,"LRP8"
"NM_153035.3",6.29,"TCEANC2"
"NM_001256409.2",10.28,"LRRC42"
"NR_110676.1",2.46,"LINC01360"
"NR_149059.1",-8.98,"LINC02567"
"NM_001320269.2",-19.18,"KANK4"
"NM_003368.5",11.08,"USP1"
"NM_001017415.2",5.6,"USP1"
"NM_174858.3",7.81,"AK5"
"NM_012093.4",7.82,"AK5"
"NM_001304725.2",10.28,"GIPC2"
"NM_017655.6",10.28,"GIPC2"
"NM_014495.4",9.72,"ANGPTL3"
"NM_001256864.2",7.38,"DNAJC6"
"NM_001256865.2",10.51,"DNAJC6"
"NM_001330616.2",6.32,"AK4"
"NM_013410.4",9.35,"AK4"
"NM_203464.3",6.64,"AK4"
"NM_001005353.3",6.03,"AK4"
"NM_001198681.2",7.87,"LEPROT"
"NM_020925.4",10.86,"CACHD1"
"NM_001293274.2",11.08,"CACHD1"
"NM_032437.4",2.58,"EFCAB7"
"NM_153259.4",-22.1,"MCOLN2"
"NM_030965.3",10.13,"ST6GALNAC5"
"NM_032852.4",8.99,"ATG4C"
"NR_123718.1",-22.51,"PDE4B-AS1"
"NR_026546.3",-14.94,"ASB17"
"NM_022159.4",-6.75,"ADGRL4"
"NM_005955.3",-25.88,"MTF1"
"NM_001350215.2",-21.11,"TTLL7"
"NM_014663.3",6.95,"KDM4A"
"NR_046218.1",-10.71,"NEGR1-IT1"
"NM_001170670.2",-24.94,"ZNHIT6"
"NM_001039585.2",7.87,"PTGFR"
"NM_001369491.1",1.69,"LMO4"
"NM_032864.4",10.86,"PRPF38A"
"NM_005482.3",-10.62,"PIGK"
"NR_146056.2",10.19,"ST6GALNAC3"
"NR_110682.1",-6.1,"PKN2-AS1"
"NM_033553.3",-27.76,"GUCA2A"
"NM_001272002.2",-18.97,"DOCK7"
"NM_173808.3",-13.65,"NEGR1"
"NM_001441.3",6.6,"FAAH"
"NM_001349447.1",-19.73,"KYAT3"
"NM_001349449.1",-19.73,"KYAT3"
"NR_146185.1",-19.73,"KYAT3"
"NR_146184.2",-6.12,"KYAT3"
"NM_001042693.3",10.05,"SHISAL2A"
"NM_014597.5",-20.02,"DNTTIP2"
"NM_001329138.2",10.49,"PTPRF"
"NM_014762.4",-18.59,"DHCR24"
"NR_146340.2",-9.31,"COL24A1"
"NR_146341.2",-9.31,"COL24A1"
"NR_146344.1",-9.31,"COL24A1"
"NM_057176.3",10.29,"BSND"
"NM_015696.5",11.11,"GPX7"
"NR_146575.2",8.69,"SLC44A3"
"NM_001350223.1",9.88,"SLC44A3"
"NM_152369.5",9.88,"SLC44A3"
"NR_147074.1",8.95,"LINC01362"
"NR_038324.1",-12.52,"LINC01364"
"NM_001122674.2",9.84,"ABCD3"
"NR_131032.2",-21.55,"ALG14"
"NR_164777.1",-13.56,"ZZZ3"
"NR_164775.1",-13.56,"ZZZ3"
"NR_135075.2",-17.26,"YIPF1"
"NM_001276392.2",-14.61,"LDLRAD1"
"NM_032110.3",-8.1,"DMRTA2"
"NM_001127714.3",-22.52,"HIVEP3"
"NR_135161.2",-3.73,"TM2D1"
"NM_002979.5",8.14,"SCP2"
"NM_001330587.2",8.14,"SCP2"
"NM_001007099.3",10.67,"SCP2"
"NM_001261408.2",-6.65,"BCAR3"
"NM_001261409.1",-3.08,"BCAR3"
"NM_001308251.1",-17.71,"BCAR3"
"NM_020063.2",-12.55,"BARHL2"
"NM_019100.5",6.28,"DMAP1"
"NM_001242675.2",6.29,"AHCYL1"
"NM_001242673.2",10.67,"AHCYL1"
"NM_001242674.2",10.67,"AHCYL1"
"NM_001286056.2",-13.22,"CNN3"
"NM_001286055.2",-13.22,"CNN3"
"NM_001079874.2",-12.92,"VAV3"
"NR_110632.1",-21.83,"LINC01361"
"NM_000110.4",-10.6,"DPYD"
"NM_001160301.1",-10.6,"DPYD"
"NM_001199679.2",7.66,"TLCD4"
"NM_152487.3",7.66,"TLCD4"
"NM_001284353.2",7.67,"ELAPOR1"
"NM_001328665.2",-28.6,"ARHGAP29"
"NM_001328667.2",-28.6,"ARHGAP29"
"NM_002633.3",8.05,"PGM1"
"NM_001172818.1",3.34,"PGM1"
"NM_001172819.2",6.12,"PGM1"
"NM_032880.5",10.49,"IGSF21"
"NM_023077.3",-5.64,"COA7"
"NR_168321.1",-9.18,"RNPC3-DT"
"NM_001286352.3",8.41,"OLFML3"
"NM_001308253.2",-19.72,"GCLM"
"NM_001195684.1",-17.65,"TGFBR3"
"NR_036634.2",-29.17,"TGFBR3"
"NR_046653.1",9.45,"VAV3-AS1"
"NM_001365999.1",8.41,"SZT2"
"NM_001323042.2",-16.15,"PHTF1"
"NR_136565.2",-16.15,"PHTF1"
"NM_001323052.2",-5.99,"PHTF1"
"NR_136568.2",-5.99,"PHTF1"
"NM_001178096.2",-37.78,"F3"
"NM_001078.4",8,"VCAM1"
"NR_110693.1",-28.83,"LINC01787"
"NR_103483.2",6.6,"RWDD3"
"NM_006699.5",7.44,"MAN1A2"
"NR_103777.1",-15.64,"LRIG2-DT"
"NM_012152.3",-21.32,"LPAR3"
"NR_149353.1",5.96,"LINC02868"
"NR_046590.1",9.45,"DPYD-AS1"
"NM_018704.3",9.45,"CTTNBP2NL"
"NR_125954.1",-10.96,"LINC01676"
"NM_001270768.2",6.71,"STRIP1"
"NM_013386.5",-19.87,"SLC25A24"
"NM_213651.3",-19.87,"SLC25A24"
"NM_181643.6",10.07,"PIFO"
"NR_046088.1",8.59,"LINC01776"
"NM_001312686.2",7.21,"LRIG2"
"NM_001271685.2",8.92,"SLC35A3"
"NM_000642.3",9.39,"AGL"
"NM_000028.2",8.31,"AGL"
"NM_000646.2",6.29,"AGL"
"NM_001010898.4",10.67,"SLC6A17"
"NR_110786.1",-15.73,"CD101-AS1"
"NM_000198.4",4.22,"HSD3B2"
"NM_001166120.2",8.49,"HSD3B2"
"NM_017619.4",9.68,"RNPC3"
"NM_133496.5",5.42,"SLC30A7"
"NM_004892.6",-16.12,"SEC22B"
"NM_020440.4",8.73,"PTGFRN"
"NM_005872.3",-2.06,"BCAS2"
"NM_181781.4",9.89,"ZNF326"
"NM_182975.4",9.89,"ZNF326"
"NR_046591.1",2.09,"DPYD-AS2"
"NM_001172412.2",9.79,"VANGL1"
"NM_138959.3",10.03,"VANGL1"
"NR_146623.1",9.65,"LINC01780"
"NR_104211.2",9.16,"SYCP1"
"NM_017686.4",-11.14,"GDAP2"
"NM_001135589.3",-11.14,"GDAP2"
"NM_000549.5",10.29,"TSHB"
"NM_006784.3",10.03,"WDR3"
"NR_037937.2",7.31,"SCNM1"
"NM_002016.2",-15.73,"FLG"
"NM_006492.3",-5.45,"ALX3"
"NM_001111061.2",-13.38,"NHLH2"
"NM_005599.3",-13.38,"NHLH2"
"NM_033020.3",-9.36,"TRIM33"
"NR_103778.1",4.67,"FLG-AS1"
"NM_001319211.2",7,"CDC14A"
"NM_033312.3",9.16,"CDC14A"
"NM_033313.3",9.16,"CDC14A"
"NM_001319210.2",9.16,"CDC14A"
"NM_001040033.2",8.59,"CD53"
"NM_000560.4",10.51,"CD53"
"NM_001014342.3",-19.78,"FLG2"
"NM_001329984.2",9.65,"SRGAP2C"
"NR_104189.1",-21.54,"SRGAP2-AS1"
"NM_001323912.2",8.84,"GABPB2"
"NM_001347698.2",-7.48,"CD5L"
"NM_005894.3",-7.48,"CD5L"
"NR_033966.1",8.72,"LINC01761"
"NM_001136543.2",-23.05,"LYSMD1"
"NM_198459.4",-22.63,"DENND2C"
"NM_001328609.2",10.22,"CD2"
"NM_017779.6",-20.17,"DEPDC1"
"NR_036541.2",10.67,"GPR89A"
"NM_001514.6",-7.1,"GTF2B"
"NM_001297562.2",-4.6,"TNFSF4"
"NM_003326.5",-4.6,"TNFSF4"
"NM_000757.6",9.89,"CSF1"
"NM_172212.3",9.89,"CSF1"
"NM_172210.3",9.89,"CSF1"
"NR_126402.1",8.56,"LINC01307"
"NM_052868.6",-28.38,"IGSF8"
"NM_001206665.2",-14.97,"IGSF8"
"NR_026550.3",-16.97,"MPC2"
"NM_001143674.4",-9.63,"MPC2"
"NM_015415.3",-9.63,"MPC2"
"NM_001199691.1",10.24,"TLCD4-RWDD3"
"NR_038423.2",-23.76,"LINC00624"
"NM_001320051.2",8.28,"FIRRM"
"NM_001320050.2",-13.36,"FIRRM"
"NM_002293.4",8.84,"LAMC1"
"NM_001231.5",10.03,"CASQ1"
"NM_004515.4",-20.47,"ILF2"
"NM_152902.5",3.71,"TIPRL"
"NM_001031800.3",3.71,"TIPRL"
"NM_052862.4",8.27,"RCSD1"
"NM_001328635.2",-15.38,"TNR"
"NM_199344.3",10.03,"SFT2D2"
"NM_001363568.2",10.26,"UCK2"
"NR_033922.2",10.57,"LINC01720"
"NM_003175.4",-10.08,"XCL2"
"NM_001365848.1",6.99,"POU2F1"
"NM_001198783.2",5.56,"POU2F1"
"NM_001204517.2",-21.81,"KIFAP3"
"NM_001204516.2",-13.08,"KIFAP3"
"NR_149048.1",-30.43,"LAMC1-AS1"
"NM_152380.3",-17.3,"TBX15"
"NM_001330677.2",-17.3,"TBX15"
"NR_123725.1",-2.24,"LOC729867"
"NM_001256030.2",-13.26,"CD48"
"NM_006917.5",-26.81,"RXRG"
"NM_001256571.2",-26.81,"RXRG"
"NR_125964.1",8.17,"LINC01657"
"NM_003292.3",-16.9,"TPR"
"NM_000702.4",7.93,"ATP1A2"
"NR_110695.1",7.64,"LOC101928372"
"NM_201653.4",10.1,"CHIA"
"NM_001261440.2",-15.67,"EXTL2"
"NR_048570.1",-15.67,"EXTL2"
"NM_001320182.1",-25.33,"DDX59"
"NM_001349800.3",-25.33,"DDX59"
"NM_001349804.2",-25.33,"DDX59"
"NR_135819.1",8.68,"LPGAT1-AS1"
"NR_135820.1",-21.23,"LPGAT1-AS1"
"NM_018891.3",10.47,"LAMC2"
"NM_005562.3",10.47,"LAMC2"
"NR_110787.1",2.04,"DDX59-AS1"
"NR_026665.2",-4.42,"CD58"
"NM_001144822.2",-4.42,"CD58"
"NM_005814.3",-26.4,"GPA33"
"NM_002995.3",11,"XCL1"
"NM_181644.5",9.22,"MFSD4A"
"NM_005149.3",10.67,"TBX19"
"NM_205860.3",10.47,"NR5A2"
"NM_001276464.2",1.54,"NR5A2"
"NM_020423.7",-9.71,"SCYL3"
"NM_170706.4",-10.57,"NMNAT2"
"NM_015039.4",-10.57,"NMNAT2"
"NM_001033667.3",10.24,"LY9"
"NM_001199085.3",9.46,"TDRD5"
"NM_016002.3",0.89,"SCCPDH"
"NM_001973.4",-5.36,"ELK4"
"NM_001300771.2",3.56,"LYPLAL1"
"NM_001300772.2",3.56,"LYPLAL1"
"NM_001130957.2",4.86,"CATSPERE"
"NM_004905.3",9.63,"PRDX6"
"NM_145861.4",8.34,"EDARADD"
"NM_080738.4",9.65,"EDARADD"
"NR_125989.1",-13.12,"LINC01655"
"NM_001317188.2",-15.6,"BRINP3"
"NM_177398.4",-21.37,"LMX1A"
"NM_001174069.2",-21.37,"LMX1A"
"NM_001167749.3",-6.32,"ADCY10"
"NM_000450.2",-14.4,"SELE"
"NM_001297754.3",-31.64,"GPATCH2"
"NM_020197.3",9.46,"SMYD2"
"NM_000655.5",-21.79,"SELL"
"NR_029467.2",-21.79,"SELL"
"NM_001937.5",-17.14,"DPT"
"NM_001143962.2",-19.86,"CAPN8"
"NM_021205.6",8.69,"RHOU"
"NM_007212.4",10.9,"RNF2"
"NM_001195303.3",-19.07,"RGS5"
"NM_001254748.2",-5.13,"RGS5"
"NM_001375655.1",10.86,"SPATA17"
"NM_006902.5",8.34,"PRRX1"
"NR_149057.1",-11.18,"LINC02257"
"NR_123739.1",7.58,"ERLNC1"
"NM_001286164.2",-20.18,"ASTN1"
"NM_004319.3",-20.18,"ASTN1"
"NM_207108.3",-20.18,"ASTN1"
"NR_146491.1",8.68,"LINC01698"
"NM_016448.4",10.13,"DTL"
"NM_001202423.2",-17.69,"TRMT1L"
"NM_030934.5",-17.69,"TRMT1L"
"NR_149071.1",8.69,"LINC02474"
"NR_045530.2",10.52,"SOAT1"
"NR_125784.1",-14.42,"SPATA17-AS1"
"NR_125992.1",7.92,"USH2A-AS2"
"NM_018664.3",-13.15,"BATF3"
"NM_001139459.2",8.48,"CNST"
"NM_005686.3",8.01,"SOX13"
"NM_002508.3",-20.82,"NID1"
"NM_001367910.1",8.94,"ZNF678"
"NR_102302.2",8.94,"ZNF678"
"NR_037606.2",-12.83,"MRPS14"
"NM_001370213.1",10.67,"LHX9"
"NM_001014434.2",10.67,"LHX9"
"NM_020204.3",9.63,"LHX9"
"NR_123735.2",10.13,"DESI2"
"NR_026957.1",-16.57,"LINC01142"
"NM_033102.3",-21.32,"SLC45A3"
"NM_018012.4",9.65,"KIF26B"
"NR_146890.1",-5.98,"LINC01675"
"NM_001305050.2",-10.78,"TMEM59"
"NM_001305052.1",-10.17,"TMEM59"
"NM_001305066.2",-10.17,"TMEM59"
"NR_126351.1",8.49,"LINC01221"
"NM_001007214.1",10.06,"CACYBP"
"NM_014412.3",11.08,"CACYBP"
"NR_048550.1",9.46,"LINC00210"
"NM_005401.5",-11.04,"PTPN14"
"NM_002497.4",-16.48,"NEK2"
"NM_001204183.2",-16.48,"NEK2"
"NM_001204182.2",-16.48,"NEK2"
"NM_001024594.3",7.4,"C1orf53"
"NR_073545.2",9.65,"RAB4A"
"NM_014765.3",-27.12,"TOMM20"
"NM_053053.4",-19.15,"TADA1"
"NM_000537.4",-19.28,"REN"
"NR_110794.1",9.25,"LINC01653"
"NR_033302.2",9.68,"DHX9"
"NM_152265.5",9.22,"BTF3L4"
"NM_001282595.1",10.67,"SLAMF7"
"NM_130782.3",8.59,"RGS18"
"NM_014236.4",7.75,"GNPAT"
"NR_138149.2",9.72,"TGFB2"
"NM_017847.6",10.86,"ODR4"
"NR_110722.1",3.72,"LINC01741"
"NM_002022.3",11,"FMO4"
"NM_001297736.2",-22.5,"NSL1"
"NR_165455.1",-12.39,"HFM1"
"NM_144699.4",7.61,"ATP1A4"
"NM_001001734.2",8.73,"ATP1A4"
"NM_001291866.2",10.47,"GALNT2"
"NM_004481.5",10.47,"GALNT2"
"NR_038856.1",7.97,"LINC01132"
"NM_001282693.2",9.72,"FMO1"
"NM_001282692.1",10.43,"FMO1"
"NM_001010984.4",7.21,"SPRTN"
"NM_004485.4",-20.47,"GNG4"
"NM_001098722.2",-15.38,"GNG4"
"NM_021936.3",7.12,"PAPPA2"
"NM_006243.4",9.24,"PPP2R5A"
"NM_001199756.2",4.43,"PPP2R5A"
"NM_016227.4",-11.84,"SUCO"
"NM_014283.5",10.1,"SUCO"
"NM_001206486.2",7.97,"ATF3"
"NM_001030287.4",7.8,"ATF3"
"NM_001206484.3",8.7,"ATF3"
"NM_021133.4",-15.56,"RNASEL"
"NM_025179.4",-22.21,"PLXNA2"
"NM_001024601.3",-20.56,"SPATA45"
"NM_024420.3",8.63,"PLA2G4A"
"NM_001297761.2",-7.18,"ETNK2"
"NM_030933.4",-10.07,"SHCBP1L"
"NM_001375845.1",-15.52,"LPGAT1"
"NM_014873.3",-15.52,"LPGAT1"
"NM_002763.5",9.35,"PROX1"
"NR_125944.1",1.94,"LOC101927787"
"NM_006212.2",7.75,"PFKFB2"
"NM_001018053.2",7.75,"PFKFB2"
"NR_125985.1",9.65,"LINC01740"
"NM_001146171.2",6.14,"TATDN3"
"NM_020439.3",8.91,"CAMK1G"
"NM_000228.3",-9.31,"LAMB3"
"NM_001127641.1",-9.31,"LAMB3"
"NM_001017402.2",-10.78,"LAMB3"
"NR_146917.1",-26.64,"LINC01710"
"NR_137287.2",7.07,"ARHGEF10L"
"NM_001328124.1",11.08,"ARHGEF10L"
"NM_005999.3",2.19,"TSNAX"
"NM_014697.3",9.16,"NOS1AP"
"NM_001319182.2",7.93,"RNPEP"
"NM_020216.4",7.93,"RNPEP"
"NM_001300755.2",-16.94,"ANGEL2"
"NR_125333.2",-16.94,"ANGEL2"
"NM_017625.3",-7.7,"ITLN1"
"NM_001319230.2",-13.89,"KIAA0040"
"NM_001162895.2",-15.79,"KIAA0040"
"NR_126441.1",8.57,"DISC1-IT1"
"NR_040065.1",8.94,"LINC01346"
"NM_001258311.2",-16.97,"PGBD5"
"NR_158771.1",-6.12,"ANKRD45"
"NM_020394.5",-19.77,"ZNF695"
"NR_147896.1",11,"LINC02789"
"NR_146210.2",9.89,"RPS6KC1"
"NM_001297613.2",7.39,"TMCC2"
"NM_001331034.1",10.07,"TMCC2"
"NM_001297611.2",8.73,"TMCC2"
"NM_001242925.2",8.82,"TMCC2"
"NM_001375652.1",8.82,"TMCC2"
"NR_173106.1",-12.22,"LOC122526782"
"NM_018230.3",-14.35,"NUP133"
"NR_040002.1",-16.16,"LINC01743"
"NM_001039152.3",5.84,"RGS21"
"NM_002922.4",7.4,"RGS1"
"NR_110699.1",8.55,"RGS5-AS1"
"NM_170725.3",9.88,"PGBD2"
"NM_173854.6",-19.91,"SLC41A1"
"NM_206933.4",-13.7,"USH2A"
"NM_007123.6",-13.7,"USH2A"
"NM_001204220.2",-21.32,"ZNF670"
"NM_001126.5",-15.09,"ADSS2"
"NM_001365073.2",-15.09,"ADSS2"
"NM_001320272.2",-18.58,"PLD5"
"NM_001195811.2",-18.58,"PLD5"
"NM_012134.3",-2.74,"LMOD1"
"NM_032360.4",-8.2,"ACBD6"
"NM_138727.4",-26.87,"ST7L"
"NM_138729.4",-23.26,"ST7L"
"NR_147502.1",-11.32,"FLJ39095"
"NM_001328662.2",8.5,"XPR1"
"NR_137330.2",8.5,"XPR1"
"NM_014875.3",-7.1,"KIF14"
"NM_001305792.1",-36.91,"KIF14"
"NM_001080426.3",10.03,"STYXL2"
"NM_001303420.2",-18.06,"COLGALT2"
"NM_001303421.2",-18.06,"COLGALT2"
"NM_001291283.2",-6.62,"LYPD8"
"NM_014801.4",-19.23,"PCNX2"
"NR_136287.2",9.3,"CNIH3"
"NM_001350249.2",7.93,"SDCCAG8"
"NM_173508.4",7.42,"SLC35F3"
"NM_001300845.2",8.99,"SLC35F3"
"NM_032858.3",9.63,"MAEL"
"NM_001286378.2",7.09,"MAEL"
"NR_121196.1",-32.08,"RABGAP1L-AS1"
"NM_001206794.2",-20.89,"ARID4B"
"NM_001322463.1",-6.25,"SH3BP5L"
"NM_030645.3",-6.25,"SH3BP5L"
"NM_004185.4",9.72,"WNT2B"
"NM_024494.3",10.36,"WNT2B"
"NM_032435.3",9.49,"MAP3K21"
"NM_006335.3",7.43,"TIMM17A"
"NM_003503.4",9.4,"CDC7"
"NM_001134420.2",0.45,"CDC7"
"NR_110811.1",-7.08,"LINC01363"
"NM_001375963.1",-13.52,"SMYD3"
"NM_022743.3",-13.52,"SMYD3"
"NM_001375962.1",-13.52,"SMYD3"
"NR_138024.2",8.66,"NTPCR"
"NM_001319295.2",10.67,"KCTD3"
"NM_001323551.2",5.5,"ZC3H12A"
"NM_018194.6",6.36,"HHAT"
"NM_001170580.3",-0.56,"HHAT"
"NM_001122834.4",7.96,"HHAT"
"NR_144491.2",-20.18,"RBM34"
"NM_002245.4",9.46,"KCNK1"
"NR_034131.1",10.13,"LINC00272"
"NM_031935.3",11.08,"HMCN1"
"NR_126002.1",8.63,"PDC-AS1"
"NM_002597.5",-10.32,"PDC"
"NM_022576.4",-30.68,"PDC"
"NM_024544.3",-11.16,"MUL1"
"NM_001785.3",9.06,"CDA"
"NM_032409.3",9.6,"PINK1"
"NR_046507.1",-16.97,"PINK1-AS"
"NM_024529.5",9.65,"CDC73"
"NM_001902.6",9.1,"CTH"
"NM_002167.5",-13.86,"ID3"
"NM_001199802.1",10.49,"RPL11"
"NM_000975.5",10.49,"RPL11"
"NM_020362.5",7.93,"PITHD1"
"NM_001008216.2",-12.17,"GALE"
"NM_001127621.2",-12.17,"GALE"
"NM_000403.4",-12.17,"GALE"
"NM_001382703.1",-14.99,"CRP"
"NM_001004310.3",10.47,"FCRL6"
"NM_001013661.1",-4.08,"VSIG8"
"NM_012337.3",-12.44,"CFAP45"
"NM_001146173.2",-6.64,"SLAMF9"
"NM_000701.8",7.93,"ATP1A1"
"NM_001160233.2",7.64,"ATP1A1"
"NM_001160234.2",10.65,"ATP1A1"
"NR_125972.1",-4.42,"LINC01762"
"NR_125973.1",-24.01,"LINC01762"
"NR_135153.2",-25.19,"ZBTB41"
"NM_004952.5",7.39,"EFNA3"
"NM_004428.3",7.47,"EFNA1"
"NM_001287587.2",2.4,"SLC50A1"
"NM_173852.4",-20.25,"KRTCAP2"
"NM_001171812.2",-5.66,"GBA1"
"NM_001171811.2",-8.28,"GBA1"
"NM_001363704.2",-19.07,"CLK2"
"NM_000298.6",-11.61,"PKLR"
"NM_175710.2",8.18,"CR1L"
