"TranscriptId","strength3","GeneId"
"NM_000110.4",-33.96,"DPYD"
"NM_001160301.1",-33.96,"DPYD"
"NM_001199679.2",2.56,"TLCD4"
"NM_152487.3",2.56,"TLCD4"
"NM_001284353.2",-13.66,"ELAPOR1"
"NM_001328665.2",-23.32,"ARHGAP29"
"NM_001328667.2",-23.32,"ARHGAP29"
"NM_002633.3",-19.23,"PGM1"
"NM_001172818.1",-26.05,"PGM1"
"NM_001172819.2",-7.73,"PGM1"
"NM_032880.5",-10.31,"IGSF21"
"NM_023077.3",-19.38,"COA7"
"NR_168321.1",-6.09,"RNPC3-DT"
"NM_001286352.3",-6.3,"OLFML3"
"NM_001308253.2",-17.13,"GCLM"
"NM_001195684.1",-8.94,"TGFBR3"
"NR_036634.2",-10.45,"TGFBR3"
"NR_046653.1",-2.74,"VAV3-AS1"
"NM_001365999.1",-15.83,"SZT2"
"NM_001323042.2",-24.2,"PHTF1"
"NR_136565.2",-24.2,"PHTF1"
"NM_001323052.2",7.63,"PHTF1"
"NR_136568.2",7.63,"PHTF1"
"NM_001178096.2",-18.63,"F3"
"NM_001078.4",-14.41,"VCAM1"
"NR_110693.1",-17.52,"LINC01787"
"NR_103483.2",-6.22,"RWDD3"
"NM_006699.5",-4.67,"MAN1A2"
"NR_103777.1",-34.66,"LRIG2-DT"
"NM_012152.3",-34.1,"LPAR3"
"NR_149353.1",-10.7,"LINC02868"
"NR_046590.1",-11.84,"DPYD-AS1"
"NM_018704.3",-0.36,"CTTNBP2NL"
"NR_125954.1",-7.03,"LINC01676"
"NM_001270768.2",2.64,"STRIP1"
"NM_013386.5",-24.35,"SLC25A24"
"NM_213651.3",-24.35,"SLC25A24"
"NM_181643.6",-7.22,"PIFO"
"NR_046088.1",-2.94,"LINC01776"
"NM_001312686.2",-11.47,"LRIG2"
"NM_001271685.2",-12.62,"SLC35A3"
"NM_000642.3",-19.05,"AGL"
"NM_000028.2",-4.65,"AGL"
"NM_000646.2",-2.93,"AGL"
"NM_001010898.4",5.24,"SLC6A17"
"NR_110786.1",-17.92,"CD101-AS1"
"NM_000198.4",-8.34,"HSD3B2"
"NM_001166120.2",-12.02,"HSD3B2"
"NM_017619.4",-15.83,"RNPC3"
"NM_133496.5",4.07,"SLC30A7"
"NM_004892.6",-21.26,"SEC22B"
"NM_020440.4",-1.06,"PTGFRN"
"NM_005872.3",-22.89,"BCAS2"
"NM_181781.4",-11.59,"ZNF326"
"NM_182975.4",-11.59,"ZNF326"
"NR_046591.1",-5.93,"DPYD-AS2"
"NM_001172412.2",-9.86,"VANGL1"
"NM_138959.3",-7.4,"VANGL1"
"NR_146623.1",-6.37,"LINC01780"
"NR_104211.2",1.87,"SYCP1"
"NM_017686.4",-4.91,"GDAP2"
"NM_001135589.3",-4.91,"GDAP2"
"NM_000549.5",-6.36,"TSHB"
"NM_006784.3",-15.7,"WDR3"
"NR_037937.2",-6.35,"SCNM1"
"NM_002016.2",-8.3,"FLG"
"NM_006492.3",3.82,"ALX3"
"NM_001111061.2",-14.25,"NHLH2"
"NM_005599.3",-14.25,"NHLH2"
"NM_033020.3",-8.46,"TRIM33"
"NR_103778.1",-4.34,"FLG-AS1"
"NM_001319211.2",-18.58,"CDC14A"
"NM_033312.3",-1.9,"CDC14A"
"NM_033313.3",-1.9,"CDC14A"
"NM_001319210.2",-1.9,"CDC14A"
"NM_001040033.2",3.96,"CD53"
"NM_000560.4",-0.48,"CD53"
"NM_001014342.3",-14.28,"FLG2"
"NM_001329984.2",-4.43,"SRGAP2C"
"NR_104189.1",-21.1,"SRGAP2-AS1"
"NM_001323912.2",-9.42,"GABPB2"
"NM_001347698.2",-6.67,"CD5L"
"NM_005894.3",-6.67,"CD5L"
"NR_033966.1",-5.29,"LINC01761"
"NM_001136543.2",-2.47,"LYSMD1"
"NM_198459.4",-15.39,"DENND2C"
"NM_001328609.2",9.65,"CD2"
"NM_017779.6",-13.39,"DEPDC1"
"NR_036541.2",5.47,"GPR89A"
"NM_001514.6",-23.59,"GTF2B"
"NM_001297562.2",-9.84,"TNFSF4"
"NM_003326.5",-9.84,"TNFSF4"
"NM_000757.6",-1.9,"CSF1"
"NM_172212.3",-1.9,"CSF1"
"NM_172210.3",-1.9,"CSF1"
"NR_126402.1",-21.23,"LINC01307"
"NM_052868.6",-16.13,"IGSF8"
"NM_001206665.2",-27.35,"IGSF8"
"NR_026550.3",-16.23,"MPC2"
"NM_001143674.4",1.87,"MPC2"
"NM_015415.3",1.87,"MPC2"
"NM_001199691.1",-9.22,"TLCD4-RWDD3"
"NR_038423.2",-12.72,"LINC00624"
"NM_001320051.2",-12.19,"FIRRM"
"NM_001320050.2",-9.89,"FIRRM"
"NM_002293.4",-1.41,"LAMC1"
"NM_001231.5",-10.41,"CASQ1"
"NM_004515.4",-11.05,"ILF2"
"NM_152902.5",-17.72,"TIPRL"
"NM_001031800.3",-17.72,"TIPRL"
"NM_052862.4",-20.96,"RCSD1"
"NM_001328635.2",-15.47,"TNR"
"NM_199344.3",-5.11,"SFT2D2"
"NM_001363568.2",-15.25,"UCK2"
"NR_033922.2",-3.26,"LINC01720"
"NM_003175.4",-0.93,"XCL2"
"NM_001365848.1",-13.42,"POU2F1"
"NM_001198783.2",4.91,"POU2F1"
"NM_001204517.2",-11.99,"KIFAP3"
"NM_001204516.2",-14.54,"KIFAP3"
"NR_149048.1",-8.54,"LAMC1-AS1"
"NM_152380.3",-9.27,"TBX15"
"NM_001330677.2",-9.27,"TBX15"
"NR_123725.1",-15.03,"LOC729867"
"NM_001256030.2",-20.21,"CD48"
"NM_006917.5",-26.36,"RXRG"
"NM_001256571.2",-26.36,"RXRG"
"NR_125964.1",-6.37,"LINC01657"
"NM_003292.3",-24.23,"TPR"
"NM_000702.4",-16.46,"ATP1A2"
"NR_110695.1",-6.87,"LOC101928372"
"NM_201653.4",-10.6,"CHIA"
"NM_001261440.2",-19.6,"EXTL2"
"NR_048570.1",-19.6,"EXTL2"
"NM_001320182.1",-16.08,"DDX59"
"NM_001349800.3",-16.08,"DDX59"
"NM_001349804.2",-16.08,"DDX59"
"NR_135819.1",-8.27,"LPGAT1-AS1"
"NR_135820.1",-13.83,"LPGAT1-AS1"
"NM_018891.3",-12.3,"LAMC2"
"NM_005562.3",-12.3,"LAMC2"
"NR_110787.1",-2.37,"DDX59-AS1"
"NR_026665.2",-19.53,"CD58"
"NM_001144822.2",-19.53,"CD58"
"NM_005814.3",-16.77,"GPA33"
"NM_002995.3",1.06,"XCL1"
"NM_181644.5",-20.35,"MFSD4A"
"NM_005149.3",-3.23,"TBX19"
"NM_205860.3",-2.23,"NR5A2"
"NM_001276464.2",-5.44,"NR5A2"
"NM_020423.7",-28,"SCYL3"
"NM_170706.4",-14.62,"NMNAT2"
"NM_015039.4",-14.62,"NMNAT2"
"NM_001033667.3",3.12,"LY9"
"NM_001199085.3",-1.85,"TDRD5"
"NM_016002.3",-10.64,"SCCPDH"
"NM_001973.4",-19.9,"ELK4"
"NM_001300771.2",5.37,"LYPLAL1"
"NM_001300772.2",5.37,"LYPLAL1"
"NM_001130957.2",-1.36,"CATSPERE"
"NM_004905.3",-16.76,"PRDX6"
"NM_145861.4",-9.82,"EDARADD"
"NM_080738.4",6.26,"EDARADD"
"NR_125989.1",-16.06,"LINC01655"
"NM_001317188.2",0.1,"BRINP3"
"NM_177398.4",-24.03,"LMX1A"
"NM_001174069.2",-24.03,"LMX1A"
"NM_001167749.3",-15.32,"ADCY10"
"NM_000450.2",-17.37,"SELE"
"NM_001297754.3",-12.96,"GPATCH2"
"NM_020197.3",3.19,"SMYD2"
"NM_000655.5",-5.45,"SELL"
"NR_029467.2",-5.45,"SELL"
"NM_001937.5",-9.79,"DPT"
"NM_001143962.2",-19.61,"CAPN8"
"NM_021205.6",-3.45,"RHOU"
"NM_007212.4",-16.45,"RNF2"
"NM_001195303.3",-13.06,"RGS5"
"NM_001254748.2",-17.27,"RGS5"
"NM_001375655.1",-3.18,"SPATA17"
"NM_006902.5",-29.59,"PRRX1"
"NR_149057.1",-16.19,"LINC02257"
"NR_123739.1",-5.89,"ERLNC1"
"NM_001286164.2",-14.26,"ASTN1"
"NM_004319.3",-14.26,"ASTN1"
"NM_207108.3",-14.26,"ASTN1"
"NR_146491.1",-6.79,"LINC01698"
"NM_016448.4",-11.25,"DTL"
"NM_001202423.2",-18.37,"TRMT1L"
"NM_030934.5",-18.37,"TRMT1L"
"NR_149071.1",-1.46,"LINC02474"
"NR_045530.2",4.42,"SOAT1"
"NR_125784.1",-32.76,"SPATA17-AS1"
"NR_125992.1",-2.38,"USH2A-AS2"
"NM_018664.3",-28.92,"BATF3"
"NM_001139459.2",-1.06,"CNST"
"NM_005686.3",-21.46,"SOX13"
"NM_002508.3",-11.03,"NID1"
"NM_001367910.1",-16.05,"ZNF678"
"NR_102302.2",-16.05,"ZNF678"
"NR_037606.2",-19.55,"MRPS14"
"NM_001370213.1",-5.46,"LHX9"
"NM_001014434.2",-5.46,"LHX9"
"NM_020204.3",-19.94,"LHX9"
"NR_123735.2",-8.07,"DESI2"
"NR_026957.1",-28.88,"LINC01142"
"NM_033102.3",-16.67,"SLC45A3"
"NM_018012.4",-25.64,"KIF26B"
"NR_146890.1",-22.46,"LINC01675"
"NM_001305050.2",-15.74,"TMEM59"
"NM_001305052.1",-11.62,"TMEM59"
"NM_001305066.2",-11.62,"TMEM59"
"NR_126351.1",-3.62,"LINC01221"
"NM_001007214.1",-10.17,"CACYBP"
"NM_014412.3",-10.28,"CACYBP"
"NR_048550.1",-0.27,"LINC00210"
"NM_005401.5",-1.5,"PTPN14"
"NM_002497.4",-4.9,"NEK2"
"NM_001204183.2",-4.9,"NEK2"
"NM_001204182.2",-4.9,"NEK2"
"NM_001024594.3",-5.03,"C1orf53"
"NR_073545.2",-8.03,"RAB4A"
"NM_014765.3",-7.9,"TOMM20"
"NM_053053.4",-15.76,"TADA1"
"NM_000537.4",-26.97,"REN"
"NR_110794.1",-2.47,"LINC01653"
"NR_033302.2",-22.67,"DHX9"
"NM_152265.5",7.44,"BTF3L4"
"NM_001282595.1",1.63,"SLAMF7"
"NM_130782.3",-9.26,"RGS18"
"NM_014236.4",1.36,"GNPAT"
"NR_138149.2",1.38,"TGFB2"
"NM_017847.6",4.04,"ODR4"
"NR_110722.1",-10.08,"LINC01741"
"NM_002022.3",2.48,"FMO4"
"NM_001297736.2",-18.66,"NSL1"
"NR_165455.1",-7,"HFM1"
"NM_144699.4",-21.85,"ATP1A4"
"NM_001001734.2",-17.86,"ATP1A4"
"NM_001291866.2",-7.59,"GALNT2"
"NM_004481.5",-7.59,"GALNT2"
"NR_038856.1",-30.79,"LINC01132"
"NM_001282693.2",-17.46,"FMO1"
"NM_001282692.1",-22.53,"FMO1"
"NM_001010984.4",-16.07,"SPRTN"
"NM_004485.4",-7.24,"GNG4"
"NM_001098722.2",-9.41,"GNG4"
"NM_021936.3",-16.83,"PAPPA2"
"NM_006243.4",1.37,"PPP2R5A"
"NM_001199756.2",-17.38,"PPP2R5A"
"NM_016227.4",-22.26,"SUCO"
"NM_014283.5",2.19,"SUCO"
"NM_001206486.2",-12.42,"ATF3"
"NM_001030287.4",-4.36,"ATF3"
"NM_001206484.3",-15.96,"ATF3"
"NM_021133.4",-2.66,"RNASEL"
"NM_025179.4",-13.96,"PLXNA2"
"NM_001024601.3",-26.22,"SPATA45"
"NM_024420.3",-5.19,"PLA2G4A"
"NM_001297761.2",-16.94,"ETNK2"
"NM_030933.4",-16.45,"SHCBP1L"
"NM_001375845.1",-11.2,"LPGAT1"
"NM_014873.3",-11.2,"LPGAT1"
"NM_002763.5",-14.86,"PROX1"
"NR_125944.1",-3.92,"LOC101927787"
"NM_006212.2",-22.36,"PFKFB2"
"NM_001018053.2",-22.36,"PFKFB2"
"NR_125985.1",-24.77,"LINC01740"
"NM_001146171.2",-10.52,"TATDN3"
"NM_020439.3",-4.37,"CAMK1G"
"NM_000228.3",-26.57,"LAMB3"
"NM_001127641.1",-26.57,"LAMB3"
"NM_001017402.2",-34.38,"LAMB3"
"NR_146917.1",-12.1,"LINC01710"
"NR_137287.2",-7.73,"ARHGEF10L"
"NM_001328124.1",9.55,"ARHGEF10L"
"NM_005999.3",-10.82,"TSNAX"
"NM_014697.3",-5.15,"NOS1AP"
"NM_001319182.2",-20.29,"RNPEP"
"NM_020216.4",-20.29,"RNPEP"
"NM_001300755.2",-2.95,"ANGEL2"
"NR_125333.2",-2.95,"ANGEL2"
"NM_017625.3",-9.22,"ITLN1"
"NM_001319230.2",-14.43,"KIAA0040"
"NM_001162895.2",-17.82,"KIAA0040"
"NR_126441.1",-28.72,"DISC1-IT1"
"NR_040065.1",5.33,"LINC01346"
"NM_001258311.2",-13.63,"PGBD5"
"NR_158771.1",-6.43,"ANKRD45"
"NM_020394.5",-17.1,"ZNF695"
"NR_147896.1",-1.68,"LINC02789"
"NR_146210.2",-6.92,"RPS6KC1"
"NM_001297613.2",-49.26,"TMCC2"
"NM_001331034.1",-0.51,"TMCC2"
"NM_001297611.2",-3.11,"TMCC2"
"NM_001242925.2",-8.36,"TMCC2"
"NM_001375652.1",-8.36,"TMCC2"
"NR_173106.1",-7.48,"LOC122526782"
"NM_018230.3",-9.73,"NUP133"
"NR_040002.1",-4.86,"LINC01743"
"NM_001039152.3",-7.51,"RGS21"
"NM_002922.4",-28.92,"RGS1"
"NR_110699.1",-15.23,"RGS5-AS1"
"NM_170725.3",0.04,"PGBD2"
"NM_173854.6",-14.34,"SLC41A1"
"NM_206933.4",-14.31,"USH2A"
"NM_007123.6",-14.31,"USH2A"
"NM_001204220.2",-17.54,"ZNF670"
"NM_001126.5",-14.41,"ADSS2"
"NM_001365073.2",-14.41,"ADSS2"
"NM_001320272.2",-21.65,"PLD5"
"NM_001195811.2",-21.65,"PLD5"
"NM_012134.3",-11.28,"LMOD1"
"NM_032360.4",-11.16,"ACBD6"
"NM_138727.4",-27.76,"ST7L"
"NM_138729.4",-18.86,"ST7L"
"NR_147502.1",-22.73,"FLJ39095"
"NM_001328662.2",-16.41,"XPR1"
"NR_137330.2",-16.41,"XPR1"
"NM_014875.3",-12.7,"KIF14"
"NM_001305792.1",-8.93,"KIF14"
"NM_001080426.3",-16.13,"STYXL2"
"NM_001303420.2",-28.9,"COLGALT2"
"NM_001303421.2",-28.9,"COLGALT2"
"NM_001291283.2",-23.21,"LYPD8"
"NM_014801.4",-27.12,"PCNX2"
"NR_136287.2",0.34,"CNIH3"
"NM_001350249.2",-17.64,"SDCCAG8"
"NM_173508.4",-27.18,"SLC35F3"
"NM_001300845.2",-5.35,"SLC35F3"
"NM_032858.3",-17.84,"MAEL"
"NM_001286378.2",3.24,"MAEL"
"NR_121196.1",-11.85,"RABGAP1L-AS1"
"NM_001206794.2",-12.4,"ARID4B"
"NM_001322463.1",-6.14,"SH3BP5L"
"NM_030645.3",-6.14,"SH3BP5L"
"NM_004185.4",-5.91,"WNT2B"
"NM_024494.3",-18.47,"WNT2B"
"NM_032435.3",-25.5,"MAP3K21"
"NM_006335.3",-18.33,"TIMM17A"
"NM_003503.4",-11.18,"CDC7"
"NM_001134420.2",-3.79,"CDC7"
"NR_110811.1",-11.41,"LINC01363"
"NM_001375963.1",-18.31,"SMYD3"
"NM_022743.3",-18.31,"SMYD3"
"NM_001375962.1",-18.31,"SMYD3"
"NR_138024.2",4.67,"NTPCR"
"NM_001319295.2",-5.8,"KCTD3"
"NM_001323551.2",-9.38,"ZC3H12A"
"NM_018194.6",-13.67,"HHAT"
"NM_001170580.3",-12.41,"HHAT"
"NM_001122834.4",-21.22,"HHAT"
"NR_144491.2",-18.53,"RBM34"
"NM_002245.4",10.31,"KCNK1"
"NR_034131.1",0.49,"LINC00272"
"NM_031935.3",5.8,"HMCN1"
"NR_126002.1",5.96,"PDC-AS1"
"NM_002597.5",-12.24,"PDC"
"NM_022576.4",-19.94,"PDC"
"NM_024544.3",-18.26,"MUL1"
"NM_001785.3",-6.36,"CDA"
"NM_032409.3",-8.8,"PINK1"
"NR_046507.1",-24.9,"PINK1-AS"
"NM_024529.5",-10.71,"CDC73"
"NM_001902.6",-11.15,"CTH"
"NM_002167.5",-24.12,"ID3"
"NM_001199802.1",-12.45,"RPL11"
"NM_000975.5",-12.45,"RPL11"
"NM_020362.5",0.86,"PITHD1"
"NM_001008216.2",-36.57,"GALE"
"NM_001127621.2",-36.57,"GALE"
"NM_000403.4",-36.57,"GALE"
"NM_001382703.1",-12.99,"CRP"
"NM_001004310.3",-0.81,"FCRL6"
"NM_001013661.1",-34.7,"VSIG8"
"NM_012337.3",-9.42,"CFAP45"
"NM_001146173.2",-15.41,"SLAMF9"
"NM_000701.8",-26.85,"ATP1A1"
"NM_001160233.2",3.18,"ATP1A1"
"NM_001160234.2",-7.41,"ATP1A1"
