"TranscriptID","CP","GeneID"
"NM_017891.5",0.897925,"C1orf159"
"XR_007069736.1",0.0799669,"LOC124903820"
"NR_038869.1",0.2091,"LINC01342"
"XR_007069735.1",0.133193,"LOC124903820"
"XR_008486225.1",0.241269,"LOC124903818"
"NR_029639.1",0.00843956,"MIR200B"
"NR_029834.1",0.0102166,"MIR200A"
"NR_029957.1",0.00437794,"MIR429"
"NR_173246.1",0.905397,"TTLL10-AS1"
"NM_001371649.1",1,"TTLL10"
"XM_054335757.1",1,"TTLL10"
"XM_054335762.1",1,"TTLL10"
"XM_054335756.1",1,"TTLL10"
"XM_054335760.1",1,"TTLL10"
"XM_054335761.1",1,"TTLL10"
"XM_054335758.1",1,"TTLL10"
"XM_054335763.1",0.999998,"TTLL10"
"XM_054335764.1",1,"TTLL10"
"NM_153254.3",1,"TTLL10"
"NM_148901.2",0.996813,"TNFRSF18"
"XM_054338603.1",0.99968,"TNFRSF4"
"XM_054338605.1",0.979632,"TNFRSF4"
"NM_003327.4",0.999097,"TNFRSF4"
"XM_054338604.1",0.999459,"TNFRSF4"
"XM_054336904.1",1,"SDF4"
"NM_016176.6",1,"SDF4"
"XM_054336906.1",0.989692,"SDF4"
"NM_080605.4",0.999713,"B3GALT6"
"XM_054336500.1",0.997558,"C1QTNF12"
"XM_054336499.1",0.98598,"C1QTNF12"
"XM_054336498.1",0.996689,"C1QTNF12"
"XM_054334213.1",0.990341,"UBE2J2"
"XM_054334211.1",0.996442,"UBE2J2"
"NM_194457.2",0.987988,"UBE2J2"
"XM_054334212.1",0.996694,"UBE2J2"
"XM_054334214.1",0.996442,"UBE2J2"
"XM_054334215.1",0.996124,"UBE2J2"
"XM_054334216.1",0.985798,"UBE2J2"
"NR_037668.3",1,"SCNN1D"
"XM_054334177.1",1,"ACAP3"
"XM_054334174.1",1,"ACAP3"
"XM_054334178.1",1,"ACAP3"
"NR_106784.1",0.0167823,"MIR6726"
"NR_145806.1",0.01392,"SNORD167"
"NR_144369.2",0.867557,"PUSL1"
"XM_054334254.1",0.973963,"PUSL1"
"XM_054334253.1",0.990076,"PUSL1"
"XM_054334255.1",0.985895,"PUSL1"
"NM_001256463.2",1,"INTS11"
"XM_054337268.1",1,"INTS11"
"NR_106785.1",0.0187388,"MIR6727"
"XM_054338883.1",0.996877,"CPTP"
"XM_054338994.1",1,"TAS1R3"
"NM_152228.3",1,"TAS1R3"
"NM_004421.3",1,"DVL1"
"XM_054334806.1",1,"DVL1"
"NR_106866.1",0.0858069,"MIR6808"
"NM_001282585.1",1,"MXRA8"
"NM_001282582.2",1,"MXRA8"
"NM_001282583.2",1,"MXRA8"
"XM_054337161.1",1,"MXRA8"
"NM_017900.3",0.986742,"AURKAIP1"
"XM_054338927.1",0.99992,"CCNL2"
"NR_146722.2",0.998014,"CCNL2"
"XM_054338928.1",0.998824,"CCNL2"
"XM_054338929.1",0.995919,"CCNL2"
"NM_001039577.5",0.999612,"CCNL2"
"NR_015434.1",0.376175,"MRPL20-AS1"
"NM_017971.4",0.522014,"MRPL20"
"NR_170330.2",0.0286876,"MRPL20-DT"
"XM_054336692.1",1,"ANKRD65"
"XM_054336693.1",1,"ANKRD65"
"NM_001243536.2",0.0863407,"ANKRD65"
"XR_007069737.1",0.155807,"ANKRD65-AS1"
"NM_001146685.2",0.640789,"TMEM88B"
"NR_125996.1",0.167832,"LINC01770"
"XM_047443606.1",0.998651,"LOC107985729"
"NM_022834.5",1,"VWA1"
"NM_001039211.3",0.999999,"ATAD3C"
"XM_054338998.1",1,"ATAD3B"
"XM_054339005.1",1,"ATAD3B"
"XM_054339003.1",1,"ATAD3B"
"XM_054338999.1",1,"ATAD3B"
"XM_054339001.1",1,"ATAD3B"
"XM_054339000.1",1,"ATAD3B"
"XM_054339004.1",1,"ATAD3B"
"XM_054338997.1",1,"ATAD3B"
"NM_001317238.2",1,"ATAD3B"
"XM_054339002.1",1,"ATAD3B"
"XM_054337419.1",1,"ATAD3A"
"XM_054337420.1",1,"ATAD3A"
"XM_054337421.1",1,"ATAD3A"
"NM_001170536.3",1,"ATAD3A"
"NM_001114748.2",0.906853,"TMEM240"
"NM_014188.3",0.998093,"SSU72"
"NM_001242659.2",0.987809,"FNDC10"
"NR_147951.1",0.0314326,"LOC105378586"
"XM_054334510.1",1,"MIB2"
"NR_033183.2",1,"MIB2"
"XM_054334511.1",1,"MIB2"
"NR_146324.2",0.0130367,"MIB2"
"XM_054334533.1",1,"MIB2"
"XM_054339292.1",0.999551,"MMP23B"
"XM_054339805.1",1,"CDK11B"
"NM_001291345.2",1,"CDK11B"
"XM_054339804.1",1,"CDK11B"
"XM_054339803.1",1,"CDK11B"
"XM_054339815.1",1,"CDK11B"
"XM_054339806.1",1,"CDK11B"
"XM_054339816.1",1,"CDK11B"
"XM_054339814.1",1,"CDK11B"
"XM_054339818.1",1,"CDK11B"
"XM_054339822.1",1,"CDK11B"
"XM_054339817.1",1,"CDK11B"
"XM_054339821.1",1,"CDK11B"
"NM_001110781.3",0.999998,"SLC35E2B"
"NR_002946.1",0.836518,"MMP23A"
"NR_132739.2",1,"CDK11A"
"NR_173244.1",0.995211,"SLC35E2A"
"NR_173245.1",0.996595,"SLC35E2A"
"XR_007069738.1",0.187597,"LOC112268218"
"XM_054338408.1",1,"NADK"
"XM_054338409.1",1,"NADK"
"NM_001198993.2",1,"NADK"
"XR_008486152.1",0.99999,"NADK"
"NM_001198995.1",1,"NADK"
"XM_054338410.1",1,"NADK"
"XM_054338411.1",1,"NADK"
"XM_054336086.1",0.999991,"GNB1"
"XM_054336056.1",0.999998,"GNB1"
"XM_054336067.1",0.999998,"GNB1"
"XM_054336075.1",0.999999,"GNB1"
"XM_054336065.1",0.999998,"GNB1"
"XM_054336084.1",0.999991,"GNB1"
"XM_054336071.1",0.999996,"GNB1"
"XM_054336076.1",0.999999,"GNB1"
"XM_054336072.1",0.999999,"GNB1"
"XM_054336069.1",0.999998,"GNB1"
"XM_054336074.1",0.999997,"GNB1"
"XM_054336080.1",0.999973,"GNB1"
"XM_054336081.1",0.999992,"GNB1"
"NR_168264.1",0.0872383,"GNB1-DT"
"XM_054334736.1",0.999597,"CALML6"
"NM_138705.4",0.998485,"CALML6"
"XM_054336259.1",0.998967,"TMEM52"
"XM_054336258.1",0.999387,"TMEM52"
"NM_178545.4",0.999615,"TMEM52"
"NM_001304360.2",1,"CFAP74"
"XR_007069739.1",0.0669532,"LOC107984872"
"XR_007069740.1",0.713733,"LOC105378589"
"NM_000815.5",1,"GABRD"
"XM_054335808.1",1,"GABRD"
"XM_054335807.1",1,"GABRD"
"XR_007069744.1",0.104029,"LOC105378590"
"XM_054337683.1",1,"PRKCZ"
"NR_135509.1",0.0595981,"PRKCZ-DT"
"XM_054337681.1",1,"PRKCZ"
"XR_008486108.1",1,"PRKCZ"
"XM_054337680.1",1,"PRKCZ"
"XM_054337695.1",1,"PRKCZ"
"XM_054337702.1",1,"PRKCZ"
"XM_054337685.1",1,"PRKCZ"
"XM_054337684.1",1,"PRKCZ"
"NR_146911.2",1,"PRKCZ"
"XM_054337690.1",1,"PRKCZ"
"NM_001350805.2",1,"PRKCZ"
"XM_054337687.1",1,"PRKCZ"
"XM_054337688.1",1,"PRKCZ"
"XM_054337693.1",1,"PRKCZ"
"XM_054337689.1",1,"PRKCZ"
"XM_054337699.1",1,"PRKCZ"
"XM_054337691.1",1,"PRKCZ"
"XM_054337686.1",1,"PRKCZ"
"XM_054337692.1",1,"PRKCZ"
"XM_054337694.1",1,"PRKCZ"
"XM_054337700.1",1,"PRKCZ"
"XM_054337701.1",1,"PRKCZ"
"NR_146290.1",0.998465,"PRKCZ-AS1"
"NM_001146310.2",0.933268,"FAAP20"
"NM_001256945.2",0.694446,"FAAP20"
"NM_001282670.2",0.96228,"FAAP20"
"XM_054334907.1",0.999992,"FAAP20"
"XM_054334912.1",0.979363,"FAAP20"
"NR_046427.2",0.240869,"FAAP20"
"NR_168005.1",0.654271,"LOC112268219"
"XM_054334908.1",0.999412,"FAAP20"
"XM_054334909.1",0.998108,"FAAP20"
"XM_054334911.1",0.992097,"FAAP20"
"XM_054334913.1",0.984151,"FAAP20"
"XM_054334910.1",0.949643,"FAAP20"
"XM_054334915.1",0.853565,"FAAP20"
"NM_003036.4",1,"SKI"
"XM_047443632.1",0.973187,"LOC124905687"
"XM_047443630.1",0.983638,"LOC124905687"
"XM_047443634.1",0.94346,"LOC124905687"
"XM_047443638.1",0.691321,"LOC124905687"
"XR_007069745.1",0.164566,"LOC124905687"
"XR_007069752.1",0.102187,"LOC124903824"
"XR_007069747.1",0.285056,"LOC124903824"
"XR_007069748.1",0.0788892,"LOC124903824"
"XR_007069746.1",0.354937,"LOC124903824"
"NM_024848.3",1,"MORN1"
"NR_024489.1",0.929004,"LOC100129534"
"NM_001301060.2",1,"MORN1"
"NR_125361.2",0.863946,"MORN1"
"NM_007033.5",0.708611,"RER1"
"NR_164636.1",0.138599,"PEX10"
"NM_002617.4",0.999977,"PEX10"
"XM_054337011.1",0.974791,"PEX10"
"XM_054337012.1",0.976026,"PEX10"
"XM_054339733.1",1,"PLCH2"
"XM_054339731.1",1,"PLCH2"
"XM_054339736.1",1,"PLCH2"
"XM_054339735.1",1,"PLCH2"
"NM_001303012.2",1,"PLCH2"
"NM_014638.4",1,"PLCH2"
"NM_001303013.1",1,"PLCH2"
"NM_018216.4",1,"PANK4"
"XM_054337429.1",1,"PANK4"
"XR_008486090.1",1,"PANK4"
"XM_054337430.1",1,"PANK4"
"NM_001010926.4",0.866568,"HES5"
"NR_037844.2",0.220198,"TNFRSF14-AS1"
"XM_054339412.1",0.999895,"TNFRSF14"
"XM_054339410.1",0.999893,"TNFRSF14"
"XM_054339409.1",0.999259,"TNFRSF14"
"XM_054339417.1",0.982893,"TNFRSF14"
"XM_054339411.1",0.999259,"TNFRSF14"
"XM_054339413.1",0.999902,"TNFRSF14"
"NM_003820.4",0.999924,"TNFRSF14"
"XM_054339416.1",0.99504,"TNFRSF14"
"XM_054339418.1",0.146435,"TNFRSF14"
"XM_054339408.1",0.999599,"TNFRSF14"
"XM_054339414.1",0.999698,"TNFRSF14"
"NR_121638.1",0.262009,"LOC100996583"
"NR_036637.2",0.209103,"PRXL2B"
"XM_054334333.1",0.988008,"PRXL2B"
"NM_033467.4",1,"MMEL1"
"NR_183343.1",0.0158363,"MMEL1-AS1"
"NM_001242672.3",1,"TTC34"
"XR_007069780.1",0.0119467,"LOC128966585"
"XR_007069781.1",0.00766224,"LOC128966585"
"XR_007069778.1",0.0119467,"LOC107985732"
"XR_007069769.1",0.00960799,"LOC124905688"
"XR_007069777.1",0.00608826,"LOC124905689"
"XR_007069776.1",0.00816475,"LOC124905689"
"XR_007069774.1",0.0084257,"LOC124905689"
"XR_007069762.1",0.033425,"LOC105378598"
"XR_007069779.1",0.0119467,"LOC107984904"
"XR_007069761.1",0.033425,"LOC105378598"
"XR_007069763.1",0.00960799,"LOC105378598"
"XR_007069756.1",0.033425,"LOC105378598"
"XR_007069764.1",0.033425,"LOC105378598"
"XR_007069789.1",0.137488,"LOC124903826"
"NM_080431.5",1,"ACTRT2"
"XM_054340020.1",0.995616,"LOC124903827"
"XM_054340021.1",0.982117,"LOC124903827"
"NR_015440.1",0.447701,"PRDM16-DT"
"NR_024371.1",0.723177,"PRDM16-DT"
"XM_054340005.1",0.972658,"LOC124903827"
"NM_022114.4",1,"PRDM16"
"NR_036215.1",0.00554749,"MIR4251"
"XR_007069798.1",0.0317082,"LOC105378606"
"XR_007069797.1",0.419503,"LOC107984909"
"XR_007069796.1",0.138872,"LOC105378605"
"XR_007069795.1",0.0941158,"LOC105378605"
"XM_047443639.1",0.997866,"LOC124903828"
"XR_007069791.1",0.201621,"LOC105378604"
"XR_007069792.1",0.207073,"LOC105378604"
"XR_007069793.1",0.207073,"LOC105378604"
"XM_054336013.1",1,"ARHGEF16"
"NM_014448.4",1,"ARHGEF16"
"XM_054336012.1",1,"ARHGEF16"
"XM_054336016.1",1,"ARHGEF16"
"XM_054336014.1",1,"ARHGEF16"
"XM_054336015.1",1,"ARHGEF16"
"XM_054334838.1",1,"MEGF6"
"XM_054334846.1",1,"MEGF6"
"XM_054334850.1",1,"MEGF6"
"XM_054334855.1",1,"MEGF6"
"NM_001410718.1",1,"MEGF6"
"XM_054334857.1",1,"MEGF6"
"XM_054334851.1",1,"MEGF6"
"XR_007069799.1",0.278766,"LOC105378608"
"NR_030277.1",0.00593281,"MIR551A"
"NM_182752.4",0.999946,"TPRG1L"
"XM_054336823.1",1,"WRAP73"
"XM_054336822.1",1,"WRAP73"
"NM_005427.4",1,"TP73"
"XR_007069800.1",0.459833,"TP73-AS3"
"XR_007069801.1",0.446445,"TP73-AS3"
"XM_054338580.1",1,"TP73"
"XM_054338579.1",1,"TP73"
"NM_001126240.3",1,"TP73"
"NM_001204192.2",1,"TP73"
"NR_033709.1",0.977317,"TP73-AS1"
"NR_033712.1",0.926815,"TP73-AS1"
"NM_152492.3",1,"CCDC27"
"NM_001163724.3",0.0923885,"SMIM1"
"NM_020710.3",1,"LRRC47"
"NM_014704.4",1,"CEP104"
"XM_054339777.1",1,"CEP104"
"XR_008485941.1",0.999995,"DFFB"
"XM_054334795.1",0.992772,"DFFB"
"NM_207356.3",0.998022,"C1orf174"
"XM_054336250.1",0.994048,"C1orf174"
"XM_054336251.1",0.459031,"C1orf174"
"NR_024455.1",0.0974406,"LINC01134"
"NR_040065.1",0.0469489,"LINC01346"
"NR_147024.1",0.0158084,"LINC01345"
"NR_027088.1",0.263607,"LINC01777"
"XR_007069802.1",0.0401097,"LOC105376674"
"XR_007069803.1",0.0072301,"LOC105376674"
"XR_007069804.1",0.0185488,"LOC124904578"
"NR_147025.1",0.0439427,"LINC01646"
"XM_054337707.1",0.998564,"AJAP1"
"NM_001042478.2",0.999999,"AJAP1"
"XR_007069806.1",0.23866,"LINC02781"
"XR_007069805.1",0.101771,"LINC02781"
"XR_007069810.1",0.0815922,"LOC124904589"
"XR_007069808.1",0.147667,"LOC102724429"
"XR_007069809.1",0.158826,"LOC102724429"
"XR_007069807.1",0.166983,"LOC102724429"
"NR_183671.1",0.0140702,"LINC02782"
"XR_007069813.1",0.0960496,"LOC105376682"
"XR_007069814.1",0.0952837,"LOC107984911"
"XR_007069818.1",0.798721,"LOC105376686"
"XR_007071474.1",1.51981e-05,"LOC124900451"
"XR_007069820.1",0.666722,"LOC124903830"
"XR_007069819.1",0.209794,"LOC124903830"
"NR_039838.1",0.0135037,"MIR4689"
"XM_054335923.1",1,"NPHP4"
"NR_111987.2",1,"NPHP4"
"XM_054335931.1",1,"NPHP4"
"XM_054335924.1",1,"NPHP4"
"XM_054335918.1",1,"NPHP4"
"XM_054335932.1",1,"NPHP4"
"XM_054335922.1",1,"NPHP4"
"XM_054335916.1",1,"NPHP4"
"XM_054335934.1",1,"NPHP4"
"XM_054335936.1",1,"NPHP4"
"XM_054335935.1",1,"NPHP4"
"XM_054335927.1",1,"NPHP4"
"XM_054335928.1",1,"NPHP4"
"XR_008485989.1",1,"NPHP4"
"XM_054335937.1",1,"NPHP4"
"XM_054335938.1",1,"NPHP4"
"XM_054339296.1",0.999998,"KCNAB2"
"XM_054339295.1",0.999998,"KCNAB2"
"NM_001199860.2",0.999991,"KCNAB2"
"XM_054339297.1",0.999996,"KCNAB2"
"NM_001199862.2",1,"KCNAB2"
"NM_015557.3",1,"CHD5"
"NM_000983.4",0.641176,"RPL22"
"NR_125997.1",0.00355919,"RNF207-AS1"
"NM_207396.3",1,"RNF207"
"XR_008486040.1",1,"RNF207"
"XR_008486041.1",1,"RNF207"
"XR_008486039.1",1,"RNF207"
"XM_054336505.1",1,"RNF207"
"XM_054336504.1",1,"RNF207"
"NM_012405.4",0.998376,"ICMT"
"XM_054335704.1",0.960362,"ICMT"
"XM_054335705.1",0.521779,"ICMT"
"NR_103534.1",0.18145,"ICMT-DT"
"NM_001024598.4",0.969993,"HES3"
"NM_207370.4",1,"GPR153"
"XM_054336485.1",1,"GPR153"
"NM_007274.4",1,"ACOT7"
"NM_181864.3",1,"ACOT7"
"XM_054334048.1",0.999999,"ACOT7"
"NM_181865.3",1,"ACOT7"
"NM_181866.3",1,"ACOT7"
"NM_019089.5",0.652687,"HES2"
"XM_054338987.1",1,"ESPN"
"NM_031475.3",1,"ESPN"
"XM_054338982.1",1,"ESPN"
"XM_054338993.1",1,"ESPN"
"XM_054338992.1",1,"ESPN"
"NR_036218.1",3.03768e-06,"MIR4252"
"XM_054338984.1",1,"ESPN"
"XM_054338986.1",1,"ESPN"
"XM_054338988.1",1,"ESPN"
"XM_054338989.1",1,"ESPN"
"XM_054338991.1",1,"ESPN"
"NM_148970.2",0.99936,"TNFRSF25"
"NM_001039664.2",0.897301,"TNFRSF25"
"NM_198681.4",1,"PLEKHG5"
"NM_001042663.3",1,"PLEKHG5"
"NM_001265592.2",1,"PLEKHG5"
"NM_020631.6",1,"PLEKHG5"
"NM_001265594.3",1,"PLEKHG5"
"NM_001042665.2",1,"PLEKHG5"
"NM_001265593.2",1,"PLEKHG5"
"NM_024654.5",1,"NOL9"
"XM_054338750.1",0.999773,"NOL9"
"XM_054338748.1",0.999998,"NOL9"
"XM_054338749.1",0.999773,"NOL9"
"XM_054338751.1",0.998977,"NOL9"
"NM_138697.4",1,"TAS1R1"
"XR_007069823.1",0.022605,"LOC107984912"
"XM_054338884.1",1,"TAS1R1"
"NM_005341.4",1,"ZBTB48"
"XM_054336213.1",1,"ZBTB48"
"XM_054336218.1",1,"ZBTB48"
"XM_054336215.1",1,"ZBTB48"
"XM_054336223.1",0.999997,"ZBTB48"
"NM_014851.4",1,"KLHL21"
"XR_007069821.1",0.0300818,"LOC107984913"
"NM_153812.3",0.999131,"PHF13"
"XM_054334574.1",0.998402,"PHF13"
"NM_001195753.2",0.999427,"THAP3"
"NM_138350.4",0.636634,"THAP3"
"NM_001394496.1",0.999772,"THAP3"
"XM_054339500.1",0.932403,"THAP3"
"NM_018198.4",1,"DNAJC11"
"XM_054337587.1",1,"DNAJC11"
"NR_104620.1",0.0237408,"LINC01672"
"NR_104621.1",0.0242189,"LINC01672"
"XR_007071321.1",0.192692,"LOC124904847"
"NR_149049.1",0.00288303,"CAMTA1-DT"
"XM_054335420.1",1,"CAMTA1"
"XM_054335423.1",1,"CAMTA1"
"XM_054335435.1",1,"CAMTA1"
"XM_054335434.1",1,"CAMTA1"
"XM_054335443.1",0.85668,"CAMTA1"
"XM_054335442.1",0.94339,"CAMTA1"
"NR_146203.2",0.0911865,"CAMTA1"
"XR_008485965.1",0.654743,"CAMTA1"
"XR_008485966.1",0.548869,"CAMTA1"
"NR_146204.2",0.0239999,"CAMTA1"
"XM_054335421.1",1,"CAMTA1"
"XM_054335430.1",1,"CAMTA1"
"XR_007069834.1",0.170914,"LOC124903832"
"NR_182292.1",0.0402844,"CAMTA1-AS3"
"NR_146199.1",0.0187167,"CAMTA1-AS2"
"NR_146201.1",0.0371809,"CAMTA1-AS2"
"XR_007069833.1",0.0101114,"CAMTA1-AS1"
"XR_007069832.1",0.00702514,"CAMTA1-AS1"
"XR_007069835.1",0.205556,"LOC105376691"
"XM_054335441.1",1,"CAMTA1"
"NM_001349617.1",1,"CAMTA1"
"XM_054335436.1",1,"CAMTA1"
"XM_054335437.1",1,"CAMTA1"
"NM_001349613.1",1,"CAMTA1"
"XR_007069828.1",0.350824,"LOC105376689"
"XR_007069827.1",0.347609,"LOC105376689"
"XR_007069825.1",0.186416,"LOC105376689"
"XR_007069824.1",0.150007,"LOC105376689"
"XR_007069826.1",0.200858,"LOC105376689"
"XR_007069829.1",0.0808979,"LOC105376689"
"NM_001349616.2",1,"CAMTA1"
"XM_054335439.1",1,"CAMTA1"
"XM_054335438.1",1,"CAMTA1"
"XM_054335440.1",1,"CAMTA1"
"NM_004781.4",0.338256,"VAMP3"
"XM_054339423.1",1,"PER3"
"XM_054339439.1",1,"PER3"
"XM_054339421.1",1,"PER3"
"XM_054339442.1",1,"PER3"
"XM_054339426.1",1,"PER3"
"XM_054339447.1",1,"PER3"
"NM_001289862.2",1,"PER3"
"XM_054339448.1",1,"PER3"
"XM_054339449.1",1,"PER3"
"XM_054339450.1",1,"PER3"
"XM_054339451.1",1,"PER3"
"XM_054333954.1",0.5667,"UTS2"
"NM_021995.2",0.69911,"UTS2"
"NM_006786.4",0.349884,"UTS2"
"NM_001561.6",0.973441,"TNFRSF9"
"XM_054336415.1",0.990025,"TNFRSF9"
"XM_054336416.1",0.997672,"TNFRSF9"
"NM_007262.5",0.997831,"PARK7"
"XM_054334046.1",0.99547,"PARK7"
"NM_018948.4",1,"ERRFI1"
"XM_054337101.1",1,"ERRFI1"
"XM_054337102.1",1,"ERRFI1"
"XM_054337103.1",1,"ERRFI1"
"XR_007069836.1",0.0330546,"ERRFI1-DT"
"XR_007069839.1",0.0160514,"LOC107984915"
"XR_007069837.1",0.0776933,"LOC107984915"
"NR_125998.1",0.132347,"LINC01714"
"XR_007069840.1",0.0389721,"LOC105376695"
"NM_001379614.1",1,"SLC45A1"
"XM_054336833.1",1,"SLC45A1"
"NM_001042681.2",1,"RERE"
"NM_001042682.2",1,"RERE"
"NR_125999.1",0.0109371,"RERE-AS1"
"NR_132752.1",0.00492893,"SNORD128"
"XR_007071476.1",0.00565606,"LOC124900452"
"NM_001428.5",1,"ENO1"
"NR_106786.1",0.0161863,"MIR6728"
"NR_038351.1",0.00478651,"ENO1-AS1"
"XR_007069842.1",0.131948,"LOC112268261"
"XR_007069841.1",0.0373536,"LOC112268261"
"XR_007069843.1",0.0551551,"LOC112268261"
"NM_001215.4",0.999999,"CA6"
"XM_054338623.1",0.999999,"CA6"
"NM_001270500.2",0.999999,"CA6"
"XM_054338624.1",0.999997,"CA6"
"XM_054334701.1",1,"SLC2A7"
"NM_207420.3",1,"SLC2A7"
"XM_054334702.1",1,"SLC2A7"
"XM_054338404.1",1,"SLC2A5"
"XM_054338403.1",1,"SLC2A5"
"XM_054338401.1",1,"SLC2A5"
"XM_054338402.1",1,"SLC2A5"
"NM_001328619.2",1,"SLC2A5"
"XM_054338400.1",1,"SLC2A5"
"NM_001328621.2",1,"SLC2A5"
"XM_054338407.1",1,"SLC2A5"
"NM_001135585.2",0.991551,"SLC2A5"
"XR_007071467.1",0.00952435,"LOC124900441"
"XR_008486167.1",0.999201,"GPR157"
"NR_132742.1",0.438433,"MIR34AHG"
"NR_029610.1",0.0229578,"MIR34A"
"NR_132738.1",0.0261834,"LNCTAM34A"
"XM_054339711.1",1,"H6PD"
"NM_001282587.2",1,"H6PD"
"XR_007069844.1",0.00699458,"LOC124903836"
"XM_054339712.1",1,"H6PD"
"XM_054339715.1",0.999994,"H6PD"
"NM_025106.4",0.999537,"SPSB1"
"NR_104622.2",0.137088,"LINC02606"
"NR_104623.2",0.127247,"LINC02606"
"NM_032315.3",0.990066,"SLC25A33"
"XM_054334893.1",1,"TMEM201"
"XM_054334898.1",1,"TMEM201"
"XM_054334899.1",1,"TMEM201"
"NM_001010866.4",1,"TMEM201"
"XM_054334896.1",1,"TMEM201"
"XM_054334895.1",1,"TMEM201"
"XM_054340022.1",0.997078,"LOC124903837"
"XM_054337040.1",1,"PIK3CD"
"XR_007069847.1",0.0313511,"LOC105376712"
"XM_054337034.1",1,"PIK3CD"
"XM_054337037.1",1,"PIK3CD"
"XM_054337033.1",1,"PIK3CD"
"XM_054337064.1",1,"PIK3CD"
"XM_054337065.1",1,"PIK3CD"
"NR_027045.1",0.78831,"PIK3CD-AS1"
"NR_126367.1",0.0146113,"PIK3CD-AS2"
"NR_126368.1",0.0482395,"PIK3CD-AS2"
"XM_054337038.1",1,"PIK3CD"
"XM_054337035.1",1,"PIK3CD"
"XM_054337041.1",1,"PIK3CD"
"XM_054337051.1",1,"PIK3CD"
"NM_001350235.1",1,"PIK3CD"
"XM_054337043.1",1,"PIK3CD"
"XM_054337042.1",1,"PIK3CD"
"XM_054335191.1",1,"CLSTN1"
"NM_001009566.3",1,"CLSTN1"
"NM_014944.4",1,"CLSTN1"
"NM_001012329.2",0.342416,"CTNNBIP1"
"XM_054337780.1",0.340145,"CTNNBIP1"
"XM_054337782.1",0.289421,"CTNNBIP1"
"XM_054337781.1",0.333853,"CTNNBIP1"
"XR_007069845.1",0.0269638,"LOC105376717"
"XR_007069846.1",0.135657,"LOC124903838"
"NM_001316975.2",0.999654,"LZIC"
"NM_001316974.2",0.99579,"LZIC"
"XM_054339193.1",0.973919,"LZIC"
"NM_001297778.1",0.996649,"NMNAT1"
"XM_054338310.1",0.962525,"NMNAT1"
"XM_054338313.1",0.958365,"NMNAT1"
"NM_022787.4",0.996649,"NMNAT1"
"NM_001297779.2",0.974929,"NMNAT1"
"XM_054338309.1",0.994169,"NMNAT1"
"XM_054338312.1",0.968604,"NMNAT1"
"XM_054338308.1",0.994169,"NMNAT1"
"XM_054338311.1",0.955483,"NMNAT1"
"NR_158969.1",0.257132,"TMEM274P"
"NR_049882.1",0.158369,"MIR5697"
"XM_047443643.1",0.472209,"LOC124903840"
"NR_138250.2",0.125931,"RBP7"
"NM_001410744.1",1,"UBE4B"
"XM_054333800.1",1,"UBE4B"
"XM_054333799.1",1,"UBE4B"
"XM_054333796.1",1,"UBE4B"
"XM_054333797.1",1,"UBE4B"
"XM_054333798.1",1,"UBE4B"
"NM_001365951.3",1,"KIF1B"
"NM_183416.4",1,"KIF1B"
"NM_015074.3",1,"KIF1B"
"NM_001365952.1",1,"KIF1B"
"NM_001365953.1",1,"KIF1B"
"NM_001304452.2",1,"PGD"
"NM_001270517.2",0.752929,"CENPS-CORT"
"NM_199294.3",0.800931,"CENPS"
"NR_037187.2",0.227195,"CENPS-CORT"
