"Gene_Id","Gene_length","Num_of_Transcripts","Num_of_Exons","Gene_type","Exon_Length"
"SCNN1D",14108,1,18,"protein_coding","113"
"ACAP3",15562,3,27,"protein_coding",NA
"MIR6726",60,3,3,"miRNA","61"
"SNORD167",83,1,1,"snoRNA","84"
"PUSL1",3080,4,13,"protein_coding","163"
"INTS11",13094,2,25,"protein_coding","99"
"MIR6727",64,3,3,"miRNA","65"
"CPTP",4094,1,5,"protein_coding",NA
"TAS1R3",4040,2,9,"protein_coding","279"
"DVL1",14181,2,18,"protein_coding","122"
"MIR6808",58,3,3,"miRNA","59"
"MXRA8",10862,4,16,"protein_coding","102"
"AURKAIP1",1471,1,6,"protein_coding","126.5"
"CCNL2",14899,5,26,"protein_coding","115"
"MRPL20-AS1",2516,1,3,"lncRNA","160"
"MRPL20",5384,1,5,"protein_coding","137"
"RN7SL657P",292,NA,NA,"pseudogene",NA
"MRPL20-DT",2336,1,1,"lncRNA","2337"
"ANKRD65",3967,3,11,"protein_coding","190"
"ANKRD65-AS1",2811,1,2,"lncRNA","454"
"TMEM88B",6815,1,4,"protein_coding","484"
"LINC01770",4416,1,4,"lncRNA","446"
"LOC107985729",2316,1,4,"protein_coding","158"
"VWA1",7192,1,4,"protein_coding","558"
"ATAD3C",20473,1,12,"protein_coding","117"
"ATAD3B",37834,10,30,"protein_coding","117"
"ATAD3A",22523,4,22,"protein_coding","105.5"
"TMEM240",5846,1,4,"protein_coding","272"
"SSU72",33192,1,5,"protein_coding","144"
"FNDC10",2123,1,1,"protein_coding","2124"
"LOC105378586",7777,1,3,"lncRNA","184"
"MIB2",16874,5,31,"protein_coding","149"
"MMP23B",2478,1,10,"protein_coding",NA
"CDK11B",23957,12,36,"protein_coding","122"
"SLC35E2B",31291,1,10,"protein_coding","136"
"LOC100288379",1152,NA,NA,"pseudogene",NA
"MMP23A",1869,1,6,"transcribed_pseudogene","149.5"
"CDK11A",21914,1,24,"protein_coding","122"
"SLC35E2A",18686,2,8,"transcribed_pseudogene","347"
"LOC100129381",1467,NA,NA,"pseudogene",NA
"LOC112268218",5973,1,2,"lncRNA","953.5"
"NADK",29251,7,24,"protein_coding","106"
"GNB1",105811,13,32,"protein_coding",NA
"GNB1-DT",1549,1,3,"lncRNA","515.5"
"CALML6",3543,2,7,"protein_coding","123"
"TMEM52",1716,3,8,"protein_coding","92"
"CFAP74",82708,1,39,"protein_coding","130"
"LOC107984872",1662,1,3,"lncRNA","138"
"LOC105378589",4877,1,3,"lncRNA","2257"
"GABRD",11413,3,11,"protein_coding","147"
"LOC105378590",11683,1,7,"lncRNA","177"
"PRKCZ",136347,22,39,"protein_coding","98"
"PRKCZ-DT",869,1,3,"lncRNA","203"
"PRKCZ-AS1",2087,1,2,"lncRNA","626.5"
"FAAP20",28677,12,32,"protein_coding","178"
"LOC112268219",2660,1,1,"lncRNA","2661"
"SKI",82411,1,7,"protein_coding","263"
"LOC124905687",20838,5,18,"protein_coding","260"
"LOC124903824",4274,4,11,"lncRNA","279"
"MORN1",73638,3,17,"protein_coding","99"
"LOC100129534",2248,1,1,"transcribed_pseudogene","2249"
"RER1",13916,1,7,"protein_coding","105"
"PEX10",9853,4,12,"protein_coding","176"
"PLCH2",91123,7,31,"protein_coding","137"
"PANK4",18614,4,23,"protein_coding","105"
"HES5",1518,1,4,"protein_coding","166"
"TNFRSF14-AS1",7091,1,7,"lncRNA","196"
"TNFRSF14",8466,11,21,"protein_coding","134.5"
"LOC100996583",18000,1,4,"lncRNA","108.5"
"PRXL2B",4945,2,12,"protein_coding","76"
"MMEL1",42378,1,24,"protein_coding","97.5"
"MMEL1-AS1",7457,1,3,"lncRNA",NA
"TTC34",223233,1,9,"protein_coding","226"
"LOC128966585",1065,2,7,"lncRNA","213"
"LOC107985732",1065,1,3,"lncRNA","201"
"LOC124905688",3847,1,11,"lncRNA","345"
"LOC124905689",841,3,9,"lncRNA","112.5"
"LOC105378598",13629,5,27,"lncRNA","145.5"
"LOC107984904",1065,1,3,"lncRNA","201"
"LOC124903826",2421,1,3,"lncRNA","565"
"ACTRT2",1436,1,1,"protein_coding","1437"
"LOC124903827",15950,3,23,"protein_coding",NA
"PRDM16-DT",8108,2,2,"lncRNA","176"
"PRDM16",372179,1,18,"protein_coding","170"
"LOC100420339",1039,NA,NA,"pseudogene",NA
"MIR4251",60,2,2,"miRNA","61"
"LOC105378606",5842,1,3,"lncRNA","119"
"LOC107984909",7982,1,2,"lncRNA","3423"
"LOC105378605",3250,2,4,"lncRNA","682.5"
"LOC124903828",30344,1,2,"protein_coding","15156"
"LOC105378604",16904,3,9,"lncRNA","641.5"
"ARHGEF16",28808,6,21,"protein_coding","147"
"MEGF6",139542,7,45,"protein_coding",NA
"LOC105378608",2089,1,3,"lncRNA","317"
"MIR551A",95,2,2,"miRNA","96"
"TPRG1L",5090,1,5,"protein_coding","177"
"WRAP73",19136,2,15,"protein_coding",NA
"TP73",85413,5,18,"protein_coding","132.5"
"TP73-AS3",10573,2,4,"lncRNA","573"
"TP73-AS1",11389,2,12,"lncRNA","155"
"CCDC27",19190,1,12,"protein_coding","140.5"
"SMIM1",3204,1,5,"protein_coding","140.5"
"LRRC47",17943,1,7,"protein_coding","117"
"RN7SL574P",296,NA,NA,"pseudogene",NA
"CEP104",45127,2,26,"protein_coding","147.5"
"DFFB",28259,2,16,"protein_coding",NA
"C1orf174",11139,3,8,"protein_coding","301.5"
"LINC01134",15047,1,4,"lncRNA","413.5"
"LINC01346",11971,1,3,"lncRNA","150"
"LINC01345",1831,1,3,"lncRNA","180"
"EEF1DP6",436,NA,NA,"pseudogene",NA
"LINC01777",12600,1,6,"lncRNA","340"
"LOC105376674",11485,2,4,"lncRNA","128"
"LOC124904578",4559,1,3,"lncRNA","45"
"LINC01646",12219,1,5,"lncRNA","143"
"AJAP1",138126,2,8,"protein_coding","320.5"
"LINC02781",10567,2,7,"lncRNA","130"
"LOC124904589",6094,1,3,"lncRNA","96"
"LOC102724429",6980,3,8,"lncRNA","106"
"LINC02782",12095,1,6,"lncRNA",NA
"LOC105376682",3455,1,3,"lncRNA","191"
"LOC107984911",10990,1,5,"lncRNA","505"
"LOC105376686",3788,1,7,"lncRNA","577"
"LOC124900451",74,1,1,"snoRNA","75"
"LOC124903830",9647,2,4,"lncRNA","1962"
"MIR4689",69,2,2,"miRNA","70"
"NPHP4",131567,16,55,"protein_coding","157"
"KCNAB2",108364,5,24,"protein_coding","86.5"
"CHD5",78494,1,42,"protein_coding","136"
"RPL22",14575,1,4,"protein_coding","115"
"RNF207-AS1",940,1,3,"lncRNA","143"
"RNF207",15180,6,24,"protein_coding","108"
"ICMT",14771,3,8,"protein_coding","218"
"ICMT-DT",3204,1,5,"lncRNA","101"
"HES3",1399,1,4,"protein_coding","89"
"GPR153",13745,2,8,"protein_coding","352"
"ACOT7",129493,5,13,"protein_coding","118"
"HES2",4687,1,4,"protein_coding","122"
"ESPN",36595,10,29,"protein_coding","194"
"MIR4252",62,2,2,"miRNA","63"
"TNFRSF25",5387,2,13,"protein_coding","128"
"PLEKHG5",52972,7,30,"protein_coding","133"
"NOL9",33180,5,17,"protein_coding","149"
"RNU6-731P",110,NA,NA,"pseudogene",NA
"TAS1R1",24454,2,8,"protein_coding","282.5"
"LOC107984912",11879,1,4,"lncRNA","129"
"ZBTB48",9286,5,18,"protein_coding","143"
"KLHL21",12145,1,5,"protein_coding","739.5"
"LOC107984913",9923,1,2,"lncRNA","940"
"PHF13",10299,2,5,"protein_coding","455"
"THAP3",10727,4,12,"protein_coding","126"
"DNAJC11",67648,2,16,"protein_coding","120"
"LINC01672",5271,2,3,"lncRNA","199.5"
"LOC124904847",98,1,1,"snoRNA","99"
"CAMTA1-DT",1088,1,3,"lncRNA","154"
"CAMTA1",987458,21,51,"protein_coding","155.5"
"LOC124903832",26924,1,2,"lncRNA","11766.5"
"RPL37P9",355,NA,NA,"pseudogene",NA
"CAMTA1-AS3",5910,1,2,"lncRNA",NA
"RNU1-8P",164,NA,NA,"pseudogene",NA
"CAMTA1-AS2",7269,2,5,"lncRNA","100"
"CAMTA1-AS1",983,2,6,"lncRNA","135"
"LOC105376691",5588,1,3,"lncRNA","180"
"LOC105376689",18954,6,17,"lncRNA","767"
"VAMP3",10136,1,5,"protein_coding","90"
"PER3",60887,11,43,"protein_coding","150"
"UTS2",65785,3,9,"protein_coding","111"
"TNFRSF9",24959,3,10,"protein_coding","133"
"TRUND-NNN4-1",69,NA,NA,"pseudogene",NA
"PARK7",23769,2,9,"protein_coding","87"
"ERRFI1",14578,4,8,"protein_coding","175"
"ERRFI1-DT",96145,1,2,"lncRNA","2019.5"
"RPL7AP18",1302,NA,NA,"pseudogene",NA
"LOC107984915",18494,2,5,"lncRNA","174"
"LOC100129776",2947,NA,NA,"pseudogene",NA
"RNU1-7P",163,NA,NA,"pseudogene",NA
"LINC01714",6538,1,4,"lncRNA","120.5"
"LOC105376695",9052,1,3,"lncRNA","166"
"SLC45A1",26862,2,11,"protein_coding","206"
"RERE",465852,2,25,"protein_coding","162"
"RERE-AS1",10373,1,4,"lncRNA","126.5"
"SNORD128",113,1,1,"snoRNA","114"
"LOC124900452",124,1,1,"snoRNA","125"
"RPL7P11",681,NA,NA,"pseudogene",NA
"RPL7P7",822,NA,NA,"pseudogene",NA
"RPL27P3",1119,NA,NA,"pseudogene",NA
"RPL23AP19",319,NA,NA,"pseudogene",NA
"ENO1",17691,1,14,"protein_coding","108"
"MIR6728",88,3,3,"miRNA","89"
"ENO1-AS1",1050,1,2,"lncRNA","223.5"
"RNU6-304P",106,NA,NA,"pseudogene",NA
"HMGN2P17",1192,NA,NA,"pseudogene",NA
"LOC112268261",21876,3,6,"lncRNA","154"
"CA6",29206,4,11,"protein_coding","115"
"RN7SL451P",298,NA,NA,"pseudogene",NA
"SLC2A7",33823,3,14,"protein_coding","127"
"SLC2A5",58696,9,25,"protein_coding","128"
"LOC124900441",183,1,1,"ncRNA","184"
"GPR157",28989,1,7,"protein_coding",NA
"MIR34AHG",34650,1,2,"lncRNA","2078.5"
"MIR34A",109,3,3,"miRNA","110"
"LNCTAM34A",9887,1,3,"lncRNA","175"
"H6PD",36536,4,10,"protein_coding","270"
"LOC124903836",682,1,2,"lncRNA","200.5"
"SPSB1",31423,1,5,"protein_coding","29"
"LINC02606",3912,2,3,"lncRNA","1181.5"
"RNA5SP40",109,NA,NA,"pseudogene",NA
"SLC25A33",45711,1,7,"protein_coding","180"
"RPL9P11",676,NA,NA,"pseudogene",NA
"TMEM201",25918,6,19,"protein_coding","186"
"LOC124903837",7657,1,2,"protein_coding",NA
"PIK3CD",101857,13,41,"protein_coding","133"
"LOC105376712",980,1,2,"lncRNA","220.5"
"PIK3CD-AS1",1976,1,2,"lncRNA","911.5"
"RPL26P7",340,NA,NA,"pseudogene",NA
"PIK3CD-AS2",15148,2,4,"lncRNA","265.5"
"CLSTN1",95735,3,21,"protein_coding","163"
"MZT1P1",618,NA,NA,"pseudogene",NA
"CTNNBIP1",62006,4,13,"protein_coding","120"
"LOC105376717",4719,1,2,"lncRNA","242.5"
"LOC124903838",3750,1,2,"lncRNA","727"
"LZIC",21264,3,12,"protein_coding","100.5"
"NMNAT1",54011,9,11,"protein_coding","171"
"RN7SKP269",244,NA,NA,"pseudogene",NA
"TMEM274P",10213,1,5,"transcribed_pseudogene","77"
"MIR5697",77,2,2,"miRNA","78"
"LOC124903840",1370,1,2,"protein_coding","271"
"RBP7",18799,1,5,"protein_coding","179"
"UBE4B",148276,6,35,"protein_coding",NA
"RPL21P21",369,NA,NA,"pseudogene",NA
"PGAM1P11",981,NA,NA,"pseudogene",NA
"RNU6-828P",106,NA,NA,"pseudogene",NA
"KIF1B",171025,5,54,"protein_coding","109"
"RNU6-37P",105,NA,NA,"pseudogene",NA
"RN7SL731P",292,NA,NA,"pseudogene",NA
"PGD",21452,1,14,"protein_coding","131"
"CENPS-CORT",21721,2,7,"protein_coding","136"
"CENPS",12373,2,1,"protein_coding","124"
"CORT",1966,1,2,"protein_coding","457"
"DFFA",15998,2,7,"protein_coding","190"
"PEX14",155801,6,16,"protein_coding",NA
"RN7SL614P",279,NA,NA,"pseudogene",NA
"CASZ1",160162,4,26,"protein_coding","155"
"LOC105376733",6640,1,4,"lncRNA","131"
"HSPE1P24",237,NA,NA,"pseudogene",NA
"LOC105376735",5821,1,3,"lncRNA","255"
"C1orf127",37507,6,22,"protein_coding","125"
"CFL1P6",2019,NA,NA,"pseudogene",NA
"TARDBP",17891,2,15,"protein_coding",NA
"MASP2",20999,5,15,"protein_coding","141.5"
"SRM",5429,1,8,"protein_coding","134.5"
"EXOSC10",33257,3,28,"protein_coding","111.5"
"EXOSC10-AS1",2430,2,4,"lncRNA","270.5"
"MTOR",156036,6,65,"protein_coding","129"
"MTOR-AS1",5640,1,4,"lncRNA","173.5"
"RNU6-537P",63,NA,NA,"pseudogene",NA
"LOC124904848",106,1,1,"snoRNA","107"
"ANGPTL7",6626,3,7,"protein_coding","199"
"RNU6-291P",106,NA,NA,"pseudogene",NA
"RPL39P6",403,NA,NA,"pseudogene",NA
"UBIAD1",26394,3,5,"protein_coding","863"
"UBE2V2P3",861,NA,NA,"pseudogene",NA
"LOC105376737",4427,1,3,"lncRNA","271"
"LOC105376739",7106,1,4,"lncRNA","150"
"LOC105376740",7093,2,5,"lncRNA","250"
"DISP3",59782,10,31,"protein_coding","160"
"LINC01647",3823,1,3,"lncRNA","566"
"FBXO2",6058,1,6,"protein_coding","134.5"
"FBXO44",8923,5,18,"protein_coding",NA
"FBXO6",10167,5,10,"protein_coding","131.5"
"MAD2L2",17369,3,11,"protein_coding","95"
"DRAXIN",39241,2,10,"protein_coding","144"
"AGTRAP",14632,1,8,"protein_coding",NA
"LOC101060126",942,NA,NA,"pseudogene",NA
"C1orf167",27388,6,33,"protein_coding",NA
"C1orf167-AS1",2540,1,3,"lncRNA","497"
"MTHFR",20246,5,18,"protein_coding",NA
"CLCN6",36936,1,25,"protein_coding","124"
"NPPA-AS1",7301,1,4,"antisense_RNA","295"
"NPPA",2073,1,3,"protein_coding","306"
"NPPB",1481,1,3,"protein_coding","244"
"SBF1P2",2989,NA,NA,"pseudogene",NA
"RNU5E-1",118,1,1,"snRNA","119"
"RNU5E-4P",119,NA,NA,"pseudogene",NA
"KIAA2013",6837,1,3,"protein_coding","854"
"PLOD1",40819,1,20,"protein_coding","124"
"MFN2",33081,2,23,"protein_coding",NA
"MIIP",12567,3,13,"protein_coding",NA
"MIR6729",64,3,3,"miRNA","65"
"RN7SL649P",274,NA,NA,"pseudogene",NA
"TNFRSF8",80900,2,17,"protein_coding","117"
"RNU6-777P",103,NA,NA,"pseudogene",NA
"RPL23AP89",296,NA,NA,"pseudogene",NA
"MIR7846",95,2,2,"miRNA","96"
"TNFRSF1B",42238,2,13,"protein_coding",NA
"MIR4632",60,3,3,"miRNA","61"
"RPL10P17",382,NA,NA,"pseudogene",NA
"LOC124900427",123,NA,NA,"pseudogene",NA
"VPS13D",282024,1,70,"protein_coding","149.5"
"LOC124904680",83,NA,NA,"pseudogene",NA
"SNORA59A",151,1,1,"snoRNA","152"
"LINC02766",11660,2,7,"lncRNA","356"
"DHRS3",52068,6,12,"protein_coding","187"
"RNU6ATAC18P",100,NA,NA,"pseudogene",NA
"MIR6730",66,3,3,"miRNA","67"
"AADACL4",22995,2,5,"protein_coding","423.5"
"AADACL3",12615,1,4,"protein_coding","235"
"LOC124904811",103,1,1,"snoRNA","104"
"CFAP107",17698,1,5,"protein_coding","342"
"PRAMEF12",4168,1,3,"protein_coding","896"
"PRAMEF1",5231,2,5,"protein_coding","445.5"
"LINC01784",537,1,2,"lncRNA","221"
"PRAMEF11",7031,2,6,"protein_coding","445.5"
"PRAMEF30P",2913,NA,NA,"pseudogene",NA
"HNRNPCL1",1343,1,2,"protein_coding","567"
"PRAMEF2",4817,2,5,"protein_coding","445.5"
"PRAMEF4",6992,1,4,"protein_coding","445.5"
"PRAMEF10",5374,1,4,"protein_coding","445.5"
"PRAMEF7",4141,1,4,"protein_coding","444"
"RNU6-1072P",105,NA,NA,"pseudogene",NA
"PRAMEF29P",2720,NA,NA,"pseudogene",NA
"PRAMEF6",6942,1,4,"protein_coding","445.5"
"PRAMEF31P",2977,NA,NA,"pseudogene",NA
"PRAMEF18",3459,1,3,"protein_coding","579"
"PRAMEF13",5221,2,6,"protein_coding",NA
"PRAMEF9",7616,1,4,"protein_coding","633"
"HNRNPCL4",1717,1,1,"protein_coding","1718"
"PRAMEF25",7114,1,4,"protein_coding",NA
"PRAMEF36P",5207,1,4,"transcribed_pseudogene","444"
"HNRNPCL2",1366,1,2,"protein_coding","578"
"PRAMEF35P",1314,NA,NA,"pseudogene",NA
"PRAMEF34P",5207,1,4,"transcribed_pseudogene","444"
"LOC128966578",4680,1,4,"protein_coding","375.5"
"LOC100132865",2977,NA,NA,"pseudogene",NA
"PRAMEF5",9237,1,4,"protein_coding","445.5"
"PRAMEF32P",2720,NA,NA,"pseudogene",NA
"RNU6-771P",105,NA,NA,"pseudogene",NA
"PRAMEF8",3833,2,5,"protein_coding","444"
"PRAMEF33",5368,1,4,"protein_coding","445.5"
"PRAMEF15",7017,1,4,"protein_coding","445.5"
"PRAMEF14",5242,1,4,"protein_coding","445.5"
"PRAMEF19",3516,1,3,"protein_coding","579"
"PRAMEF17",2997,1,3,"protein_coding","579"
"PRAMEF20",10879,2,5,"protein_coding","435"
"LRRC38",39035,2,3,"protein_coding","1084"
"LOC102724856",5301,2,5,"lncRNA","186"
"LOC107984918",3834,1,3,"lncRNA","254"
"BRWD1P1",981,NA,NA,"pseudogene",NA
"PDPN",34184,5,13,"protein_coding","132"
"RNA5SP41",100,NA,NA,"pseudogene",NA
"LOC105378612",4528,1,3,"lncRNA","458"
"LOC105376756",4790,1,3,"lncRNA","115"
"LOC124900446",129,1,1,"ncRNA","130"
"PRDM2",124919,10,18,"protein_coding","127"
"KAZN",1227288,18,37,"protein_coding","171"
"RNU6-1265P",102,NA,NA,"pseudogene",NA
"LOC107985467",52007,2,6,"lncRNA","659"
"LOC124905691",32911,1,3,"lncRNA","186"
"LOC124903847",21457,1,3,"lncRNA","10278"
"KAZN-AS1",71001,1,5,"lncRNA","157"
"TBCAP2",463,NA,NA,"pseudogene",NA
"LOC105376759",3799,1,3,"lncRNA","113"
"LOC124903848",9941,1,3,"lncRNA","118"
"LOC107985469",22954,1,3,"lncRNA","123"
"LOC124903849",1520,1,3,"lncRNA","82"
"TMEM51-AS1",40656,1,6,"lncRNA","376"
"TMEM51",67950,4,9,"protein_coding","349"
"TMEM51-AS2",7434,2,4,"lncRNA","135"
"MFFP1",1032,NA,NA,"pseudogene",NA
"ZBTB2P1",879,NA,NA,"pseudogene",NA
"FHAD1",173392,19,66,"protein_coding","130"
"FHAD1-AS1",17200,1,3,"lncRNA","1554.5"
"LOC124903851",6402,1,3,"lncRNA","547"
"EFHD2-AS1",9385,3,8,"lncRNA",NA
"EFHD2",20448,2,5,"protein_coding","270"
"CTRC",10807,1,8,"protein_coding","131.5"
"CELA2A",15342,1,8,"protein_coding","115.5"
"LOC105376767",3876,1,3,"lncRNA","252"
"CELA2B",15291,1,8,"protein_coding","115"
"CASP9",33509,6,16,"protein_coding","148"
"DNAJC16",44883,1,16,"protein_coding","171"
"SCARNA21B",138,1,1,"ncRNA","139"
"AGMAT",13368,1,7,"protein_coding","196"
"CHCHD2P6",786,NA,NA,"pseudogene",NA
"LOC124904764",43,NA,NA,"pseudogene",NA
"RNU7-179P",67,NA,NA,"pseudogene",NA
"CD24P1",4964,NA,NA,"pseudogene",NA
"DDI2",51604,1,10,"protein_coding","129.5"
"RSC1A1",2320,1,1,"protein_coding","2321"
"PLEKHM2",53919,5,25,"protein_coding","113.5"
"SLC25A34",6367,3,8,"protein_coding","153"
"SLC25A34-AS1",9841,1,2,"lncRNA","316.5"
"TMEM82",5486,1,6,"protein_coding","183"
"FBLIM1",29955,15,28,"protein_coding","187.5"
"RPL12P14",594,NA,NA,"pseudogene",NA
"UQCRHL",275,1,1,"protein_coding","276"
"SPEN-AS1",13930,1,2,"lncRNA","1367.5"
"SPEN",92763,1,15,"protein_coding","195"
"LOC124904815",100,1,1,"snoRNA","101"
"ZBTB17",34259,2,20,"protein_coding","131"
"LOC124903855",16033,1,3,"lncRNA","1870"
"LOC124905656",8898,NA,NA,"pseudogene",NA
"SRARP",4566,1,2,"protein_coding","1517"
"HSPB7",5565,2,11,"protein_coding","279"
"CLCNKA",12013,1,21,"protein_coding","104.5"
"FAM131C2P",5507,NA,NA,"pseudogene",NA
"CLCNKB",13622,2,23,"protein_coding","102"
"FAM131C",15881,1,7,"protein_coding","116"
"EPHA2",31720,5,21,"protein_coding","156"
"EPHA2-AS1",30201,1,5,"lncRNA","1310"
"ARHGEF19",14780,2,18,"protein_coding","152"
"ANO7L1",11186,5,25,"transcribed_pseudogene","258"
"CPLANE2",5490,1,6,"protein_coding","153"
"MT1XP1",360,NA,NA,"pseudogene",NA
"FBXO42",105823,2,16,"protein_coding","126"
"SZRD1",30901,1,6,"protein_coding","71"
"RPL22P3",458,NA,NA,"pseudogene",NA
"SPATA21",42311,8,29,"protein_coding","173"
"NECAP2",19359,3,12,"protein_coding","107"
"LINC01772",7535,2,3,"lncRNA","905"
"CROCCP3",25236,1,15,"transcribed_pseudogene","166"
"RNU1-1",163,1,1,"snRNA","164"
"TRN-GTT5-1",73,1,1,"tRNA",NA
"LINC01783",1761,1,2,"lncRNA","773"
"RNU1-6P",143,NA,NA,"pseudogene",NA
"TRE-TTC4-1",71,1,1,"tRNA",NA
"LOC124903856",677,1,1,"protein_coding","678"
"TRG-CCC1-1",70,1,1,"tRNA",NA
"LOC124905696",5770,1,3,"lncRNA","229"
"PDE4DIPP8",2566,NA,NA,"pseudogene",NA
"LOC101056699",71,NA,NA,"pseudogene",NA
"NBPF1",71512,2,54,"protein_coding",NA
"LOC124900386",12854,5,11,"protein_coding","118"
"LOC128966612",6981,NA,NA,"pseudogene",NA
"LOC128966643",5652,1,2,"lncRNA",NA
"LOC124905693",509,1,1,"protein_coding","510"
"TRNAG-CCC",70,1,1,"tRNA",NA
"TRV-CAC11-1",72,NA,NA,"pseudogene",NA
"LOC124905694",2519,1,3,"lncRNA","198"
"LOC124905564",84123,1,47,"protein_coding",NA
"LOC124900584",14453,1,14,"transcribed_pseudogene","158.5"
"LOC124905569",8008,1,3,"lncRNA","84"
"MST1P2",4846,1,14,"transcribed_pseudogene","128"
"LOC124905695",13904,1,3,"lncRNA","131"
"LOC124905573",163,1,1,"snRNA","164"
"TRNAN-GUU",73,1,1,"tRNA",NA
"LOC124905576",143,NA,NA,"pseudogene",NA
"TRNAE-UUC",71,1,1,"tRNA",NA
"LOC124905556",1343,1,1,"protein_coding","1344"
"LOC124905697",15116,1,3,"lncRNA","338"
"LOC128966628",13319,1,18,"transcribed_pseudogene",NA
"LOC124905698",15986,1,2,"lncRNA","2926.5"
"RNU1-3",163,1,1,"snRNA","164"
"LOC124903857",578,1,1,"protein_coding","579"
"TRG-CCC4-1",70,1,1,"tRNA",NA
"EIF1AXP1",3153,NA,NA,"pseudogene",NA
"ESPNP",28967,1,11,"transcribed_pseudogene","187"
"TRV-CAC13-1",72,NA,NA,"pseudogene",NA
"LOC440570",3142,1,2,"lncRNA","1280.5"
"TRNAE-UUC_1",71,1,1,"tRNA",NA
"LOC124905577",143,NA,NA,"pseudogene",NA
"TRNAN-GUU_1",73,1,1,"tRNA",NA
"RNU1-4",163,1,1,"snRNA","164"
"CROCCP4",729,NA,NA,"pseudogene",NA
"LOC102724562",2996,1,11,"transcribed_pseudogene","140"
"LOC124905701",14608,1,3,"lncRNA","110"
"LOC124905699",578,1,1,"protein_coding","579"
"TRNAE-UUC_2",71,1,1,"tRNA",NA
"TRNAH-GUG",73,1,1,"tRNA",NA
"LOC124905700",17972,1,3,"lncRNA","1384"
"LOC124905809",163,1,1,"snRNA","164"
"MST1L",3978,1,14,"transcribed_pseudogene","131"
"LOC124905560",11826,2,5,"lncRNA","86.5"
"CROCCP2",12650,1,7,"transcribed_pseudogene","165"
"LOC128966598",52723,3,35,"protein_coding",NA
"PDE4DIPP9",2575,NA,NA,"pseudogene",NA
"MIR3675",72,3,3,"miRNA","73"
"TRV-CAC11-2",72,NA,NA,"pseudogene",NA
"TRG-CCC1-2",70,1,1,"tRNA",NA
"LOC124903860",6267,NA,NA,"pseudogene",NA
"LOC112267871",1869,1,3,"lncRNA","645.5"
"TRE-TTC3-1",71,1,1,"tRNA",NA
"RNU1-5P",143,NA,NA,"pseudogene",NA
"LOC107985101",2464,NA,NA,"pseudogene",NA
"LOC105376805",1129,2,4,"lncRNA","245"
"TRN-GTT4-1",73,1,1,"tRNA",NA
"RNU1-2",163,1,1,"snRNA","164"
"CROCC",59283,9,48,"protein_coding","166"
"MFAP2",7079,3,12,"protein_coding","78"
"LOC105376806",1934,1,2,"lncRNA","414.5"
"ATP13A2",25968,1,33,"protein_coding",NA
"SDHB",35318,2,10,"protein_coding","120"
"PADI2",52707,3,18,"protein_coding","122"
"LOC124903861",2059,1,3,"lncRNA","160"
"LOC105376808",3289,1,3,"lncRNA","278"
"LINC02783",6571,1,4,"lncRNA","150.5"
"PADI1",40828,8,23,"protein_coding","125"
"PADI3",35130,4,19,"protein_coding","122"
"MIR3972",86,2,2,"miRNA","87"
